time;BESS_BESS_injector_PInjPu;BESS_BESS_injector_PInjPuSn;BESS_BESS_injector_QInjPu;BESS_BESS_injector_QInjPuSn;BESS_BESS_injector_terminal_V_re;BESS_BESS_injector_terminal_i_re;BESS_BESS_injector_terminal_V_im;BESS_BESS_injector_terminal_i_im;BESS_BESS_injector_UPu;BESS_BESS_pll_omegaPLLPu;BESS_BESS_reecC_idCmdPu;BESS_BESS_reecC_iqCmdPu;
0.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999958;0.5000000;0.0000002;
0.0000100;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999959;0.5000000;0.0000002;
0.0000200;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999959;0.5000000;0.0000002;
0.0000400;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999960;0.5000000;0.0000002;
0.0000800;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999961;0.5000000;0.0000002;
0.0001600;0.0300001;0.5000025;0.0000001;0.0000022;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999964;0.5000000;0.0000002;
0.0003200;0.0300001;0.5000025;0.0000001;0.0000022;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999969;0.5000000;0.0000002;
0.0006400;0.0300001;0.5000025;0.0000001;0.0000024;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999977;0.5000000;0.0000002;
0.0012800;0.0300001;0.5000025;0.0000002;0.0000026;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999988;0.5000000;0.0000002;
0.0025600;0.0300001;0.5000025;0.0000002;0.0000027;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.9999999;0.5000000;0.0000002;
0.0051200;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;0.0000000;1.0000050;1.0000004;0.5000000;0.0000002;
0.0102400;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000001;0.5000000;0.0000002;
0.0204800;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
0.0409600;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
0.0819200;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
0.1638400;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
0.3276800;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
0.6553600;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
1.0000000;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;1.0000000;0.5000000;0.0000002;
1.0000000;0.0165002;0.2750025;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;1.0000026;0.5000000;0.0000002;
1.0000000;0.0165002;0.2750025;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;1.0000026;0.5000000;0.0000003;
1.0000100;0.0165002;0.2750026;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;1.0000008;0.5002249;0.0000003;
1.0000200;0.0165002;0.2750027;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;1.0000008;0.5004498;0.0000003;
1.0000400;0.0165002;0.2750032;0.0000002;0.0000028;0.5500050;-0.0300001;0.0000056;-0.0000000;0.5500050;1.0000009;0.5008996;0.0000003;
1.0000600;0.0165002;0.2750039;0.0000002;0.0000028;0.5500050;-0.0300002;0.0000056;-0.0000000;0.5500050;1.0000007;0.5013493;0.0000003;
1.0001000;0.0165004;0.2750062;0.0000002;0.0000028;0.5500050;-0.0300004;0.0000056;-0.0000000;0.5500050;1.0000007;0.5022486;0.0000003;
1.0001400;0.0165006;0.2750097;0.0000002;0.0000028;0.5500050;-0.0300008;0.0000056;-0.0000000;0.5500050;1.0000007;0.5031474;0.0000003;
1.0002200;0.0165012;0.2750201;0.0000002;0.0000028;0.5500050;-0.0300019;0.0000056;-0.0000000;0.5500050;1.0000007;0.5049441;0.0000003;
1.0003800;0.0165033;0.2750547;0.0000002;0.0000027;0.5500050;-0.0300057;0.0000056;-0.0000000;0.5500050;1.0000006;0.5085327;0.0000003;
1.0005400;0.0165064;0.2751073;0.0000002;0.0000027;0.5500050;-0.0300114;0.0000056;-0.0000000;0.5500050;1.0000006;0.5121145;0.0000003;
1.0007000;0.0165107;0.2751779;0.0000002;0.0000027;0.5500050;-0.0300191;0.0000056;-0.0000000;0.5500050;1.0000005;0.5156892;0.0000003;
1.0008600;0.0165160;0.2752662;0.0000002;0.0000027;0.5500050;-0.0300288;0.0000056;-0.0000000;0.5500050;1.0000005;0.5192561;0.0000003;
1.0010200;0.0165223;0.2753721;0.0000002;0.0000027;0.5500050;-0.0300403;0.0000056;-0.0000000;0.5500050;1.0000005;0.5228150;0.0000003;
1.0011777;0.0165296;0.2754935;0.0000002;0.0000027;0.5500050;-0.0300536;0.0000056;-0.0000000;0.5500050;1.0000004;0.5263159;0.0000003;
1.0011877;0.0165301;0.2755017;0.0000003;0.0000047;0.5500050;-0.0300545;0.0000056;0.0000002;0.5500050;1.0000004;0.5265375;0.0059946;
1.0011977;0.0165306;0.2755101;0.0000005;0.0000085;0.5500050;-0.0300554;0.0000056;0.0000006;0.5500050;1.0000004;0.5267589;0.0119826;
1.0012177;0.0165316;0.2755270;0.0000012;0.0000208;0.5500050;-0.0300572;0.0000056;0.0000020;0.5500050;1.0000004;0.5272019;0.0239446;
1.0012577;0.0165337;0.2755615;0.0000041;0.0000681;0.5500050;-0.0300610;0.0000056;0.0000071;0.5500050;1.0000004;0.5280874;0.0477980;
1.0012977;0.0165358;0.2755971;0.0000087;0.0001454;0.5500050;-0.0300649;0.0000056;0.0000156;0.5500050;1.0000004;0.5289724;0.0715583;
1.0013777;0.0165403;0.2756714;0.0000234;0.0003907;0.5500050;-0.0300730;0.0000056;0.0000423;0.5500050;1.0000004;0.5307407;0.1187960;
1.0014287;0.0165433;0.2757209;0.0000365;0.0006090;0.5500050;-0.0300784;0.0000056;0.0000661;0.5500050;1.0000004;0.5318658;0.1486885;
1.0014387;0.0165439;0.2757309;0.0000395;0.0006586;0.5500050;-0.0300795;0.0000056;0.0000715;0.5500050;1.0000004;0.5320864;0.1545340;
1.0014487;0.0165445;0.2757409;0.0000426;0.0007100;0.5500050;-0.0300806;0.0000056;0.0000772;0.5500050;1.0000004;0.5323069;0.1603736;
1.0014687;0.0165457;0.2757611;0.0000490;0.0008173;0.5500050;-0.0300828;0.0000056;0.0000889;0.5500050;1.0000004;0.5327480;0.1720392;
1.0015087;0.0165481;0.2758022;0.0000632;0.0010538;0.5500050;-0.0300872;0.0000056;0.0001147;0.5500050;1.0000004;0.5336298;0.1953015;
1.0015487;0.0165507;0.2758444;0.0000791;0.0013190;0.5500050;-0.0300918;0.0000056;0.0001436;0.5500050;1.0000003;0.5345111;0.2184730;
1.0016287;0.0165559;0.2759319;0.0001162;0.0019366;0.5500051;-0.0301014;0.0000055;0.0002110;0.5500051;1.0000003;0.5362719;0.2645401;
1.0017887;0.0165671;0.2761191;0.0002109;0.0035147;0.5500051;-0.0301218;0.0000055;0.0003831;0.5500051;1.0000003;0.5397860;0.3555813;
1.0021087;0.0165925;0.2765420;0.0004797;0.0079955;0.5500052;-0.0301679;0.0000054;0.0008719;0.5500052;1.0000003;0.5467836;0.5333823;
1.0024287;0.0166217;0.2770285;0.0008509;0.0141811;0.5500053;-0.0302210;0.0000053;0.0015467;0.5500053;1.0000002;0.5537368;0.7055966;
1.0025129;0.0166300;0.2771667;0.0009647;0.0160778;0.5500054;-0.0302361;0.0000053;0.0017536;0.5500054;1.0000002;0.5555581;0.7500003;
1.0025129;0.0166300;0.2771667;0.0009647;0.0160778;0.5500054;-0.0302361;0.0000053;0.0017536;0.5500054;1.0000002;0.5555587;0.7500003;
1.0025229;0.0166310;0.2771835;0.0009786;0.0163108;0.5500054;-0.0302379;0.0000053;0.0017791;0.5500054;1.0000002;0.5557746;0.7500003;
1.0025329;0.0166320;0.2772003;0.0009926;0.0165438;0.5500054;-0.0302398;0.0000053;0.0018045;0.5500054;1.0000002;0.5559905;0.7500003;
1.0025529;0.0166340;0.2772341;0.0010206;0.0170093;0.5500054;-0.0302434;0.0000053;0.0018552;0.5500054;1.0000002;0.5564224;0.7500003;
1.0025929;0.0166381;0.2773024;0.0010763;0.0179387;0.5500054;-0.0302509;0.0000053;0.0019566;0.5500054;1.0000002;0.5572855;0.7500003;
1.0026729;0.0166465;0.2774417;0.0011875;0.0197910;0.5500054;-0.0302661;0.0000053;0.0021587;0.5500054;1.0000002;0.5590095;0.7500003;
1.0028329;0.0166639;0.2777318;0.0014082;0.0234698;0.5500055;-0.0302977;0.0000052;0.0025600;0.5500055;1.0000002;0.5624484;0.7500003;
1.0031529;0.0167014;0.2783563;0.0018435;0.0307248;0.5500057;-0.0303659;0.0000051;0.0033515;0.5500057;1.0000002;0.5692885;0.7500003;
1.0034729;0.0167423;0.2790389;0.0022707;0.0378448;0.5500058;-0.0304403;0.0000050;0.0041282;0.5500058;1.0000001;0.5760748;0.7500003;
1.0037929;0.0167867;0.2797781;0.0026899;0.0448320;0.5500060;-0.0305210;0.0000048;0.0048904;0.5500060;1.0000001;0.5828041;0.7500003;
1.0041129;0.0168343;0.2805721;0.0031013;0.0516890;0.5500061;-0.0306076;0.0000047;0.0056385;0.5500061;1.0000001;0.5894739;0.7500003;
1.0044329;0.0168852;0.2814195;0.0035051;0.0584181;0.5500063;-0.0307000;0.0000046;0.0063726;0.5500063;1.0000001;0.5960817;0.7500003;
1.0047529;0.0169391;0.2823185;0.0039013;0.0650217;0.5500064;-0.0307981;0.0000045;0.0070929;0.5500064;1.0000001;0.6026251;0.7500003;
1.0050260;0.0169875;0.2831244;0.0042337;0.0705621;0.5500066;-0.0308860;0.0000044;0.0076973;0.5500066;1.0000001;0.6081594;0.7500003;
1.0050360;0.0169893;0.2831547;0.0042458;0.0707631;0.5500066;-0.0308893;0.0000044;0.0077193;0.5500066;1.0000001;0.6083641;0.7500003;
1.0050460;0.0169911;0.2831850;0.0042578;0.0709640;0.5500066;-0.0308926;0.0000044;0.0077412;0.5500066;1.0000001;0.6085655;0.7500003;
1.0050660;0.0169947;0.2832457;0.0042819;0.0713655;0.5500066;-0.0308992;0.0000044;0.0077850;0.5500066;1.0000001;0.6089680;0.7500003;
1.0051060;0.0170021;0.2833678;0.0043300;0.0721672;0.5500066;-0.0309125;0.0000044;0.0078724;0.5500066;1.0000001;0.6097728;0.7500003;
1.0051860;0.0170168;0.2836140;0.0044259;0.0737650;0.5500066;-0.0309394;0.0000044;0.0080467;0.5500066;1.0000001;0.6113789;0.7500003;
1.0053460;0.0170469;0.2841155;0.0046163;0.0769382;0.5500067;-0.0309941;0.0000043;0.0083929;0.5500067;1.0000001;0.6145783;0.7500003;
1.0056660;0.0171092;0.2851531;0.0049918;0.0831961;0.5500069;-0.0311073;0.0000043;0.0090756;0.5500069;1.0000001;0.6209254;0.7500003;
1.0063060;0.0172417;0.2873610;0.0057220;0.0953670;0.5500072;-0.0313481;0.0000041;0.0104033;0.5500072;1.0000001;0.6334094;0.7500003;
1.0069460;0.0173842;0.2897370;0.0064254;0.1070893;0.5500074;-0.0316073;0.0000039;0.0116821;0.5500074;1.0000001;0.6455927;0.7500003;
1.0075860;0.0175362;0.2922693;0.0071027;0.1183788;0.5500077;-0.0318836;0.0000038;0.0129137;0.5500077;1.0000001;0.6574613;0.7500003;
1.0082260;0.0176968;0.2949460;0.0077551;0.1292511;0.5500080;-0.0321755;0.0000036;0.0140997;0.5500080;1.0000001;0.6690057;0.7500003;
1.0088660;0.0178653;0.2977550;0.0083833;0.1397217;0.5500082;-0.0324820;0.0000035;0.0152419;0.5500082;1.0000001;0.6802172;0.7500003;
1.0095060;0.0180411;0.3006847;0.0089883;0.1498052;0.5500085;-0.0328016;0.0000034;0.0163419;0.5500085;1.0000001;0.6910896;0.7500003;
1.0101460;0.0182234;0.3037237;0.0095710;0.1595160;0.5500087;-0.0331331;0.0000032;0.0174013;0.5500087;1.0000001;0.7016184;0.7500003;
1.0107860;0.0184117;0.3068609;0.0101321;0.1688678;0.5500090;-0.0334753;0.0000031;0.0184215;0.5500090;1.0000001;0.7118008;0.7500003;
1.0114260;0.0186051;0.3100858;0.0106724;0.1778740;0.5500092;-0.0338271;0.0000030;0.0194039;0.5500092;1.0000001;0.7216356;0.7500003;
1.0127060;0.0190048;0.3167464;0.0116949;0.1949157;0.5500097;-0.0345537;0.0000029;0.0212630;0.5500097;1.0000001;0.7403268;0.7500003;
1.0139860;0.0194183;0.3236385;0.0126435;0.2107251;0.5500101;-0.0353055;0.0000027;0.0229876;0.5500101;1.0000001;0.7576403;0.7500003;
1.0152660;0.0198382;0.3306368;0.0135233;0.2253878;0.5500106;-0.0360689;0.0000026;0.0245871;0.5500106;1.0000001;0.7736126;0.7500003;
1.0165460;0.0202601;0.3376684;0.0143391;0.2389856;0.5500110;-0.0368359;0.0000025;0.0260705;0.5500110;1.0000001;0.7883032;0.7500003;
1.0178260;0.0206825;0.3447088;0.0150957;0.2515956;0.5500114;-0.0376039;0.0000024;0.0274461;0.5500114;1.0000001;0.8017702;0.7500003;
1.0191060;0.0211051;0.3517514;0.0157974;0.2632893;0.5500117;-0.0383722;0.0000023;0.0287217;0.5500117;1.0000001;0.8140839;0.7500003;
1.0195710;0.0212586;0.3543101;0.0160396;0.2673272;0.5500118;-0.0386513;0.0000023;0.0291622;0.5500118;1.0000001;0.8182906;0.7500003;
1.0195710;0.0212586;0.3543101;0.0160396;0.2673272;0.5500118;-0.0386513;0.0000023;0.0291622;0.5500118;1.0000001;0.8183355;0.7500003;
1.0195810;0.0212619;0.3543651;0.0160448;0.2674125;0.5500119;-0.0386573;0.0000023;0.0291715;0.5500119;1.0000001;0.8182906;0.7500003;
1.0195910;0.0212652;0.3544201;0.0160499;0.2674978;0.5500119;-0.0386633;0.0000023;0.0291808;0.5500119;1.0000001;0.8182906;0.7500003;
1.0196110;0.0212718;0.3545301;0.0160601;0.2676683;0.5500119;-0.0386753;0.0000023;0.0291994;0.5500119;1.0000001;0.8182933;0.7500003;
1.0196510;0.0212850;0.3547501;0.0160805;0.2680087;0.5500119;-0.0386993;0.0000023;0.0292365;0.5500119;1.0000001;0.8182906;0.7500003;
1.0197310;0.0213114;0.3551902;0.0161212;0.2686871;0.5500119;-0.0387473;0.0000023;0.0293105;0.5500119;1.0000001;0.8182906;0.7500003;
1.0198910;0.0213642;0.3560702;0.0162021;0.2700344;0.5500119;-0.0388433;0.0000023;0.0294575;0.5500119;1.0000001;0.8182906;0.7500003;
1.0202110;0.0214689;0.3578147;0.0163615;0.2726914;0.5500120;-0.0390336;0.0000023;0.0297473;0.5500120;1.0000001;0.8182906;0.7500003;
1.0208510;0.0216729;0.3612147;0.0166715;0.2778590;0.5500122;-0.0394045;0.0000023;0.0303111;0.5500122;1.0000001;0.8182906;0.7500003;
1.0221310;0.0220595;0.3676578;0.0172582;0.2876374;0.5500125;-0.0401073;0.0000022;0.0313778;0.5500125;1.0000001;0.8182906;0.7500004;
1.0234110;0.0224185;0.3736419;0.0178026;0.2967097;0.5500128;-0.0407601;0.0000022;0.0323674;0.5500128;1.0000001;0.8182906;0.7500004;
1.0259710;0.0230628;0.3843794;0.0187791;0.3129851;0.5500133;-0.0419314;0.0000021;0.0341428;0.5500133;1.0000001;0.8182906;0.7500004;
1.0285310;0.0236175;0.3936254;0.0196197;0.3269955;0.5500138;-0.0429400;0.0000020;0.0356712;0.5500138;1.0000000;0.8182905;0.7500004;
1.0310910;0.0240946;0.4015761;0.0203425;0.3390415;0.5500142;-0.0438073;0.0000020;0.0369852;0.5500142;1.0000000;0.8182905;0.7500004;
1.0336510;0.0245045;0.4084090;0.0209636;0.3493936;0.5500145;-0.0445527;0.0000019;0.0381145;0.5500145;1.0000000;0.8182905;0.7500004;
1.0362110;0.0248568;0.4142799;0.0214973;0.3582880;0.5500148;-0.0451931;0.0000019;0.0390848;0.5500148;1.0000000;0.8182905;0.7500004;
1.0387710;0.0251594;0.4193239;0.0219558;0.3659295;0.5500150;-0.0457433;0.0000018;0.0399183;0.5500150;1.0000000;0.8182905;0.7500005;
1.0413310;0.0254194;0.4236571;0.0223497;0.3724942;0.5500152;-0.0462160;0.0000018;0.0406345;0.5500152;1.0000000;0.8182905;0.7500005;
1.0438910;0.0256428;0.4273797;0.0226880;0.3781339;0.5500154;-0.0466221;0.0000018;0.0412497;0.5500154;1.0000000;0.8182905;0.7500005;
1.0464510;0.0258347;0.4305777;0.0229787;0.3829788;0.5500156;-0.0469709;0.0000017;0.0417782;0.5500156;1.0000000;0.8182905;0.7500005;
1.0515710;0.0261455;0.4357586;0.0234497;0.3908277;0.5500158;-0.0475361;0.0000017;0.0426344;0.5500158;1.0000000;0.8182904;0.7500005;
1.0566910;0.0263754;0.4395903;0.0237980;0.3966326;0.5500160;-0.0479540;0.0000017;0.0432676;0.5500160;1.0000000;0.8182904;0.7500005;
1.0618110;0.0265444;0.4424068;0.0240540;0.4008995;0.5500162;-0.0482613;0.0000017;0.0437331;0.5500162;1.0000000;0.8182904;0.7500005;
1.0669310;0.0266682;0.4444704;0.0242416;0.4040259;0.5500163;-0.0484864;0.0000016;0.0440741;0.5500163;1.0000000;0.8182904;0.7500006;
