time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;Load2_load_PPu;Load2_load_QPu;Load2_load_zP;Load2_load_zQ;Load2_load_zPRaw;Load2_load_zQRaw;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
0.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.900000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.100000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.200000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.300000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.400000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.500000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.600000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.700000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.800000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
