time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;LOAD_load_PPu;LOAD_load_QPu;LOAD_load_motors_0__PPu;LOAD_load_motors_0__QPu;LOAD_load_motors_0__cePu;LOAD_load_motors_0__clPu;LOAD_load_motors_0__omegaRPu;LOAD_load_motors_0__s;LOAD_load_motors_0__EdPPu;LOAD_load_motors_0__EqPPu;LOAD_load_motors_0__EdPPPu;LOAD_load_motors_0__EqPPPu;LOAD_load_motors_0__idPu;LOAD_load_motors_0__iqPu;LOAD_load_motors_1__PPu;LOAD_load_motors_1__QPu;LOAD_load_motors_1__cePu;LOAD_load_motors_1__clPu;LOAD_load_motors_1__omegaRPu;LOAD_load_motors_1__s;LOAD_load_motors_1__EdPPu;LOAD_load_motors_1__EqPPu;LOAD_load_motors_1__EdPPPu;LOAD_load_motors_1__EqPPPu;LOAD_load_motors_1__idPu;LOAD_load_motors_1__iqPu;
0.000512;1.020884;0.983876;1.000000;605.997388;225.458492;1.039953;2.439380;6.004345;1.999937;1.202332;0.749128;0.944357;0.942561;0.930244;0.069756;0.838084;-0.239400;0.851444;-0.225669;0.898300;-0.795434;1.201820;0.872422;0.954050;0.952633;0.964578;0.035422;0.771778;-0.302995;0.817921;-0.260378;0.880458;-0.898328;
0.001024;1.020884;0.983874;1.000000;605.977397;225.461992;1.039953;2.439377;6.004148;2.000041;1.202215;0.749213;0.944264;0.942561;0.930248;0.069752;0.838083;-0.239380;0.851443;-0.225643;0.898204;-0.795478;1.201757;0.872442;0.954000;0.952634;0.964579;0.035421;0.771778;-0.302988;0.817923;-0.260358;0.880417;-0.898326;
0.002048;1.020884;0.983871;1.000000;605.942924;225.467043;1.039954;2.439367;6.003808;2.000213;1.201992;0.749353;0.944087;0.942561;0.930257;0.069743;0.838084;-0.239341;0.851445;-0.225597;0.898021;-0.795543;1.201664;0.872477;0.953926;0.952637;0.964581;0.035419;0.771779;-0.302974;0.817926;-0.260325;0.880361;-0.898323;
0.004096;1.020886;0.983867;1.000000;605.888020;225.471895;1.039955;2.439336;6.003267;2.000468;1.201584;0.749552;0.943766;0.942561;0.930271;0.069729;0.838093;-0.239268;0.851454;-0.225518;0.897688;-0.795616;1.201556;0.872536;0.953839;0.952642;0.964583;0.035417;0.771782;-0.302945;0.817931;-0.260276;0.880303;-0.898323;
0.008192;1.020891;0.983869;1.000000;605.807459;225.469844;1.039960;2.439249;6.002474;2.000784;1.200893;0.749762;0.943229;0.942561;0.930290;0.069710;0.838125;-0.239142;0.851487;-0.225394;0.897134;-0.795633;1.201444;0.872641;0.953748;0.952652;0.964588;0.035412;0.771792;-0.302887;0.817943;-0.260203;0.880254;-0.898334;
0.016384;1.020904;0.983885;1.000000;605.703199;225.445965;1.039970;2.439036;6.001450;2.001063;1.199970;0.749847;0.942522;0.942561;0.930306;0.069694;0.838205;-0.238965;0.851565;-0.225230;0.896418;-0.795470;1.201227;0.872822;0.953573;0.952668;0.964596;0.035404;0.771825;-0.302771;0.817977;-0.260088;0.880125;-0.898350;
0.032768;1.020927;0.983924;1.000000;605.605908;225.386124;1.039988;2.438678;6.000498;2.001086;1.199326;0.749686;0.942041;0.942561;0.930299;0.069702;0.838327;-0.238802;0.851681;-0.225080;0.895971;-0.795097;1.200634;0.872977;0.953107;0.952689;0.964607;0.035393;0.771917;-0.302570;0.818065;-0.259911;0.879689;-0.898247;
0.049152;1.020942;0.983954;1.000000;605.589618;225.336802;1.039998;2.438474;6.000343;2.000836;1.199526;0.749500;0.942205;0.942561;0.930277;0.069724;0.838385;-0.238775;0.851735;-0.225051;0.896188;-0.794886;1.200054;0.872889;0.952660;0.952695;0.964610;0.035390;0.772017;-0.302431;0.818153;-0.259798;0.879250;-0.898006;
0.081920;1.020950;0.983981;1.000001;605.593857;225.286366;1.040003;2.438378;6.000389;2.000472;1.199898;0.749438;0.942495;0.942561;0.930260;0.069741;0.838421;-0.238750;0.851769;-0.225021;0.896546;-0.794795;1.199535;0.872567;0.952269;0.952686;0.964606;0.035395;0.772150;-0.302304;0.818263;-0.259692;0.878908;-0.897570;
0.147456;1.020933;0.983965;1.000001;605.618503;225.282875;1.039986;2.438725;6.000630;2.000263;1.199993;0.749462;0.942565;0.942561;0.930261;0.069740;0.838410;-0.238710;0.851758;-0.224977;0.896681;-0.794790;1.199797;0.872346;0.952481;0.952663;0.964594;0.035408;0.772170;-0.302311;0.818273;-0.259684;0.879223;-0.897388;
