Time (s),Ip lower (pu),Ip upper (pu)
-1.0,0.95,0.0
-0.995,0.95,0.0
-0.99,0.95,0.0
-0.985,0.95,0.0
-0.98,0.95,0.0
-0.975,0.95,0.0
-0.97,0.95,0.95
-0.965,0.95,0.95
-0.96,0.95,0.95
-0.955,0.95,0.95
-0.95,0.95,0.95
-0.945,0.95,0.95
-0.94,0.95,0.95
-0.935,0.95,0.95
-0.9299999999999999,0.95,0.95
-0.925,0.95,0.95
-0.92,0.95,0.95
-0.915,0.95,0.95
-0.91,0.95,0.95
-0.905,0.95,0.95
-0.9,0.95,0.95
-0.895,0.95,0.95
-0.89,0.95,0.95
-0.885,0.95,0.95
-0.88,0.95,0.95
-0.875,0.95,0.95
-0.87,0.95,0.95
-0.865,0.95,0.95
-0.86,0.95,0.95
-0.855,0.95,0.95
-0.85,0.95,0.95
-0.845,0.95,0.95
-0.84,0.95,0.95
-0.835,0.95,0.95
-0.83,0.95,0.95
-0.825,0.95,0.95
-0.8200000000000001,0.95,0.95
-0.815,0.95,0.95
-0.81,0.95,0.95
-0.8049999999999999,0.95,0.95
-0.8,0.95,0.95
-0.7949999999999999,0.95,0.95
-0.79,0.95,0.95
-0.785,0.95,0.95
-0.78,0.95,0.95
-0.775,0.95,0.95
-0.77,0.95,0.95
-0.765,0.95,0.95
-0.76,0.95,0.95
-0.755,0.95,0.95
-0.75,0.95,0.95
-0.745,0.95,0.95
-0.74,0.95,0.95
-0.735,0.95,0.95
-0.73,0.95,0.95
-0.725,0.95,0.95
-0.72,0.95,0.95
-0.715,0.95,0.95
-0.71,0.95,0.95
-0.7050000000000001,0.95,0.95
-0.7,0.95,0.95
-0.6950000000000001,0.95,0.95
-0.69,0.95,0.95
-0.685,0.95,0.95
-0.6799999999999999,0.95,0.95
-0.675,0.95,0.95
-0.6699999999999999,0.95,0.95
-0.665,0.95,0.95
-0.6599999999999999,0.95,0.95
-0.655,0.95,0.95
-0.6499999999999999,0.95,0.95
-0.645,0.95,0.95
-0.64,0.95,0.95
-0.635,0.95,0.95
-0.63,0.95,0.95
-0.625,0.95,0.95
-0.62,0.95,0.95
-0.615,0.95,0.95
-0.61,0.95,0.95
-0.605,0.95,0.95
-0.6,0.95,0.95
-0.595,0.95,0.95
-0.59,0.95,0.95
-0.585,0.95,0.95
-0.5800000000000001,0.95,0.95
-0.575,0.95,0.95
-0.5700000000000001,0.95,0.95
-0.565,0.95,0.95
-0.56,0.95,0.95
-0.5549999999999999,0.95,0.95
-0.55,0.95,0.95
-0.5449999999999999,0.95,0.95
-0.54,0.95,0.95
-0.5349999999999999,0.95,0.95
-0.53,0.95,0.95
-0.5249999999999999,0.95,0.95
-0.52,0.95,0.95
-0.515,0.95,0.95
-0.51,0.95,0.95
-0.505,0.95,0.95
-0.5,0.95,0.95
-0.495,0.95,0.95
-0.49,0.95,0.95
-0.485,0.95,0.95
-0.48,0.95,0.95
-0.475,0.95,0.95
-0.47,0.95,0.95
-0.46499999999999997,0.95,0.95
-0.45999999999999996,0.95,0.95
-0.45499999999999996,0.95,0.95
-0.44999999999999996,0.95,0.95
-0.44499999999999995,0.95,0.95
-0.43999999999999995,0.95,0.95
-0.43499999999999994,0.95,0.95
-0.42999999999999994,0.95,0.95
-0.42499999999999993,0.95,0.95
-0.42000000000000004,0.95,0.95
-0.41500000000000004,0.95,0.95
-0.41000000000000003,0.95,0.95
-0.405,0.95,0.95
-0.4,0.95,0.95
-0.395,0.95,0.95
-0.39,0.95,0.95
-0.385,0.95,0.95
-0.38,0.95,0.95
-0.375,0.95,0.95
-0.37,0.95,0.95
-0.365,0.95,0.95
-0.36,0.95,0.95
-0.355,0.95,0.95
-0.35,0.95,0.95
-0.345,0.95,0.95
-0.33999999999999997,0.95,0.95
-0.33499999999999996,0.95,0.95
-0.32999999999999996,0.95,0.95
-0.32499999999999996,0.95,0.95
-0.31999999999999995,0.95,0.95
-0.31499999999999995,0.95,0.95
-0.30999999999999994,0.95,0.95
-0.30499999999999994,0.95,0.95
-0.29999999999999993,0.95,0.95
-0.29500000000000004,0.95,0.95
-0.29000000000000004,0.95,0.95
-0.28500000000000003,0.95,0.95
-0.28,0.95,0.95
-0.275,0.95,0.95
-0.27,0.95,0.95
-0.265,0.95,0.95
-0.26,0.95,0.95
-0.255,0.95,0.95
-0.25,0.95,0.95
-0.245,0.95,0.95
-0.24,0.95,0.95
-0.235,0.95,0.95
-0.22999999999999998,0.95,0.95
-0.22499999999999998,0.95,0.95
-0.21999999999999997,0.95,0.95
-0.21499999999999997,0.95,0.95
-0.20999999999999996,0.95,0.95
