time;Load__10_load_PPu;Load__10_load_QPu;Load__10_load_UPu;Generator___1_generator_PGenPu;Generator___1_generator_QGenPu;Shunt_shunt_section_value;Shunt_shunt_QPu;Shunt_shunt_BPu;
0.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
10.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
20.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
30.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
40.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
50.000000;29.450329;0.000000;0.955158;29.860499;8.538291;0.000000;0.000000;0.000000;
50.000000;30.413537;0.000000;0.975873;30.835196;6.397436;1.000000;-2.380819;2.500000;
60.000000;29.961796;0.000000;0.977470;30.369782;6.103432;1.000000;-2.388623;2.500000;
70.000000;29.723084;0.000000;0.978303;30.123958;5.950492;1.000000;-2.392691;2.500000;
80.000000;29.596100;0.000000;0.978741;29.993227;5.869907;1.000000;-2.394837;2.500000;
90.000000;29.528300;0.000000;0.978974;29.923440;5.827197;1.000000;-2.395975;2.500000;
100.000000;29.492081;0.000000;0.979098;29.886158;5.804331;1.000000;-2.396584;2.500000;
110.000000;29.472695;0.000000;0.979165;29.866204;5.792105;1.000000;-2.396910;2.500000;
120.000000;29.462313;0.000000;0.979201;29.855518;5.785561;1.000000;-2.397085;2.500000;
130.000000;29.456751;0.000000;0.979220;29.849793;5.782056;1.000000;-2.397178;2.500000;
140.000000;29.453771;0.000000;0.979230;29.846725;5.780178;1.000000;-2.397228;2.500000;
150.000000;29.452174;0.000000;0.979235;29.845082;5.779172;1.000000;-2.397255;2.500000;
160.000000;29.451272;0.000000;0.979239;29.844152;5.778575;1.000000;-2.397271;2.500000;
170.000000;29.450831;0.000000;0.979240;29.843699;5.778312;1.000000;-2.397278;2.500000;
180.000000;29.450597;0.000000;0.979241;29.843458;5.778171;1.000000;-2.397282;2.500000;
190.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
200.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
210.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
220.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
230.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
240.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
250.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
260.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
270.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
280.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
290.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
300.000000;29.450472;0.000000;0.979241;29.843330;5.778096;1.000000;-2.397284;2.500000;
