time;WTG4B_WTG4B_HvMeasurements_PPu;WTG4B_WTG4B_HvMeasurements_QPu;WTG4B_WTG4B_HvMeasurements_UPu;WTG4B_WTG4B_LvMeasurements_PPu;WTG4B_WTG4B_LvMeasurements_QPu;WTG4B_WTG4B_LvMeasurements_UPu;WTG4B_WTG4B_injector_PInjPuSn;WTG4B_WTG4B_injector_QInjPuSn;WTG4B_WTG4B_injector_UPu;WTG4B_WTG4B_injector_idPu;WTG4B_WTG4B_injector_iqPu;
0.000000;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000001;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000002;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000004;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000008;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000016;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000032;0.350000;0.100001;1.000000;0.356443;0.130067;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000064;0.350000;0.100001;1.000000;0.356443;0.130067;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000128;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.000256;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.000512;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001024;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001886;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001887;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001888;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
