time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;
39.95;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.951;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.952;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.953;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.954;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.955;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.956;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.957;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.958;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.959;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.96;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.961;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.962;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
39.963;0;0;0;0;0.000693937;0.999997;1;0;0;-9.99999e-06;0;-0.000999999;0.999999;1e-05;0.999995;0.999999;-9.99999e-06;0;1.005;0;0.999999;
