time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;Synch_Gen_generator_omegaPu;Synch_Gen_generator_thetaInternal;Synch_Gen_voltageRegulator_UsRefPu;Synch_Gen_generator_UStatorPu;Synch_Gen_generator_omegaRefPu;
0.315571;1.043571;0.042897;1.043571;0.042897;-4.365028;-0.178825;0.999997;0.884805;1.064569;1.052312;1.000000;
0.352574;1.043572;0.042897;1.043572;0.042897;-4.365025;-0.178682;0.999998;0.884777;1.064569;1.052318;1.000000;
0.389578;1.043573;0.042898;1.043573;0.042898;-4.365099;-0.178581;0.999999;0.884756;1.064569;1.052322;1.000000;
0.426582;1.043574;0.042899;1.043574;0.042899;-4.365227;-0.178523;0.999999;0.884742;1.064569;1.052324;1.000000;
0.463585;1.043574;0.042901;1.043574;0.042901;-4.365389;-0.178505;1.000000;0.884733;1.064569;1.052326;1.000000;
0.500589;1.043574;0.042903;1.043574;0.042903;-4.365565;-0.178519;1.000000;0.884730;1.064569;1.052327;1.000000;
0.537593;1.043573;0.042904;1.043573;0.042904;-4.365739;-0.178560;1.000001;0.884731;1.064569;1.052326;1.000000;
0.611600;1.043572;0.042907;1.043572;0.042907;-4.366022;-0.178678;1.000001;0.884740;1.064569;1.052323;1.000000;
0.685607;1.043571;0.042909;1.043571;0.042909;-4.366193;-0.178811;1.000001;0.884752;1.064569;1.052320;1.000000;
0.759615;1.043570;0.042909;1.043570;0.042909;-4.366241;-0.178921;1.000000;0.884762;1.064569;1.052316;1.000000;
0.833622;1.043569;0.042909;1.043569;0.042909;-4.366183;-0.178986;1.000000;0.884765;1.064569;1.052313;1.000000;
0.907629;1.043569;0.042907;1.043569;0.042907;-4.366053;-0.179001;0.999999;0.884763;1.064569;1.052312;1.000000;
0.981636;1.043569;0.042906;1.043569;0.042906;-4.365892;-0.178974;0.999999;0.884754;1.064569;1.052312;1.000000;
1.055644;1.043570;0.042904;1.043570;0.042904;-4.365737;-0.178918;0.999999;0.884741;1.064569;1.052313;1.000000;
1.129651;1.043570;0.042903;1.043570;0.042903;-4.365611;-0.178852;0.999999;0.884726;1.064569;1.052315;1.000000;
1.203658;1.043571;0.042902;1.043571;0.042902;-4.365526;-0.178789;0.999999;0.884712;1.064569;1.052316;1.000000;
1.351673;1.043572;0.042901;1.043572;0.042901;-4.365449;-0.178706;1.000000;0.884692;1.064569;1.052319;1.000000;
1.499688;1.043572;0.042901;1.043572;0.042901;-4.365436;-0.178675;1.000000;0.884679;1.064569;1.052320;1.000000;
1.647702;1.043572;0.042901;1.043572;0.042901;-4.365420;-0.178675;1.000000;0.884671;1.064569;1.052320;1.000000;
1.795717;1.043572;0.042900;1.043572;0.042900;-4.365358;-0.178675;1.000000;0.884665;1.064569;1.052320;1.000000;
1.943732;1.043572;0.042900;1.043572;0.042900;-4.365276;-0.178663;1.000000;0.884657;1.064569;1.052320;1.000000;
2.239761;1.043573;0.042898;1.043573;0.042898;-4.365117;-0.178628;1.000000;0.884641;1.064569;1.052320;1.000000;
2.831820;1.043573;0.042895;1.043573;0.042895;-4.364840;-0.178575;1.000000;0.884614;1.064569;1.052320;1.000000;
3.423878;1.043573;0.042893;1.043573;0.042893;-4.364582;-0.178535;1.000000;0.884592;1.064569;1.052320;1.000000;
4.423878;1.043574;0.042889;1.043574;0.042889;-4.364186;-0.178478;1.000000;0.884560;1.064569;1.052320;1.000000;
5.423878;1.043575;0.042885;1.043575;0.042885;-4.363825;-0.178427;1.000000;0.884532;1.064569;1.052320;1.000000;
6.423878;1.043575;0.042882;1.043575;0.042882;-4.363497;-0.178379;1.000000;0.884506;1.064569;1.052319;1.000000;
7.423878;1.043575;0.042879;1.043575;0.042879;-4.363189;-0.178333;1.000000;0.884481;1.064569;1.052319;1.000000;
8.423878;1.043576;0.042876;1.043576;0.042876;-4.362908;-0.178289;1.000000;0.884459;1.064569;1.052319;1.000000;
9.423878;1.043576;0.042873;1.043576;0.042873;-4.362652;-0.178248;1.000000;0.884438;1.064569;1.052319;1.000000;
10.423878;1.043577;0.042871;1.043577;0.042871;-4.362419;-0.178211;1.000000;0.884419;1.064569;1.052319;1.000000;
11.423878;1.043577;0.042869;1.043577;0.042869;-4.362208;-0.178176;1.000000;0.884401;1.064569;1.052319;1.000000;
12.423878;1.043577;0.042867;1.043577;0.042867;-4.362018;-0.178145;1.000000;0.884386;1.064569;1.052319;1.000000;
13.423878;1.043578;0.042865;1.043578;0.042865;-4.361845;-0.178117;1.000000;0.884371;1.064569;1.052319;1.000000;
14.423878;1.043578;0.042864;1.043578;0.042864;-4.361689;-0.178092;1.000000;0.884359;1.064569;1.052319;1.000000;
15.423878;1.043578;0.042862;1.043578;0.042862;-4.361548;-0.178070;1.000000;0.884347;1.064569;1.052319;1.000000;
16.423878;1.043578;0.042861;1.043578;0.042861;-4.361421;-0.178050;1.000000;0.884337;1.064569;1.052319;1.000000;
17.423878;1.043578;0.042860;1.043578;0.042860;-4.361306;-0.178031;1.000000;0.884327;1.064569;1.052319;1.000000;
18.423878;1.043579;0.042859;1.043579;0.042859;-4.361201;-0.178015;1.000000;0.884319;1.064569;1.052319;1.000000;
19.423878;1.043579;0.042858;1.043579;0.042858;-4.361107;-0.178000;1.000000;0.884311;1.064569;1.052319;1.000000;
19.999996;1.043579;0.042858;1.043579;0.042858;-4.361057;-0.177992;1.000000;0.884307;1.064569;1.052319;1.000000;
19.999996;1.043812;0.046983;1.043812;0.046983;-4.315027;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
19.999997;1.043812;0.046983;1.043812;0.046983;-4.315026;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
19.999998;1.043812;0.046983;1.043812;0.046983;-4.315026;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000000;1.043812;0.046983;1.043812;0.046983;-4.315025;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000002;1.043812;0.046983;1.043812;0.046983;-4.315025;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000006;1.043812;0.046983;1.043812;0.046983;-4.315023;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000010;1.043812;0.046984;1.043812;0.046984;-4.315022;-0.180518;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000013;1.043812;0.046984;1.043812;0.046984;-4.315021;-0.180519;1.000000;0.881613;1.064569;1.052912;1.000000;
20.000017;1.043812;0.046984;1.043812;0.046984;-4.315019;-0.180519;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000020;1.043812;0.046984;1.043812;0.046984;-4.315018;-0.180519;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000024;1.043812;0.046984;1.043812;0.046984;-4.315017;-0.180519;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000028;1.043812;0.046985;1.043812;0.046985;-4.315015;-0.180519;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000031;1.043812;0.046985;1.043812;0.046985;-4.315014;-0.180519;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000038;1.043812;0.046985;1.043812;0.046985;-4.315012;-0.180520;1.000000;0.881612;1.064569;1.052912;1.000000;
20.000046;1.043812;0.046986;1.043812;0.046986;-4.315009;-0.180520;1.000000;0.881611;1.064569;1.052912;1.000000;
20.000053;1.043812;0.046986;1.043812;0.046986;-4.315006;-0.180520;1.000000;0.881611;1.064569;1.052912;1.000000;
20.000060;1.043812;0.046986;1.043812;0.046986;-4.315004;-0.180521;1.000000;0.881611;1.064569;1.052912;1.000000;
20.000074;1.043812;0.046987;1.043812;0.046987;-4.314999;-0.180521;1.000000;0.881610;1.064569;1.052912;1.000000;
20.000103;1.043812;0.046989;1.043812;0.046989;-4.314988;-0.180522;1.000000;0.881609;1.064569;1.052913;1.000000;
20.000161;1.043812;0.046992;1.043812;0.046992;-4.314968;-0.180525;1.000000;0.881606;1.064569;1.052913;1.000000;
20.000276;1.043812;0.046998;1.043812;0.046998;-4.314927;-0.180530;1.000000;0.881602;1.064569;1.052913;1.000000;
20.000506;1.043811;0.047010;1.043811;0.047010;-4.314844;-0.180539;1.000000;0.881592;1.064569;1.052914;1.000000;
20.000967;1.043810;0.047034;1.043810;0.047034;-4.314680;-0.180558;1.000000;0.881573;1.064569;1.052915;1.000001;
20.001428;1.043809;0.047058;1.043809;0.047058;-4.314517;-0.180578;1.000001;0.881554;1.064569;1.052917;1.000001;
20.001889;1.043808;0.047083;1.043808;0.047083;-4.314355;-0.180597;1.000001;0.881535;1.064569;1.052918;1.000002;
20.002810;1.043805;0.047130;1.043805;0.047130;-4.314031;-0.180635;1.000002;0.881498;1.064569;1.052921;1.000003;
20.003732;1.043803;0.047178;1.043803;0.047178;-4.313710;-0.180672;1.000003;0.881461;1.064569;1.052924;1.000004;
20.005575;1.043799;0.047271;1.043799;0.047271;-4.313078;-0.180744;1.000005;0.881387;1.064569;1.052929;1.000007;
20.007418;1.043795;0.047363;1.043795;0.047363;-4.312461;-0.180813;1.000007;0.881314;1.064569;1.052935;1.000009;
20.009262;1.043791;0.047453;1.043791;0.047453;-4.311859;-0.180878;1.000008;0.881243;1.064569;1.052940;1.000012;
20.011105;1.043787;0.047541;1.043787;0.047541;-4.311273;-0.180938;1.000010;0.881172;1.064569;1.052946;1.000014;
20.012948;1.043784;0.047628;1.043784;0.047628;-4.310706;-0.180992;1.000012;0.881101;1.064569;1.052952;1.000016;
20.014791;1.043780;0.047713;1.043780;0.047713;-4.310157;-0.181041;1.000014;0.881032;1.064569;1.052958;1.000019;
20.016634;1.043777;0.047797;1.043777;0.047797;-4.309629;-0.181083;1.000016;0.880963;1.064569;1.052965;1.000021;
20.018478;1.043774;0.047879;1.043774;0.047879;-4.309120;-0.181119;1.000018;0.880895;1.064569;1.052971;1.000023;
20.020321;1.043771;0.047960;1.043771;0.047960;-4.308632;-0.181148;1.000020;0.880828;1.064569;1.052978;1.000026;
20.022164;1.043768;0.048039;1.043768;0.048039;-4.308164;-0.181170;1.000022;0.880761;1.064569;1.052985;1.000028;
20.025850;1.043764;0.048191;1.043764;0.048191;-4.307335;-0.181179;1.000026;0.880631;1.064569;1.053000;1.000033;
20.028461;1.043761;0.048296;1.043761;0.048296;-4.306790;-0.181173;1.000029;0.880539;1.064569;1.053011;1.000036;
20.031072;1.043759;0.048398;1.043759;0.048398;-4.306286;-0.181153;1.000032;0.880449;1.064569;1.053023;1.000040;
20.033422;1.043757;0.048489;1.043757;0.048489;-4.305865;-0.181124;1.000034;0.880368;1.064569;1.053034;1.000043;
20.035772;1.043755;0.048577;1.043755;0.048577;-4.305477;-0.181085;1.000037;0.880288;1.064569;1.053045;1.000046;
20.037886;1.043753;0.048655;1.043753;0.048655;-4.305156;-0.181042;1.000039;0.880217;1.064569;1.053056;1.000049;
20.040001;1.043752;0.048732;1.043752;0.048732;-4.304860;-0.180990;1.000042;0.880146;1.064569;1.053067;1.000051;
20.042116;1.043751;0.048807;1.043751;0.048807;-4.304589;-0.180931;1.000044;0.880076;1.064569;1.053078;1.000054;
20.046346;1.043750;0.048954;1.043750;0.048954;-4.304104;-0.180795;1.000049;0.879937;1.064569;1.053101;1.000059;
20.050575;1.043749;0.049095;1.043749;0.049095;-4.303707;-0.180634;1.000054;0.879801;1.064569;1.053124;1.000065;
20.054805;1.043749;0.049232;1.043749;0.049232;-4.303397;-0.180447;1.000059;0.879666;1.064569;1.053149;1.000070;
20.063264;1.043751;0.049490;1.043751;0.049490;-4.303015;-0.180010;1.000069;0.879404;1.064569;1.053201;1.000081;
20.070877;1.043754;0.049706;1.043754;0.049706;-4.302918;-0.179552;1.000078;0.879174;1.064569;1.053250;1.000091;
20.078490;1.043760;0.049908;1.043760;0.049908;-4.303020;-0.179046;1.000087;0.878952;1.064569;1.053301;1.000101;
20.086104;1.043767;0.050097;1.043767;0.050097;-4.303290;-0.178504;1.000096;0.878736;1.064569;1.053353;1.000111;
20.090367;1.043771;0.050198;1.043771;0.050198;-4.303500;-0.178189;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090368;1.043771;0.050198;1.043771;0.050198;-4.303500;-0.178189;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090369;1.043771;0.050198;1.043771;0.050198;-4.303500;-0.178189;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090371;1.043771;0.050198;1.043771;0.050198;-4.303500;-0.178188;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090375;1.043771;0.050198;1.043771;0.050198;-4.303501;-0.178188;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090383;1.043771;0.050198;1.043771;0.050198;-4.303501;-0.178187;1.000101;0.878618;1.064569;1.053383;1.000116;
20.090399;1.043771;0.050198;1.043771;0.050198;-4.303502;-0.178186;1.000101;0.878617;1.064569;1.053383;1.000116;
20.090431;1.043771;0.050199;1.043771;0.050199;-4.303504;-0.178184;1.000101;0.878616;1.064569;1.053383;1.000116;
20.090495;1.043771;0.050201;1.043771;0.050201;-4.303507;-0.178179;1.000101;0.878614;1.064569;1.053383;1.000116;
20.090623;1.043771;0.050203;1.043771;0.050203;-4.303515;-0.178169;1.000101;0.878611;1.064569;1.053384;1.000117;
