time;WECCPVVSource_photovoltaics_HvMeasurements_PPu;WECCPVVSource_photovoltaics_HvMeasurements_QPu;WECCPVVSource_photovoltaics_HvMeasurements_UPu;WECCPVVSource_photovoltaics_LvMeasurements_PPu;WECCPVVSource_photovoltaics_LvMeasurements_QPu;WECCPVVSource_photovoltaics_LvMeasurements_UPu;WECCPVVSource_photovoltaics_injector_PInjPu;WECCPVVSource_photovoltaics_injector_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
0.000000;0.699984;0.200000;1.000000;0.699984;0.279497;1.035338;0.699989;0.332500;1.050009;-0.699984;0.175002;0.199999;0.999993;
0.000058;0.699984;0.200000;1.000000;0.699984;0.279497;1.035338;0.699989;0.332500;1.050009;-0.699984;0.175002;0.199999;0.999993;
0.000115;0.699984;0.200000;1.000000;0.699984;0.279497;1.035338;0.699989;0.332500;1.050009;-0.699984;0.175002;0.199999;0.999993;
0.000230;0.699984;0.200001;1.000000;0.699984;0.279497;1.035338;0.699989;0.332500;1.050009;-0.699984;0.175002;0.200000;0.999994;
0.000460;0.699984;0.200001;1.000000;0.699984;0.279498;1.035338;0.699990;0.332501;1.050009;-0.699984;0.175003;0.200000;0.999995;
0.000920;0.699986;0.200002;1.000000;0.699986;0.279499;1.035339;0.699991;0.332502;1.050010;-0.699986;0.175003;0.200000;0.999997;
0.001841;0.699990;0.200002;1.000000;0.699990;0.279499;1.035339;0.699995;0.332503;1.050010;-0.699990;0.175004;0.200000;0.999999;
0.002761;0.699993;0.200001;1.000000;0.699993;0.279500;1.035339;0.699999;0.332504;1.050009;-0.699993;0.175005;0.200000;1.000001;
0.004602;0.699998;0.200001;1.000000;0.699998;0.279500;1.035339;0.700003;0.332505;1.050009;-0.699998;0.175006;0.200000;1.000001;
0.006443;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000001;
0.008284;0.700001;0.200000;1.000000;0.700001;0.279500;1.035339;0.700006;0.332505;1.050009;-0.700001;0.175007;0.199999;1.000000;
0.011966;0.700001;0.200000;1.000000;0.700001;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700001;0.175007;0.199999;1.000000;
0.015648;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700000;0.175007;0.199999;1.000000;
0.023012;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.028927;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.034842;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700000;0.175007;0.199999;1.000000;
0.040756;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700000;0.175007;0.199999;1.000000;
0.046671;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700006;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.052586;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.064416;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.088076;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.135396;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.230035;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.419314;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.797871;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
1.554986;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
3.069216;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
3.999999;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
3.999999;0.350040;1.099962;0.500005;0.350040;1.899415;0.836607;0.350093;2.432436;1.050009;-0.700080;0.175006;2.199902;1.060889;
3.999999;0.350041;1.099959;0.500005;0.350041;1.899408;0.836606;0.350094;2.432427;1.050008;-0.700082;0.175007;2.199897;1.060890;
3.999999;0.350042;1.099956;0.500005;0.350042;1.899402;0.836605;0.350095;2.432419;1.050006;-0.700084;0.175007;2.199891;1.060890;
3.999999;0.350044;1.099951;0.500005;0.350044;1.899389;0.836604;0.350097;2.432402;1.050003;-0.700088;0.175008;2.199879;1.060890;
3.999999;0.350048;1.099939;0.500005;0.350048;1.899364;0.836600;0.350101;2.432368;1.049998;-0.700096;0.175011;2.199856;1.060891;
4.000000;0.350056;1.099916;0.500005;0.350056;1.899314;0.836594;0.350110;2.432299;1.049986;-0.700112;0.175015;2.199810;1.060893;
4.000000;0.350072;1.099870;0.500005;0.350072;1.899213;0.836581;0.350126;2.432162;1.049963;-0.700145;0.175023;2.199717;1.060896;
4.000001;0.350105;1.099777;0.500005;0.350105;1.899012;0.836554;0.350158;2.431889;1.049917;-0.700210;0.175039;2.199532;1.060902;
4.000002;0.350170;1.099592;0.500005;0.350170;1.898610;0.836502;0.350223;2.431342;1.049824;-0.700340;0.175071;2.199161;1.060914;
4.000004;0.350300;1.099221;0.500005;0.350300;1.897805;0.836396;0.350353;2.430248;1.049639;-0.700600;0.175136;2.198421;1.060939;
4.000010;0.350560;1.098481;0.500005;0.350560;1.896198;0.836186;0.350613;2.428062;1.049268;-0.701119;0.175266;2.196940;1.060989;
4.000011;0.350627;1.098290;0.500005;0.350627;1.895783;0.836131;0.350680;2.427499;1.049173;-0.701253;0.175300;2.196558;1.061001;
4.000012;0.350660;1.098195;0.500005;0.350660;1.895576;0.836104;0.350713;2.427217;1.049125;-0.701320;0.175316;2.196367;1.061008;
4.000012;0.350680;1.098138;0.500005;0.350680;1.895454;0.836088;0.350733;2.427051;1.049097;-0.701359;0.175326;2.196255;1.061011;
4.000013;0.350699;1.098082;0.500005;0.350699;1.895332;0.836072;0.350753;2.426885;1.049069;-0.701399;0.175336;2.196142;1.061015;
4.000013;0.350719;1.098026;0.500005;0.350719;1.895210;0.836056;0.350772;2.426720;1.049041;-0.701438;0.175346;2.196030;1.061019;
4.000013;0.350739;1.097970;0.500005;0.350739;1.895088;0.836040;0.350792;2.426554;1.049013;-0.701478;0.175356;2.195917;1.061023;
4.000014;0.350759;1.097913;0.500005;0.350759;1.894966;0.836024;0.350812;2.426388;1.048985;-0.701517;0.175366;2.195805;1.061026;
4.000014;0.350778;1.097857;0.500005;0.350778;1.894844;0.836008;0.350831;2.426222;1.048957;-0.701557;0.175376;2.195692;1.061030;
4.000015;0.350798;1.097801;0.500005;0.350798;1.894722;0.835992;0.350851;2.426056;1.048929;-0.701596;0.175386;2.195580;1.061034;
4.000015;0.350818;1.097745;0.500005;0.350818;1.894600;0.835976;0.350871;2.425891;1.048900;-0.701636;0.175395;2.195468;1.061038;
4.000015;0.350838;1.097689;0.500005;0.350838;1.894478;0.835960;0.350891;2.425725;1.048872;-0.701675;0.175405;2.195355;1.061041;
4.000016;0.350877;1.097576;0.500005;0.350877;1.894235;0.835928;0.350930;2.425393;1.048816;-0.701754;0.175425;2.195130;1.061049;
4.000017;0.350916;1.097464;0.500005;0.350916;1.893991;0.835896;0.350970;2.425062;1.048760;-0.701833;0.175445;2.194906;1.061056;
4.000018;0.350956;1.097351;0.500005;0.350956;1.893747;0.835864;0.351009;2.424730;1.048704;-0.701912;0.175464;2.194681;1.061064;
4.000019;0.350995;1.097239;0.500005;0.350995;1.893503;0.835832;0.351048;2.424399;1.048647;-0.701991;0.175484;2.194456;1.061071;
4.000020;0.351074;1.097014;0.500005;0.351074;1.893016;0.835768;0.351127;2.423736;1.048535;-0.702148;0.175524;2.194006;1.061086;
4.000023;0.351232;1.096565;0.500005;0.351232;1.892041;0.835641;0.351285;2.422412;1.048310;-0.702464;0.175603;2.193107;1.061116;
4.000030;0.351547;1.095666;0.500005;0.351547;1.890094;0.835385;0.351600;2.419765;1.047861;-0.703095;0.175760;2.191310;1.061175;
4.000043;0.352179;1.093870;0.500005;0.352179;1.886205;0.834875;0.352231;2.414481;1.046963;-0.704357;0.176076;2.187719;1.061293;
4.000068;0.353440;1.090285;0.500005;0.353440;1.878455;0.833856;0.353493;2.403955;1.045170;-0.706881;0.176707;2.180548;1.061526;
4.000119;0.355963;1.083137;0.500004;0.355963;1.863059;0.831826;0.356015;2.383060;1.041596;-0.711926;0.177968;2.166252;1.061980;
4.000171;0.358480;1.076011;0.500004;0.358480;1.847781;0.829803;0.358532;2.362346;1.038033;-0.716961;0.179227;2.152000;1.062422;
4.000273;0.363505;1.061850;0.500004;0.363505;1.817634;0.825789;0.363556;2.321540;1.030953;-0.727010;0.181740;2.123679;1.063259;
4.000365;0.368003;1.049176;0.500004;0.368003;1.790881;0.822200;0.368052;2.285401;1.024616;-0.736006;0.183989;2.098332;1.063974;
4.000457;0.372476;1.036573;0.500004;0.372476;1.764494;0.818636;0.372524;2.249824;1.018314;-0.744951;0.186226;2.073127;1.064653;
