time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
0.0159101034;0.6851023787;0.2108387223;1.0344082939;-0.6851023787;0.1712770102;0.1376320383;1.0000000130;
0.0163207992;0.6858594318;0.2152449130;1.0354290363;-0.6858594318;0.1714662750;0.1417149741;1.0000000127;
0.0163207992;0.6858595263;0.2152890498;1.0354290624;-0.6858595341;0.1714663006;0.1417150784;1.0000000127;
0.0163307992;0.6858776678;0.2153926766;1.0354530149;-0.6858776678;0.1714708340;0.1418108876;1.0000000127;
0.0163407992;0.6858957910;0.2154962150;1.0354769488;-0.6858957910;0.1714753649;0.1419066225;1.0000000127;
0.0163607992;0.6859320170;0.2157031241;1.0355247744;-0.6859320137;0.1714844206;0.1420979232;1.0000000127;
0.0164007992;0.6860043423;0.2161160755;1.0356202189;-0.6860043423;0.1715025029;0.1424796979;1.0000000127;
0.0164807992;0.6861485277;0.2169385555;1.0358102757;-0.6861485277;0.1715385496;0.1432399190;1.0000000126;
0.0166407992;0.6864349867;0.2185696432;1.0361870308;-0.6864349867;0.1716101649;0.1447469268;1.0000000125;
0.0169607992;0.6870002176;0.2217763957;1.0369271454;-0.6870002176;0.1717514738;0.1477073609;1.0000000123;
0.0176007992;0.6880997467;0.2279694746;1.0383542663;-0.6880997467;0.1720263583;0.1534157974;1.0000000119;
0.0188807992;0.6901745986;0.2394886264;1.0410008250;-0.6901745986;0.1725450756;0.1640019445;1.0000000110;
0.0201607992;0.6920840166;0.2498724842;1.0433775287;-0.6920840166;0.1730224341;0.1735086808;1.0000000102;
0.0227207992;0.6954206175;0.2674630793;1.0473834327;-0.6954206175;0.1738565912;0.1895321644;1.0000000085;
0.0250247992;0.6978920633;0.2798702005;1.0501916667;-0.6978920633;0.1744744577;0.2007650076;1.0000000070;
0.0273287992;0.6998968236;0.2893865005;1.0523340213;-0.6998968236;0.1749756519;0.2093343552;1.0000000057;
0.0296327992;0.7014739674;0.2963442516;1.0538916043;-0.7014739674;0.1753699412;0.2155646355;1.0000000044;
0.0319367992;0.7026690421;0.3010994140;1.0549487049;-0.7026690421;0.1756687123;0.2197930030;1.0000000033;
0.0342407992;0.7035299452;0.3040032321;1.0555870523;-0.7035299452;0.1758839399;0.2223463716;1.0000000024;
0.0353621276;0.7038454587;0.3048678952;1.0557741287;-0.7038454587;0.1759628189;0.2230946709;1.0000000020;
