time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
0.0000000000;0.0401030643;0.0050257993;0.9854090745;
0.0000010000;0.0401030655;0.0050257996;0.9854091030;
0.0000020000;0.0401030666;0.0050257999;0.9854091315;
0.0000040000;0.0401030690;0.0050258004;0.9854091886;
0.0000080000;0.0401030736;0.0050258016;0.9854093026;
0.0000160000;0.0401030829;0.0050258039;0.9854095307;
0.0000320000;0.0401031014;0.0050258086;0.9854099867;
0.0000640000;0.0401031385;0.0050258179;0.9854108979;
0.0001280000;0.0401032126;0.0050258364;0.9854127175;
0.0002560000;0.0401033602;0.0050258734;0.9854163451;
0.0005120000;0.0401036536;0.0050259470;0.9854235546;
0.0010240000;0.0401042331;0.0050260922;0.9854377927;
0.0020480000;0.0401053631;0.0050263755;0.9854655603;
0.0040960000;0.0401075127;0.0050269143;0.9855183792;
0.0081920000;0.0401114049;0.0050278900;0.9856140195;
0.0122880000;0.0401147971;0.0050287405;0.9856973725;
0.0204800000;0.0401203568;0.0050301345;0.9858339836;
0.0278528000;0.0401241425;0.0050310838;0.9859270063;
0.0352256000;0.0401270082;0.0050318025;0.9859974220;
0.0425984000;0.0401291385;0.0050323367;0.9860497661;
0.0499712000;0.0401306879;0.0050327253;0.9860878399;
0.0573440000;0.0401317692;0.0050329966;0.9861144114;
0.0647168000;0.0401324766;0.0050331740;0.9861317935;
0.0720896000;0.0401328857;0.0050332766;0.9861418458;
0.0794624000;0.0401330572;0.0050333196;0.9861460584;
0.0942080000;0.0401329108;0.0050332829;0.9861424603;
0.1089536000;0.0401322655;0.0050331211;0.9861266047;
0.1236992000;0.0401312949;0.0050328776;0.9861027559;
0.1384448000;0.0401301193;0.0050325827;0.9860738694;
0.1531904000;0.0401288184;0.0050322564;0.9860419016;
0.1679360000;0.0401274434;0.0050319116;0.9860081162;
0.1974272000;0.0401246121;0.0050312015;0.9859385437;
0.2269184000;0.0401217350;0.0050304801;0.9858678490;
0.2859008000;0.0401161049;0.0050290683;0.9857295059;
0.3448832000;0.0401107208;0.0050277185;0.9855972031;
0.4038656000;0.0401056548;0.0050264486;0.9854727090;
0.4628480000;0.0401009274;0.0050252637;0.9853565369;
0.5218304000;0.0400965378;0.0050241636;0.9852486660;
0.5808128000;0.0400924772;0.0050231460;0.9851488842;
0.6397952000;0.0400887345;0.0050222082;0.9850569108;
0.6987776000;0.0400852969;0.0050213469;0.9849724369;
0.7577600000;0.0400821513;0.0050205589;0.9848951399;
0.8167424000;0.0400792844;0.0050198407;0.9848246895;
0.8757248000;0.0400766824;0.0050191890;0.9847607521;
0.9347072000;0.0400743319;0.0050186002;0.9847029928;
0.9936896000;0.0400722192;0.0050180711;0.9846510782;
1.0526720000;0.0400703308;0.0050175981;0.9846046776;
1.1116544000;0.0400686535;0.0050171781;0.9845634646;
1.1706368000;0.0400671743;0.0050168077;0.9845271184;
1.2296192000;0.0400658803;0.0050164836;0.9844953250;
1.2886016000;0.0400647591;0.0050162029;0.9844677783;
1.3475840000;0.0400637986;0.0050159624;0.9844441806;
1.4065664000;0.0400629870;0.0050157591;0.9844242441;
1.5245312000;0.0400617522;0.0050154500;0.9843939567;
1.6306995200;0.0400610423;0.0050152722;0.9843765203;
1.7368678400;0.0400606515;0.0050151744;0.9843670535;
1.8430361600;0.0400605308;0.0050151441;0.9843641130;
1.9492044800;0.0400606332;0.0050151698;0.9843666290;
2.0553728000;0.0400609166;0.0050152407;0.9843736197;
2.1615411200;0.0400613430;0.0050153475;0.9843841350;
2.2677094400;0.0400618790;0.0050154817;0.9843973419;
2.3738777600;0.0400624954;0.0050156361;0.9844125232;
2.5862144000;0.0400638477;0.0050159747;0.9844454465;
2.7985510400;0.0400652706;0.0050163310;0.9844805769;
3.0108876800;0.0400666592;0.0050166787;0.9845149733;
3.2232243200;0.0400679400;0.0050169995;0.9845465690;
3.4355609600;0.0400690695;0.0050172823;0.9845742844;
3.6478976000;0.0400700276;0.0050175223;0.9845975801;
3.8602342400;0.0400708109;0.0050177185;0.9846163607;
4.0725708800;0.0400714284;0.0050178731;0.9846308415;
4.2849075200;0.0400718963;0.0050179904;0.9846414337;
4.4972441600;0.0400722352;0.0050180752;0.9846486524;
4.7095808000;0.0400724671;0.0050181333;0.9846530498;
4.9219174400;0.0400726133;0.0050181699;0.9846551667;
5.1342540800;0.0400726940;0.0050181902;0.9846554989;
5.3465907200;0.0400727266;0.0050181983;0.9846544802;
5.5589273600;0.0400727262;0.0050181982;0.9846524738;
5.7712640000;0.0400727047;0.0050181928;0.9846497693;
5.9836006400;0.0400726719;0.0050181846;0.9846465878;
6.1959372800;0.0400726347;0.0050181753;0.9846430925;
6.4082739200;0.0400725984;0.0050181662;0.9846393918;
6.6206105600;0.0400725662;0.0050181581;0.9846355470;
6.8329472000;0.0400725402;0.0050181516;0.9846315973;
7.0452838400;0.0400725214;0.0050181469;0.9846275638;
7.2576204800;0.0400725097;0.0050181439;0.9846234121;
7.4699571200;0.0400725049;0.0050181427;0.9846190990;
7.6822937600;0.0400725060;0.0050181430;0.9846147252;
7.8946304000;0.0400725120;0.0050181445;0.9846103260;
8.1069670400;0.0400725220;0.0050181470;0.9846053022;
8.3193036800;0.0400725353;0.0050181503;0.9845994736;
8.5316403200;0.0400725494;0.0050181538;0.9845958946;
8.7439769600;0.0400725611;0.0050181568;0.9845957150;
8.9563136000;0.0400725787;0.0050181612;0.9845808493;
9.1033584738;0.0400701911;0.0050175632;0.9846013168;
9.2302334651;0.0400704634;0.0050176314;0.9846080576;
9.3571084564;0.0400707385;0.0050177003;0.9846147404;
9.4839834477;0.0400710368;0.0050177750;0.9846226687;
9.6108584389;0.0400712513;0.0050178287;0.9846273613;
9.8646084215;0.0400716713;0.0050179339;0.9846376875;
9.9999999998;0.0400719198;0.0050179961;0.9846324296;
9.9999999998;0.0415176170;0.0053866016;1.0201673509;
10.0000009998;0.0415175833;0.0053865929;1.0201665132;
10.0000019998;0.0415175511;0.0053865845;1.0201657223;
10.0000039998;0.0415174868;0.0053865678;1.0201641436;
10.0000079998;0.0415173580;0.0053865344;1.0201609778;
10.0000159998;0.0415171006;0.0053864676;1.0201546535;
10.0000319998;0.0415165861;0.0053863341;1.0201420102;
10.0000639998;0.0415155579;0.0053860673;1.0201167459;
10.0001279998;0.0415135051;0.0053855347;1.0200663056;
10.0002559998;0.0415094139;0.0053844733;1.0199657775;
10.0005119998;0.0415012886;0.0053823655;1.0197661221;
10.0010239998;0.0414852632;0.0053782096;1.0193723464;
10.0020479998;0.0414540913;0.0053701303;1.0186063951;
10.0040959998;0.0413950970;0.0053548564;1.0171567917;
10.0061439998;0.0413403460;0.0053407006;1.0158114719;
10.0081919998;0.0412895550;0.0053275853;1.0145634689;
10.0102399998;0.0412424544;0.0053154374;1.0134061363;
10.0122879998;0.0411987911;0.0053041885;1.0123332621;
10.0143359998;0.0411583305;0.0052937752;1.0113390795;
10.0163839998;0.0411208550;0.0052841394;1.0104182452;
