time;HVDC1_hvdc_P1Pu;HVDC2_hvdc_P1Pu;HVDC1_acemulation_PRefSetPu;HVDC2_acemulation_PRefSetPu;HVDC1_acemulation_KACEmulation;HVDC2_acemulation_KACEmulation;HVDC1_hvdc_running_value;HVDC2_hvdc_running_value;
0.000000;4.192628;4.192628;0.000000;0.000000;250.000000;250.000000;1.000000;1.000000;
10.000000;4.196116;4.196116;0.000000;0.000000;250.000000;250.000000;1.000000;1.000000;
20.000000;4.198518;4.198518;0.000000;0.000000;250.000000;250.000000;1.000000;1.000000;
30.000000;4.200173;4.200173;0.000000;0.000000;250.000000;250.000000;1.000000;1.000000;
30.000000;-0.000000;8.400346;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
40.000000;-0.000000;8.459826;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
40.000000;-0.000000;8.459826;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
50.000000;-0.000000;8.528679;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
50.000000;-0.000000;8.528679;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
60.000000;-0.000000;8.603976;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
60.000000;-0.000000;8.603976;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
70.000000;-0.000000;8.683707;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
70.000000;-0.000000;8.683707;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
80.000000;-0.000000;8.766494;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
80.000000;-0.000000;8.766494;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
90.000000;-0.000000;8.851395;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
90.000000;-0.000000;8.851395;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
100.000000;-0.000000;8.937761;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
100.000000;-0.000000;8.937761;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
110.000000;-0.000000;9.025148;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
110.000000;-0.000000;9.025148;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
120.000000;-0.000000;9.113253;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
120.000000;-0.000000;9.113253;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
130.000000;-0.000000;9.201865;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
140.000000;-0.000000;9.262582;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
150.000000;-0.000000;9.304185;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
160.000000;-0.000000;9.332692;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
170.000000;-0.000000;9.352225;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
180.000000;-0.000000;9.365609;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
190.000000;-0.000000;9.374780;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
200.000000;-0.000000;9.381064;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
210.000000;-0.000000;9.385370;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
220.000000;-0.000000;9.388320;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
230.000000;-0.000000;9.390342;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
240.000000;-0.000000;9.391728;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
250.000000;-0.000000;9.392677;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
260.000000;-0.000000;9.393327;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
270.000000;-0.000000;9.393773;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
280.000000;-0.000000;9.394079;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
290.000000;-0.000000;9.394288;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
300.000000;-0.000000;9.394431;0.000000;0.000000;0.000000;500.000000;-1.000000;1.000000;
