time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000034;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000161;-0.210037;1.000164;0.976169;0.217767;-0.930282;-0.422695;
0.025999;1.000072;-0.210092;1.000152;0.976161;0.217745;-0.930202;-0.422716;
0.075997;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930153;-0.422701;
0.175993;1.000003;-0.210094;1.000155;0.976169;0.217728;-0.930139;-0.422685;
0.375985;1.000001;-0.210077;1.000161;0.976174;0.217727;-0.930137;-0.422663;
0.515823;1.000001;-0.210068;1.000164;0.976178;0.217726;-0.930136;-0.422652;
0.540307;1.000000;-0.210066;1.000164;0.976178;0.217726;-0.930136;-0.422649;
0.589275;1.000000;-0.210062;1.000165;0.976179;0.217726;-0.930136;-0.422645;
0.687212;1.000000;-0.210055;1.000168;0.976182;0.217726;-0.930136;-0.422636;
0.883085;1.000000;-0.210042;1.000172;0.976186;0.217725;-0.930135;-0.422621;
1.274832;1.000000;-0.210025;1.000177;0.976191;0.217725;-0.930135;-0.422600;
2.000000;1.000000;-0.210011;1.000181;0.976196;0.217724;-0.930134;-0.422583;
2.000368;0.999998;-0.210011;1.000181;0.976196;0.217724;-0.930132;-0.422582;
2.001104;0.999966;-0.210019;1.000181;0.976198;0.217716;-0.930103;-0.422575;
2.002577;0.999699;-0.210074;1.000179;0.976211;0.217649;-0.929861;-0.422509;
2.004050;0.999160;-0.210182;1.000177;0.976239;0.217513;-0.929372;-0.422369;
2.006996;0.996785;-0.210557;1.000199;0.976395;0.216913;-0.927214;-0.421635;
2.009942;0.993079;-0.211033;1.000266;0.976672;0.215973;-0.923843;-0.420364;
2.012888;0.988116;-0.211548;1.000392;0.977079;0.214710;-0.919325;-0.418529;
2.015834;0.982025;-0.212053;1.000583;0.977615;0.213156;-0.913776;-0.416146;
2.018780;0.974957;-0.212518;1.000837;0.978267;0.211350;-0.907333;-0.413264;
2.021726;0.967070;-0.212925;1.001151;0.979021;0.209331;-0.900138;-0.409952;
2.027618;0.949108;-0.213554;1.001934;0.980795;0.204726;-0.883739;-0.402203;
2.033509;0.929833;-0.214040;1.002799;0.982697;0.199780;-0.866128;-0.393890;
2.039401;0.909918;-0.214447;1.003685;0.984626;0.194670;-0.847921;-0.385437;
2.045293;0.889866;-0.214814;1.004553;0.986512;0.189526;-0.829580;-0.377128;
2.057077;0.851432;-0.215477;1.006126;0.989953;0.179673;-0.794399;-0.361844;
2.068860;0.815665;-0.216048;1.007486;0.992952;0.170511;-0.761632;-0.348370;
2.080351;0.786610;-0.216694;1.008485;0.995180;0.163080;-0.735000;-0.338188;
2.080351;0.786685;-0.216458;1.008521;0.995247;0.163092;-0.735062;-0.337947;
2.082486;0.780805;-0.216548;1.008721;0.995694;0.161588;-0.729670;-0.335900;
2.086757;0.769457;-0.216718;1.009098;0.996543;0.158685;-0.719260;-0.332001;
2.095299;0.748394;-0.217009;1.009777;0.998073;0.153298;-0.699931;-0.324933;
2.112382;0.712200;-0.217448;1.010876;1.000561;0.144046;-0.666696;-0.313307;
2.129465;0.681204;-0.217776;1.011747;1.002547;0.136128;-0.638212;-0.303880;
2.146548;0.654714;-0.218016;1.012441;1.004142;0.129364;-0.613854;-0.296200;
2.163631;0.632094;-0.218187;1.013000;1.005432;0.123590;-0.593043;-0.289906;
2.180714;0.612786;-0.218302;1.013454;1.006483;0.118664;-0.575270;-0.284720;
2.197797;0.596304;-0.218374;1.013826;1.007344;0.114459;-0.560094;-0.280422;
2.214880;0.582236;-0.218410;1.014135;1.008056;0.110871;-0.547134;-0.276841;
2.249046;0.561280;-0.218388;1.014588;1.009086;0.105525;-0.527821;-0.271618;
2.283212;0.545669;-0.218292;1.014927;1.009835;0.101542;-0.513427;-0.267794;
2.317378;0.534069;-0.217628;1.015344;1.010543;0.098566;-0.502709;-0.264391;
2.351544;0.525371;-0.217517;1.015534;1.010947;0.096346;-0.494683;-0.262306;
2.385710;0.518912;-0.217366;1.015690;1.011261;0.094696;-0.488720;-0.260710;
2.454042;0.511236;-0.217154;1.015876;1.011635;0.092734;-0.481632;-0.258807;
2.522374;0.506685;-0.216690;1.016085;1.011952;0.091561;-0.477418;-0.257328;
2.551095;0.505549;-0.216479;1.016165;1.012058;0.091265;-0.476362;-0.256857;
2.551095;0.505549;-0.216479;1.016165;1.012058;0.091265;-0.476363;-0.256857;
2.573544;0.504536;-0.216317;1.016228;1.012145;0.091002;-0.475423;-0.256467;
2.618442;0.503137;-0.215982;1.016347;1.012298;0.090636;-0.474121;-0.255809;
2.708238;0.501662;-0.215333;1.016558;1.012544;0.090241;-0.472739;-0.254797;
2.887829;0.500605;-0.214203;1.016900;1.012915;0.089937;-0.471726;-0.253357;
3.067420;0.500226;-0.213152;1.017208;1.013236;0.089809;-0.471343;-0.252145;
3.426603;0.500055;-0.212004;1.017541;1.013577;0.089730;-0.471147;-0.250874;
4.144967;0.500010;-0.210862;1.017870;1.013911;0.089684;-0.471068;-0.249637;
5.581697;0.500002;-0.210226;1.018053;1.014097;0.089662;-0.471040;-0.248951;
5.999999;0.500001;-0.210173;1.018068;1.014112;0.089661;-0.471038;-0.248894;
5.999999;0.368202;-0.135446;0.736410;0.729847;0.098100;-0.471038;-0.248894;
6.000023;0.368182;-0.135481;0.736398;0.729835;0.098095;-0.471013;-0.248939;
6.000103;0.368119;-0.135587;0.736360;0.729799;0.098078;-0.470938;-0.249076;
6.000262;0.368031;-0.135725;0.736311;0.729753;0.098055;-0.470832;-0.249252;
6.000422;0.367980;-0.135791;0.736288;0.729731;0.098041;-0.470769;-0.249332;
