time;sm_generator_cePu;sm_generator_PePu;sm_generator_cmPu;sm_generator_PmPu;sm_generator_ufPu;sm_generator_efdPu;sm_generator_omegaPu;sm_generator_theta;sm_generator_PGenPu;sm_generator_QGenPu;sm_generator_PGen;sm_generator_QGen;sm_generator_UPu;sm_generator_IStatorPu;sm_generator_IRotorPu;sm_generator_UStatorPu;sm_generator_QStatorPu;sm_generator_thetaInternal;sm_governor_PmRefPu;busInf_infiniteBus_U;
0.000000;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892533;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000001;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892532;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000002;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892533;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000004;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892533;967.862401;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000008;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892535;967.862403;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000016;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892539;967.862406;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000032;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978925;9.678624;1997.892546;967.862411;1.000007;22.199690;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000064;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678624;1997.892560;967.862421;1.000007;22.199691;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000128;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678624;1997.892587;967.862442;1.000007;22.199691;2.557993;1.000007;9.678624;0.690749;0.903000;0.900810;
0.000256;0.902952;0.902952;0.903000;0.903000;0.001119;2.557896;1.000000;1.185212;19.978926;9.678625;1997.892643;967.862484;1.000007;22.199691;2.557993;1.000007;9.678625;0.690749;0.903000;0.900810;
0.000512;0.902952;0.902952;0.903000;0.903000;0.001119;2.557895;1.000000;1.185212;19.978928;9.678626;1997.892753;967.862568;1.000007;22.199693;2.557992;1.000007;9.678626;0.690749;0.903000;0.900810;
