time;IG1_inertialGrid_reducedOrderSFR_frequency;IG2_inertialGrid_reducedOrderSFR_frequency;
0.000000;50.000000;50.000000;
0.050000;49.999977;50.000023;
0.095000;49.999957;50.000043;
0.140000;49.999939;50.000061;
0.185000;49.999922;50.000078;
0.230000;49.999907;50.000093;
0.275000;49.999895;50.000106;
0.320000;49.999884;50.000116;
0.365000;49.999876;50.000124;
0.410000;49.999871;50.000130;
0.500000;49.999869;50.000131;
0.566177;49.999872;50.000128;
0.626370;49.999879;50.000121;
0.686564;49.999889;50.000111;
0.746757;49.999902;50.000098;
0.806951;49.999917;50.000083;
0.867144;49.999934;50.000066;
0.921318;49.999950;50.000049;
0.975492;49.999966;50.000033;
1.029666;49.999983;50.000016;
1.083841;50.000000;49.999999;
1.138015;50.000015;49.999983;
1.192189;50.000030;49.999969;
1.246363;50.000043;49.999956;
1.300537;50.000054;49.999944;
1.354711;50.000064;49.999934;
1.408885;50.000071;49.999927;
1.463060;50.000077;49.999921;
1.517234;50.000080;49.999918;
1.625582;50.000078;49.999920;
1.699512;50.000074;49.999924;
1.773443;50.000066;49.999932;
1.847373;50.000056;49.999942;
1.921303;50.000044;49.999954;
1.995234;50.000031;49.999967;
2.069164;50.000018;49.999980;
2.135701;50.000006;49.999992;
2.202239;49.999994;50.000004;
2.268776;49.999983;50.000015;
2.335313;49.999974;50.000025;
2.401851;49.999966;50.000033;
2.468388;49.999960;50.000039;
2.534925;49.999955;50.000043;
2.601462;49.999953;50.000046;
2.734537;49.999954;50.000044;
2.867612;49.999961;50.000037;
3.000686;49.999972;50.000026;
3.111370;49.999983;50.000016;
3.210985;49.999992;50.000006;
3.310600;50.000001;49.999997;
3.410215;50.000009;49.999989;
3.509831;50.000015;49.999983;
3.609446;50.000019;49.999979;
3.709061;50.000021;49.999977;
3.908291;50.000019;49.999979;
4.107522;50.000013;49.999986;
4.282666;50.000006;49.999993;
4.440296;50.000000;49.999999;
4.597926;49.999995;50.000004;
4.755556;49.999992;50.000007;
4.913186;49.999991;50.000008;
5.228446;49.999994;50.000005;
5.543706;49.999997;50.000002;
5.827439;50.000000;49.999999;
6.111173;50.000001;49.999998;
6.394907;50.000001;49.999998;
6.962375;50.000000;49.999999;
7.529842;50.000000;50.000000;
8.097310;50.000000;50.000000;
9.232246;50.000000;50.000000;
9.999998;50.000000;50.000000;
10.000431;49.999779;50.000000;
10.001296;49.999338;50.000000;
10.002161;49.998897;50.000000;
