time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
1.048576;0.700000;0.273908;1.028701;-0.700000;0.385000;0.052183;1.000000;
2.097152;0.700000;0.273908;1.028701;-0.700000;0.385000;0.052183;1.000000;
3.999999;0.700000;0.273908;1.028701;-0.700000;0.385000;0.052183;1.000000;
3.999999;0.350000;1.116958;1.028701;-0.700000;0.385000;0.961274;1.080224;
4.000000;0.350024;1.116919;1.028673;-0.700047;0.385026;0.961223;1.080231;
4.000001;0.350047;1.116879;1.028645;-0.700094;0.385052;0.961173;1.080239;
4.000003;0.350094;1.116800;1.028589;-0.700189;0.385104;0.961071;1.080253;
4.000007;0.350189;1.116642;1.028478;-0.700377;0.385207;0.960868;1.080281;
4.000015;0.350377;1.116327;1.028254;-0.700754;0.385415;0.960463;1.080338;
4.000031;0.350755;1.115695;1.027808;-0.701509;0.385830;0.959651;1.080450;
4.000063;0.351510;1.114435;1.026914;-0.703019;0.386661;0.958026;1.080674;
4.000127;0.353022;1.111924;1.025124;-0.706043;0.388324;0.954772;1.081116;
4.000255;0.356051;1.106937;1.021534;-0.712103;0.391656;0.948244;1.081974;
4.000511;0.362128;1.097102;1.014314;-0.724256;0.398341;0.935116;1.083593;
4.001023;0.374304;1.077967;0.999722;-0.748607;0.411734;0.908586;1.086450;
4.001535;0.386447;1.059515;0.984943;-0.772893;0.425091;0.881715;1.088814;
4.001769;0.391947;1.051314;0.978149;-0.783895;0.431142;0.869362;1.089736;
4.001770;0.391973;1.051279;0.978121;-0.783945;0.431170;0.869312;1.089740;
4.001771;0.391996;1.051244;0.978092;-0.783993;0.431196;0.869259;1.089743;
4.001773;0.392043;1.051174;0.978034;-0.784087;0.431248;0.869152;1.089751;
4.001777;0.392138;1.051035;0.977917;-0.784275;0.431351;0.868940;1.089766;
4.001785;0.392326;1.050757;0.977683;-0.784652;0.431559;0.868515;1.089795;
4.001801;0.392703;1.050201;0.977216;-0.785406;0.431973;0.867666;1.089854;
4.001833;0.393456;1.049090;0.976281;-0.786912;0.432802;0.865966;1.089971;
4.001897;0.394961;1.046877;0.974409;-0.789921;0.434457;0.862563;1.090198;
4.002025;0.397962;1.042478;0.970659;-0.795923;0.437758;0.855744;1.090632;
4.002281;0.403927;1.033793;0.963134;-0.807854;0.444320;0.842061;1.091415;
4.002793;0.415676;1.016850;0.947997;-0.831352;0.457244;0.814540;1.092659;
4.003305;0.427141;1.000447;0.932767;-0.854283;0.469855;0.786850;1.093487;
4.004329;0.448958;0.969071;0.902190;-0.897915;0.493853;0.731255;1.094014;
4.005250;0.467158;0.942294;0.874685;-0.934317;0.513874;0.681246;1.093297;
