time;WECCPVVSource_photovoltaics_HvMeasurements_PPu;WECCPVVSource_photovoltaics_HvMeasurements_QPu;WECCPVVSource_photovoltaics_HvMeasurements_UPu;WECCPVVSource_photovoltaics_LvMeasurements_PPu;WECCPVVSource_photovoltaics_LvMeasurements_QPu;WECCPVVSource_photovoltaics_LvMeasurements_UPu;WECCPVVSource_photovoltaics_injector_PInjPu;WECCPVVSource_photovoltaics_injector_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
0.000000;0.699984;0.200000;1.000000;0.699984;0.279497;1.035338;0.699989;0.332500;1.050009;-0.699984;0.175002;0.199999;0.999993;
0.020000;0.699999;0.200000;1.000000;0.699999;0.279500;1.035339;0.700004;0.332505;1.050009;-0.699999;0.175006;0.199999;1.000000;
0.040000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.080000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.160000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.320000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
0.640000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
1.280000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
2.560000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
3.999999;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.332505;1.050009;-0.700000;0.175006;0.199999;1.000000;
3.999999;0.350040;1.099962;0.500005;0.350040;1.899415;0.836607;0.350093;2.432436;1.050009;-0.700080;0.175006;2.199902;1.060889;
3.999999;0.350041;1.099959;0.500005;0.350041;1.899408;0.836606;0.350094;2.432428;1.050008;-0.700082;0.175007;2.199897;1.060890;
3.999999;0.350042;1.099957;0.500005;0.350042;1.899402;0.836605;0.350095;2.432419;1.050006;-0.700084;0.175007;2.199891;1.060890;
3.999999;0.350044;1.099951;0.500005;0.350044;1.899390;0.836604;0.350097;2.432403;1.050003;-0.700088;0.175008;2.199880;1.060890;
3.999999;0.350048;1.099940;0.500005;0.350048;1.899365;0.836600;0.350101;2.432369;1.049998;-0.700096;0.175010;2.199857;1.060891;
4.000000;0.350056;1.099917;0.500005;0.350056;1.899316;0.836594;0.350109;2.432302;1.049986;-0.700112;0.175014;2.199812;1.060892;
4.000000;0.350072;1.099872;0.500005;0.350072;1.899218;0.836581;0.350125;2.432168;1.049964;-0.700144;0.175022;2.199721;1.060896;
4.000000;0.350104;1.099781;0.500005;0.350104;1.899021;0.836555;0.350157;2.431900;1.049918;-0.700207;0.175038;2.199540;1.060902;
4.000002;0.350167;1.099600;0.500005;0.350167;1.898627;0.836504;0.350220;2.431365;1.049828;-0.700334;0.175070;2.199177;1.060914;
4.000004;0.350294;1.099237;0.500005;0.350294;1.897839;0.836401;0.350348;2.430294;1.049647;-0.700589;0.175134;2.198452;1.060938;
