time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;
0;0.902956;0.902956;0.903;0.903;0.00105886;2.42074;1;1.224;19.979;9.67901;1997.9;967.901;1.00001;22.1998;2.42068;1.00001;9.67901;0.729542;
0.001;0.902956;0.902956;0.903;0.903;0.00105879;2.42057;1;1.224;19.979;9.67902;1997.9;967.902;1.00001;22.1998;2.42068;1.00001;9.67902;0.729542;
0.002;0.902957;0.902957;0.903;0.903;0.00105871;2.4204;1;1.224;19.979;9.67902;1997.9;967.902;1.00001;22.1998;2.42068;1.00001;9.67902;0.729542;
0.004;0.902957;0.902957;0.903;0.903;0.00105857;2.42008;1;1.224;19.979;9.67903;1997.9;967.903;1.00001;22.1998;2.42068;1.00001;9.67903;0.729542;
0.008;0.902957;0.902957;0.903;0.903;0.00105834;2.41955;1;1.224;19.9791;9.67905;1997.91;967.905;1.00001;22.1998;2.42067;1.00001;9.67905;0.729542;
0.016;0.902958;0.902958;0.903;0.903;0.00105801;2.41878;1;1.224;19.9791;9.67906;1997.91;967.906;1.00001;22.1998;2.42065;1.00001;9.67906;0.729542;
0.032;0.902957;0.902957;0.903;0.903;0.00105768;2.41804;1;1.224;19.979;9.67901;1997.9;967.901;1.00001;22.1998;2.42062;1.00001;9.67901;0.729543;
0.064;0.902952;0.902953;0.903;0.903;0.00105766;2.41799;1;1.22401;19.979;9.67882;1997.9;967.882;1.00001;22.1997;2.42058;1.00001;9.67882;0.729546;
0.128;0.902952;0.902952;0.903;0.903;0.00105821;2.41924;1;1.22402;19.9789;9.6785;1997.89;967.85;1;22.1997;2.42055;1;9.6785;0.729555;
0.256;0.90299;0.902991;0.902999;0.903;0.00105888;2.42078;1;1.22406;19.9798;9.67873;1997.98;967.873;0.999999;22.2007;2.42065;0.999999;9.67873;0.72957;
0.512;0.903019;0.903019;0.903;0.903;0.00105894;2.42091;1;1.22409;19.9804;9.67907;1998.04;967.907;0.999999;22.2014;2.42071;0.999999;9.67907;0.729578;
0.64;0.903018;0.903018;0.903;0.903;0.00105887;2.42076;1;1.22408;19.9804;9.6791;1998.04;967.91;1;22.2014;2.42071;1;9.6791;0.729578;
0.896;0.903004;0.903004;0.903001;0.903;0.0010588;2.4206;1;1.22407;19.9801;9.67896;1998.01;967.896;1;22.201;2.42069;1;9.67896;0.729576;
1;0.903003;0.903003;0.903;0.903;0.0010588;2.42061;1;1.22407;19.9801;9.67894;1998.01;967.894;1;22.201;2.42069;1;9.67894;0.729576;
1.00006;0.0253064;0.0253066;0.902993;0.903;0.00126382;2.8893;1.00001;1.22407;-4.12151e-07;28.0623;-4.12151e-05;2806.23;0.435225;64.4778;3.72056;0.435225;28.0623;0.50908;
1.00012;0.0252865;0.0252869;0.902987;0.903;0.00143834;3.28829;1.00001;1.22407;-1.85987e-07;28.0404;-1.85987e-05;2804.04;0.435055;64.4526;3.72212;0.435055;28.0404;0.508758;
1.00022;0.0252471;0.0252478;0.902975;0.903;0.00178513;4.08111;1.00003;1.22407;3.50787e-16;27.997;3.50787e-14;2799.7;0.434718;64.4027;3.72531;0.434718;27.997;0.508112;
1.00044;0.0251698;0.0251712;0.902951;0.903;0.00246979;5.64635;1.00005;1.22408;5.69976e-16;27.912;5.69975e-14;2791.2;0.434058;64.3049;3.73192;0.434058;27.912;0.506813;
1.00086;0.0250194;0.0250221;0.902903;0.903;0.00306189;7;1.00011;1.22409;6.61744e-24;27.7468;6.61744e-22;2774.68;0.432771;64.1142;3.74541;0.432771;27.7468;0.504214;
1.00129;0.024872;0.024876;0.902854;0.903;0.00306189;7;1.00016;1.22411;2.10556e-15;27.5847;2.10556e-13;2758.47;0.431505;63.9267;3.75868;0.431505;27.5847;0.501625;
1.00214;0.0245874;0.0245941;0.902758;0.903;0.00306189;7;1.00027;1.22419;-5.70388e-16;27.2721;-5.70388e-14;2727.21;0.429053;63.5634;3.78439;0.429053;27.2721;0.496506;
1.00291;0.0243402;0.0243491;0.902671;0.903;0.00306189;7;1.00037;1.22427;7.58608e-16;27.0005;7.58608e-14;2700.05;0.426911;63.2461;3.80687;0.426911;27.0005;0.491933;
1.00368;0.0241014;0.0241125;0.902584;0.903;0.00306189;7;1.00046;1.22439;-8.32288e-16;26.7381;-8.32288e-14;2673.81;0.424832;62.9381;3.82872;0.424832;26.7381;0.487397;
1.00445;0.0238707;0.023884;0.902497;0.903;0.00306189;7;1.00056;1.22452;4.71176e-17;26.4847;4.71176e-15;2648.47;0.422814;62.6391;3.84995;0.422814;26.4847;0.4829;
1.00599;0.0234287;0.0234463;0.902323;0.903;0.00306189;7;1.00075;1.22484;-1.83608e-15;25.9994;-1.83608e-13;2599.94;0.418922;62.0625;3.89102;0.418922;25.9994;0.47397;
1.00752;0.0230148;0.0230365;0.902149;0.903;0.00306189;7;1.00094;1.22525;2.02863e-17;25.545;2.02863e-15;2554.5;0.415245;61.5177;3.92994;0.415245;25.545;0.46518;
1.00906;0.022628;0.0226537;0.901975;0.903;0.00306189;7;1.00114;1.22576;-1.13763e-15;25.1205;-1.13763e-13;2512.05;0.411781;61.0046;3.96671;0.411781;25.1205;0.456562;
1.01214;0.021929;0.0219625;0.901627;0.903;0.00306189;7;1.00152;1.22704;-5.8578e-16;24.354;-5.8578e-14;2435.4;0.405449;60.0666;4.03436;0.405449;24.354;0.439836;
1.0149;0.0213766;0.0214167;0.901314;0.903;0.00306189;7;1.00187;1.22852;-7.81439e-17;23.7487;-7.81439e-15;2374.87;0.400379;59.3155;4.08897;0.400379;23.7487;0.425408;
1.01767;0.0208877;0.0209341;0.901001;0.903;0.00306189;7;1.00222;1.2303;-5.55822e-16;23.2136;-5.55822e-14;2321.36;0.395843;58.6434;4.1383;0.395843;23.2136;0.411584;
1.02044;0.0204549;0.0205074;0.900688;0.903;0.00306189;7;1.00257;1.23238;-8.70738e-17;22.7404;-8.70738e-15;2274.04;0.391788;58.0427;4.18287;0.391788;22.7404;0.398372;
1.02321;0.0200715;0.02013;0.900376;0.903;0.00306189;7;1.00292;1.23476;-1.02302e-15;22.3219;-1.02302e-13;2232.19;0.388167;57.5062;4.22317;0.388167;22.3219;0.385773;
1.02597;0.0197318;0.0197962;0.900063;0.903;0.00306189;7;1.00326;1.23745;3.45645e-16;21.9518;3.45645e-14;2195.18;0.384936;57.0275;4.25964;0.384936;21.9518;0.373777;
1.02874;0.0194307;0.0195009;0.899751;0.903;0.00306189;7;1.00361;1.24043;1.85397e-15;21.6243;1.85397e-13;2162.43;0.382054;56.6006;4.2927;0.382054;21.6243;0.362376;
