time;NETWORK_b1_Upu_value;NETWORK_b2_Upu_value;NETWORK_b3_Upu_value;NETWORK_b4_Upu_value;g1_generator_omegaPu;g1_generator_PGen;g1_generator_QGen;g1_generator_UStatorPu;g1_voltageRegulator_EfdPu;g2_generator_omegaPu;g2_generator_PGen;g2_generator_QGen;g2_generator_UStatorPu;g2_voltageRegulator_EfdPu;g3_generator_omegaPu;g3_generator_PGen;g3_generator_QGen;g3_generator_UStatorPu;g3_voltageRegulator_EfdPu;l4_load_PPu;l4_load_QPu;
0.000000;0.973228;0.965903;0.998938;0.929832;1.000000;105.620422;84.913905;0.980473;1.605535;1.000000;88.085929;90.366274;0.974290;1.598198;1.000000;75.239472;1.298413;0.999077;1.102461;2.686263;1.667405;
0.000001;0.973227;0.965903;0.998938;0.929832;1.000000;105.620302;84.913829;0.980473;1.605536;1.000000;88.085997;90.366346;0.974290;1.598198;1.000000;75.239509;1.298403;0.999077;1.102462;2.686262;1.667405;
0.000002;0.973227;0.965903;0.998938;0.929832;1.000000;105.620358;84.913791;0.980473;1.605538;1.000000;88.085917;90.366239;0.974290;1.598200;1.000000;75.239499;1.298507;0.999077;1.102463;2.686262;1.667404;
0.000004;0.973227;0.965903;0.998938;0.929832;1.000000;105.620479;84.913716;0.980473;1.605542;1.000000;88.085750;90.366014;0.974290;1.598205;1.000000;75.239475;1.298722;0.999077;1.102465;2.686261;1.667404;
0.000005;0.973227;0.965902;0.998938;0.929832;1.000000;105.620533;84.913680;0.980473;1.605544;1.000000;88.085673;90.365911;0.974290;1.598207;1.000000;75.239465;1.298823;0.999077;1.102465;2.686261;1.667403;
0.000006;0.973227;0.965902;0.998938;0.929831;1.000000;105.620611;84.913623;0.980473;1.605546;1.000000;88.085561;90.365759;0.974289;1.598210;1.000000;75.239450;1.298972;0.999077;1.102466;2.686261;1.667403;
0.000008;0.973227;0.965902;0.998938;0.929831;1.000000;105.620666;84.913580;0.980473;1.605548;1.000000;88.085478;90.365647;0.974289;1.598213;1.000000;75.239440;1.299082;0.999077;1.102467;2.686260;1.667402;
0.000008;0.973227;0.965902;0.998938;0.929831;1.000000;105.620690;84.913560;0.980473;1.605549;1.000000;88.085442;90.365598;0.974289;1.598214;1.000000;75.239436;1.299132;0.999077;1.102468;2.686260;1.667402;
0.000016;0.973226;0.965901;0.998937;0.929831;1.000000;105.621134;84.913252;0.980472;1.605563;1.000000;88.084808;90.364743;0.974288;1.598232;1.000000;75.239353;1.299965;0.999076;1.102474;2.686257;1.667400;
0.000032;0.973225;0.965900;0.998937;0.929829;1.000000;105.622020;84.912636;0.980470;1.605592;1.000000;88.083540;90.363035;0.974287;1.598268;1.000000;75.239186;1.301630;0.999076;1.102486;2.686252;1.667394;
