time;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_VL1_BUS1_U;NETWORK_VL2_BUS1_U;
5.3069742080;0.0400726305;0.0050181741;-0.0701271085;0.0706675118;-0.0150545197;0.0176983629;1.9693224650;1.0000048840;
5.4980771840;0.0400726259;0.0050181730;-0.0701271056;0.0706675089;-0.0150545164;0.0176983597;1.9693222796;1.0000047907;
5.6891801600;0.0400726013;0.0050181668;-0.0701270705;0.0706674739;-0.0150544985;0.0176983421;1.9693211494;1.0000042219;
5.8802831360;0.0400725537;0.0050181549;-0.0701269690;0.0706673721;-0.0150544647;0.0176983069;1.9693187425;1.0000030095;
6.0713861120;0.0400746664;0.0050186840;-0.0701268499;0.0706672520;-0.0150543355;0.0176981727;1.9693166974;1.0000019249;
6.2624890880;0.0400746984;0.0050186920;-0.0701267050;0.0706671058;-0.0150541929;0.0176980240;1.9693142547;1.0000006349;
6.4535920640;0.0400746562;0.0050186815;-0.0701265336;0.0706669330;-0.0150540480;0.0176978720;1.9693114563;0.9999991657;
6.6446950400;0.0400746211;0.0050186727;-0.0701263396;0.0706667373;-0.0150538974;0.0176977133;1.9693083781;0.9999975534;
6.8357980160;0.0400745805;0.0050186625;-0.0701261208;0.0706665166;-0.0150537439;0.0176975507;1.9693050408;0.9999958094;
7.0269009920;0.0400745315;0.0050186502;-0.0701258818;0.0706662756;-0.0150535915;0.0176973881;1.9693015359;0.9999939811;
7.2180039680;0.0400744802;0.0050186374;-0.0701256213;0.0706660128;-0.0150534405;0.0176972259;1.9692978630;0.9999920684;
7.4091069440;0.0400744214;0.0050186227;-0.0701253355;0.0706657244;-0.0150532931;0.0176970660;1.9692939615;0.9999900420;
7.6002099200;0.0400743531;0.0050186055;-0.0701250290;0.0706654153;-0.0150531531;0.0176969127;1.9692898849;0.9999879309;
7.7913128960;0.0400742825;0.0050185879;-0.0701247000;0.0706650833;-0.0150530189;0.0176967642;1.9692856048;0.9999857199;
7.9824158720;0.0400742035;0.0050185681;-0.0701243367;0.0706647168;-0.0150528915;0.0176966212;1.9692809188;0.9999833088;
8.1735188480;0.0400741058;0.0050185436;-0.0701239512;0.0706643281;-0.0150527803;0.0176964939;1.9692759397;0.9999807591;
8.3646218240;0.0400740084;0.0050185192;-0.0701235591;0.0706639326;-0.0150526811;0.0176963783;1.9692709230;0.9999781962;
8.5557248000;0.0400739172;0.0050184964;-0.0701231087;0.0706634785;-0.0150525786;0.0176962573;1.9692651396;0.9999752478;
8.7468277760;0.0400737727;0.0050184602;-0.0701225898;0.0706629555;-0.0150525068;0.0176961657;1.9692581323;0.9999717049;
8.9379307520;0.0400735934;0.0050184153;-0.0701221995;0.0706625625;-0.0150525040;0.0176961493;1.9692527302;0.9999690014;
9.1290337280;0.0400735733;0.0050184102;-0.0701218760;0.0706622359;-0.0150524268;0.0176960572;1.9692491463;0.9999671621;
9.3201367040;0.0400735511;0.0050184047;-0.0701207796;0.0706611306;-0.0150521822;0.0176957689;1.9692345556;0.9999597354;
9.5112396800;0.0400727533;0.0050182049;-0.0701194543;0.0706597995;-0.0150524725;0.0176960312;1.9692111190;0.9999482023;
9.6281796219;0.0400709522;0.0050177538;-0.0701241608;0.0706645612;-0.0150532605;0.0176970940;1.9692399441;0.9999633298;
9.7334255696;0.0400711267;0.0050177975;-0.0701244717;0.0706648724;-0.0150533924;0.0176972270;1.9692486109;0.9999676940;
9.8386715174;0.0400713760;0.0050178599;-0.0701247057;0.0706651066;-0.0150534926;0.0176973273;1.9692554169;0.9999711183;
9.9439174651;0.0400717699;0.0050179586;-0.0701249463;0.0706653472;-0.0150535782;0.0176974126;1.9692624573;0.9999746513;
9.9999999998;0.0400719719;0.0050180092;-0.0701249674;0.0706653675;-0.0150536004;0.0176974308;1.9692646176;0.9999757270;
9.9999999998;0.0415172464;0.0053865055;-0.0415172464;0.0416961373;-0.0053865052;0.0062185166;2.0403164727;1.0270552632;
10.0000009998;0.0415172090;0.0053864958;-0.0415172090;0.0416960999;-0.0053864958;0.0062185071;2.0403146356;1.0270543425;
10.0000019998;0.0415171716;0.0053864861;-0.0415171768;0.0416960677;-0.0053864874;0.0062184987;2.0403130539;1.0270535498;
10.0000039998;0.0415171103;0.0053864701;-0.0415171128;0.0416960037;-0.0053864708;0.0062184821;2.0403099063;1.0270519722;
10.0000079998;0.0415169838;0.0053864373;-0.0415169838;0.0416958745;-0.0053864373;0.0062184486;2.0403035649;1.0270487940;
10.0000159998;0.0415167264;0.0053863705;-0.0415167264;0.0416956170;-0.0053863705;0.0062183818;2.0402909161;1.0270424545;
10.0000319998;0.0415162118;0.0053862370;-0.0415162118;0.0416951021;-0.0053862370;0.0062182482;2.0402656296;1.0270297811;
10.0000639998;0.0415151837;0.0053859702;-0.0415151837;0.0416940733;-0.0053859702;0.0062179812;2.0402151009;1.0270044564;
10.0001279998;0.0415131309;0.0053854376;-0.0415131309;0.0416920192;-0.0053854376;0.0062174482;2.0401142201;1.0269538956;
10.0002559998;0.0415090397;0.0053843762;-0.0415090397;0.0416879254;-0.0053843762;0.0062163861;2.0399131633;1.0268531272;
10.0005119998;0.0415009143;0.0053822684;-0.0415009143;0.0416797949;-0.0053822684;0.0062142768;2.0395138519;1.0266529949;
10.0010239998;0.0414848889;0.0053781125;-0.0414848889;0.0416637592;-0.0053781125;0.0062101181;2.0387262987;1.0262582784;
10.0020479998;0.0414537170;0.0053700333;-0.0414537170;0.0416325675;-0.0053700333;0.0062020333;2.0371943928;1.0254904974;
10.0040959998;0.0413947225;0.0053547595;-0.0413947225;0.0415735355;-0.0053547595;0.0061867491;2.0342951798;1.0240374316;
10.0061439998;0.0413401525;0.0053406507;-0.0413399728;0.0415187510;-0.0053406049;0.0061725848;2.0316045342;1.0226888998;
10.0081919998;0.0412894198;0.0053275506;-0.0412891840;0.0414679301;-0.0053274914;0.0061594625;2.0291085225;1.0214379179;
10.0102399998;0.0412423113;0.0053154007;-0.0412420849;0.0414208011;-0.0053153448;0.0061473076;2.0267938519;1.0202778231;
10.0122879998;0.0411986350;0.0053041485;-0.0411984228;0.0413771114;-0.0053040968;0.0061360519;2.0246480986;1.0192023888;
10.0143359998;0.0411581603;0.0052937318;-0.0411579631;0.0413366262;-0.0052936844;0.0061256324;2.0226597289;1.0182058342;
10.0163839998;0.0411206713;0.0052840925;-0.0411204883;0.0412991277;-0.0052840492;0.0061159906;2.0208180559;1.0172828031;
10.0184319998;0.0410859667;0.0052751771;-0.0410857970;0.0412644145;-0.0052751374;0.0061070727;2.0191131765;1.0164283321;
10.0204799998;0.0410538598;0.0052669356;-0.0410537024;0.0412322996;-0.0052668993;0.0060988290;2.0175359093;1.0156378194;
10.0225279998;0.0410241771;0.0052593222;-0.0410240310;0.0412026096;-0.0052592889;0.0060912134;2.0160777354;1.0149069955;
10.0245759998;0.0409967578;0.0052522942;-0.0409966220;0.0411751833;-0.0052522636;0.0060841833;2.0147307444;1.0142318955;
10.0266239998;0.0409714520;0.0052458121;-0.0409713257;0.0411498711;-0.0052457840;0.0060776993;2.0134875849;1.0136088352;
10.0286719998;0.0409481206;0.0052398393;-0.0409480031;0.0411265339;-0.0052398135;0.0060717246;2.0123414204;1.0130343880;
10.0307199998;0.0409266341;0.0052343418;-0.0409265247;0.0411050420;-0.0052343180;0.0060662254;2.0112858882;1.0125053650;
10.0327679998;0.0409068719;0.0052292880;-0.0409067699;0.0410852748;-0.0052292661;0.0060611700;2.0103150626;1.0120187962;
10.0348159998;0.0408887214;0.0052246486;-0.0408886264;0.0410671199;-0.0052246284;0.0060565291;2.0094234213;1.0115719140;
10.0368639998;0.0408720780;0.0052203961;-0.0408719893;0.0410504724;-0.0052203775;0.0060522753;2.0086058152;1.0111621375;
10.0389119998;0.0408568438;0.0052165053;-0.0408567610;0.0410352345;-0.0052164880;0.0060483832;2.0078574398;1.0107870588;
10.0409599998;0.0408429274;0.0052129523;-0.0408428501;0.0410213149;-0.0052129363;0.0060448291;2.0071738098;1.0104444300;
10.0430079998;0.0408302437;0.0052097150;-0.0408301715;0.0410086283;-0.0052097003;0.0060415908;2.0065507361;1.0101321515;
10.0450559998;0.0408187129;0.0052067729;-0.0408186454;0.0409970950;-0.0052067592;0.0060386477;2.0059843040;1.0098482611;
10.0471039998;0.0408082605;0.0052041066;-0.0408081974;0.0409866405;-0.0052040940;0.0060359807;2.0054708534;1.0095909247;
10.0491519998;0.0407988168;0.0052016983;-0.0407987578;0.0409771950;-0.0052016866;0.0060335716;2.0050069611;1.0093584264;
10.0511999998;0.0407903167;0.0051995311;-0.0407902615;0.0409686933;-0.0051995202;0.0060314037;2.0045894240;1.0091491608;
10.0532479998;0.0407826991;0.0051975892;-0.0407826474;0.0409610745;-0.0051975791;0.0060294613;2.0042152436;1.0089616253;
10.0552959998;0.0407759068;0.0051958581;-0.0407758584;0.0409542812;-0.0051958487;0.0060277297;2.0038816123;1.0087944125;
10.0573439998;0.0407698864;0.0051943239;-0.0407698410;0.0409482601;-0.0051943152;0.0060261951;2.0035858999;1.0086462043;
10.0593919998;0.0407645876;0.0051929738;-0.0407645451;0.0409429608;-0.0051929657;0.0060248447;2.0033256421;1.0085157656;
10.0614399998;0.0407599634;0.0051917957;-0.0407599236;0.0409383364;-0.0051917882;0.0060236664;2.0030985288;1.0084019387;
10.0634879998;0.0407559698;0.0051907784;-0.0407559324;0.0409343428;-0.0051907714;0.0060226489;2.0029023946;1.0083036381;
10.0655359998;0.0407525654;0.0051899112;-0.0407525303;0.0409309386;-0.0051899047;0.0060217816;2.0027352083;1.0082198459;
10.0675839998;0.0407497115;0.0051891843;-0.0407496785;0.0409280850;-0.0051891783;0.0060210547;2.0025950650;1.0081496075;
10.0696319998;0.0407473716;0.0051885884;-0.0407473406;0.0409257456;-0.0051885828;0.0060204588;2.0024801774;1.0080920269;
10.0737279998;0.0407440322;0.0051877380;-0.0407440322;0.0409224351;-0.0051877380;0.0060196132;2.0023177661;1.0080106260;
10.0774143998;0.0407424933;0.0051873461;-0.0407424977;0.0409208996;-0.0051873472;0.0060192222;2.0022423540;1.0079728302;
10.0811007998;0.0407421563;0.0051872603;-0.0407421622;0.0409205639;-0.0051872618;0.0060191367;2.0022258655;1.0079645664;
10.0847871998;0.0407428773;0.0051874439;-0.0407428821;0.0409212843;-0.0051874451;0.0060193202;2.0022612463;1.0079822989;
10.0884735998;0.0407445249;0.0051878635;-0.0407445288;0.0409229320;-0.0051878645;0.0060197398;2.0023421714;1.0080228577;
10.0921599998;0.0407469840;0.0051884897;-0.0407469872;0.0409253919;-0.0051884905;0.0060203663;2.0024629829;1.0080834072;
10.0958463998;0.0407501517;0.0051892965;-0.0407501542;0.0409285609;-0.0051892971;0.0060211734;2.0026186244;1.0081614132;
10.0995327998;0.0407539363;0.0051902604;-0.0407539381;0.0409323472;-0.0051902609;0.0060221378;2.0028045793;1.0082546119;
10.1032191998;0.0407583433;0.0051913830;-0.0407582591;0.0409366709;-0.0051913619;0.0060232397;2.0030167510;1.0083609512;
10.1069055998;0.0407631121;0.0051925978;-0.0407630362;0.0409414510;-0.0051925790;0.0060244577;2.0032514968;1.0084786036;
10.1105919998;0.0407682752;0.0051939133;-0.0407682087;0.0409466268;-0.0051938968;0.0060257764;2.0035057073;1.0086060112;
10.1142783998;0.0407737819;0.0051953165;-0.0407737204;0.0409521419;-0.0051953013;0.0060271818;2.0037765616;1.0087417607;
10.1179647998;0.0407795757;0.0051967931;-0.0407795185;0.0409579436;-0.0051967790;0.0060286606;2.0040614910;1.0088845646;
10.1216511998;0.0407856088;0.0051983309;-0.0407855563;0.0409639852;-0.0051983180;0.0060302006;2.0043582124;1.0090332784;
10.1253375998;0.0407918411;0.0051999197;-0.0407917929;0.0409702257;-0.0051999079;0.0060317916;2.0046646992;1.0091868865;
