time;svarc_SVarC_UPu;svarc_SVarC_URegulatedPu;svarc_SVarC_BPu;svarc_SVarC_QInjPu;svarc_SVarC_URefPu;load_load_UPu_value;
0.000000;0.999743;0.999168;0.041635;0.041615;1.000000;0.999168;
10.000000;0.999743;0.999168;0.041635;0.041615;1.000000;0.999168;
10.000000;1.028998;1.013805;1.067800;1.130615;1.044000;1.013805;
20.000000;1.028998;1.013805;1.067800;1.130626;1.044000;1.013805;
20.000000;1.017534;1.008069;0.672709;0.696493;1.022000;1.008069;
30.000000;1.017534;1.008069;0.672709;0.696506;1.022000;1.008069;
