time;Generator_generator_PGenPu;Generator_generator_QGenPu;HvdcVSCDanglingUdc_hvdc_Conv1_UPu;HvdcVSCDanglingUdc_hvdc_Conv1_UPhase;HvdcVSCDanglingUdc_hvdc_Conv1_PInjPu;HvdcVSCDanglingUdc_hvdc_Conv1_QInjPu;HvdcVSCDanglingUdc_hvdc_Conv2_PInjPu;HvdcVSCDanglingUdc_hvdc_Conv2_QInjPu;HvdcVSCDanglingUdc_hvdc_dCLine_U1dcPu;HvdcVSCDanglingUdc_hvdc_dCLine_U2dcPu;
0.000000;9.000623;-0.899019;0.984438;0.044130;1.000013;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000001;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000002;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000004;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000008;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000016;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000032;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000064;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000128;9.000622;-0.899019;0.984438;0.044130;1.000014;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000256;9.000624;-0.899019;0.984438;0.044130;1.000013;0.902199;0.000000;0.000000;1.000000;1.000244;
0.000512;9.000628;-0.899019;0.984438;0.044130;1.000008;0.902199;0.000000;0.000000;1.000000;1.000244;
0.001024;9.000640;-0.899019;0.984438;0.044129;0.999996;0.902199;0.000000;0.000000;1.000000;1.000244;
0.002048;9.000662;-0.899018;0.984438;0.044129;0.999974;0.902199;0.000000;0.000000;1.000000;1.000244;
0.004096;9.000698;-0.899018;0.984438;0.044127;0.999938;0.902199;0.000000;0.000000;1.000000;1.000244;
0.008192;9.000750;-0.899018;0.984437;0.044125;0.999886;0.902199;0.000000;0.000000;1.000000;1.000244;
0.016384;9.000808;-0.899020;0.984437;0.044123;0.999828;0.902201;0.000000;0.000000;1.000000;1.000243;
0.032768;9.000853;-0.899028;0.984436;0.044121;0.999783;0.902208;0.000000;0.000000;0.999999;1.000243;
0.065536;9.000874;-0.899045;0.984436;0.044120;0.999762;0.902226;0.000000;0.000000;0.999999;1.000243;
0.131072;9.000880;-0.899067;0.984437;0.044119;0.999756;0.902247;0.000000;0.000000;0.999999;1.000243;
0.262144;9.000881;-0.899078;0.984437;0.044118;0.999755;0.902259;0.000000;0.000000;0.999999;1.000243;
0.524288;9.000881;-0.899080;0.984437;0.044117;0.999755;0.902260;0.000000;0.000000;0.999999;1.000243;
1.000000;9.000881;-0.899082;0.984437;0.044116;0.999755;0.902263;0.000000;0.000000;1.000000;1.000244;
1.000000;9.077337;1.237479;0.909286;0.018207;0.923449;0.833390;0.000000;0.000000;1.000000;1.000244;
1.000001;9.077311;1.237557;0.909285;0.018203;0.923448;0.833387;0.000000;0.000000;1.000000;1.000244;
1.000002;9.077297;1.237554;0.909285;0.018203;0.923462;0.833391;0.000000;0.000000;1.000000;1.000244;
1.000004;9.077270;1.237542;0.909285;0.018204;0.923490;0.833398;0.000000;0.000000;1.000000;1.000244;
1.000008;9.077215;1.237532;0.909285;0.018205;0.923544;0.833411;0.000000;0.000000;1.000000;1.000244;
1.000016;9.077106;1.237503;0.909285;0.018209;0.923652;0.833438;0.000000;0.000000;1.000000;1.000244;
1.000032;9.076895;1.237444;0.909284;0.018215;0.923863;0.833493;0.000000;0.000000;1.000001;1.000244;
1.000064;9.076493;1.237325;0.909282;0.018226;0.924265;0.833603;0.000000;0.000000;1.000002;1.000244;
1.000128;9.075758;1.237082;0.909278;0.018247;0.925001;0.833827;0.000000;0.000000;1.000004;1.000244;
1.000256;9.074487;1.236575;0.909267;0.018281;0.926271;0.834285;0.000000;0.000000;1.000007;1.000245;
1.000512;9.072404;1.235499;0.909244;0.018331;0.928354;0.835253;0.000000;0.000000;1.000013;1.000249;
1.001024;9.068992;1.233136;0.909197;0.018407;0.931765;0.837400;0.000000;0.000000;1.000023;1.000257;
1.002048;9.063083;1.227676;0.909126;0.018537;0.937673;0.842528;0.000000;0.000000;1.000039;1.000274;
1.004096;9.052723;1.214108;0.909086;0.018792;0.948032;0.855903;0.000000;0.000000;1.000068;1.000305;
1.008192;9.036180;1.177897;0.909384;0.019322;0.964573;0.893441;0.000000;0.000000;1.000112;1.000352;
1.012288;9.024232;1.131335;0.910126;0.019890;0.976519;0.943354;0.000000;0.000000;1.000143;1.000384;
1.016384;9.015665;1.076649;0.911239;0.020509;0.985087;1.003078;0.000000;0.000000;1.000162;1.000405;
1.020480;9.009525;1.015856;0.912651;0.021183;0.991227;1.070283;0.000000;0.000000;1.000175;1.000418;
1.024576;9.005120;0.950717;0.914299;0.021913;0.995633;1.142922;0.000000;0.000000;1.000182;1.000425;
1.032768;8.999338;0.814714;0.918023;0.023500;1.001406;1.295924;0.000000;0.000000;1.000185;1.000430;
1.040960;8.996449;0.676306;0.922101;0.025209;1.004313;1.453050;0.000000;0.000000;1.000181;1.000425;
1.049152;8.995200;0.541748;0.926274;0.026976;1.005589;1.606861;0.000000;0.000000;1.000171;1.000416;
1.057344;8.994844;0.415494;0.930351;0.028749;1.005948;1.752001;0.000000;0.000000;1.000159;1.000404;
1.065536;8.994969;0.300379;0.934201;0.030482;1.005818;1.885023;0.000000;0.000000;1.000147;1.000392;
1.073728;8.995346;0.197913;0.937743;0.032145;1.005430;2.004028;0.000000;0.000000;1.000135;1.000380;
1.090112;8.996324;0.031266;0.943764;0.035184;1.004424;2.198918;0.000000;0.000000;1.000115;1.000359;
1.100000;8.996973;-0.046543;0.946737;0.036827;1.003743;2.290730;0.000000;0.000000;1.000104;1.000349;
1.100000;8.914942;-2.474461;1.023989;0.061526;1.085696;2.477652;0.000000;0.000000;1.000104;1.000349;
1.100001;8.914959;-2.474460;1.023990;0.061525;1.085679;2.477651;0.000000;0.000000;1.000104;1.000349;
1.100002;8.914976;-2.474458;1.023990;0.061525;1.085662;2.477649;0.000000;0.000000;1.000104;1.000349;
1.100004;8.915010;-2.474455;1.023990;0.061524;1.085628;2.477646;0.000000;0.000000;1.000104;1.000349;
1.100008;8.915078;-2.474449;1.023991;0.061523;1.085561;2.477640;0.000000;0.000000;1.000104;1.000349;
1.100016;8.915211;-2.474437;1.023992;0.061520;1.085427;2.477629;0.000000;0.000000;1.000104;1.000349;
1.100032;8.915470;-2.474413;1.023995;0.061515;1.085168;2.477605;0.000000;0.000000;1.000103;1.000349;
1.100064;8.915964;-2.474365;1.024000;0.061505;1.084674;2.477557;0.000000;0.000000;1.000102;1.000348;
1.100128;8.916869;-2.474267;1.024012;0.061487;1.083770;2.477460;0.000000;0.000000;1.000099;1.000348;
1.100256;8.918434;-2.474063;1.024036;0.061461;1.082204;2.477256;0.000000;0.000000;1.000096;1.000346;
1.100512;8.921003;-2.473611;1.024089;0.061426;1.079636;2.476806;0.000000;0.000000;1.000089;1.000342;
1.101024;8.925206;-2.472509;1.024194;0.061385;1.075433;2.475706;0.000000;0.000000;1.000079;1.000333;
1.102048;8.932435;-2.469483;1.024387;0.061331;1.068205;2.472684;0.000000;0.000000;1.000060;1.000314;
1.104096;8.944893;-2.460324;1.024682;0.061251;1.055748;2.463529;0.000000;0.000000;1.000029;1.000280;
1.108192;8.964131;-2.431212;1.024937;0.061142;1.036511;2.434422;0.000000;0.000000;0.999982;1.000230;
