time;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_energyConversion_storageSys_sOCcontrol_soc;Converter_Converter_injectorVoltageSource_voltageSourceIEC63406_PInjPu;Converter_Converter_injectorVoltageSource_voltageSourceIEC63406_QInjPu;Converter_Converter_controlAndProtection_control_qControl_voltageDroop;
0.000000;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000000;-0.968797;-0.044001;0.950000;
0.000002;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000000;-0.968797;-0.044001;0.950000;
0.000005;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000000;-0.968797;-0.044001;0.950000;
0.000010;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000000;-0.968797;-0.044001;0.950000;
0.000019;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000000;-0.968797;-0.044001;0.950000;
0.000039;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000001;-0.968797;-0.044001;0.950000;
0.000078;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000002;-0.968797;-0.044001;0.950000;
0.000155;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000003;-0.968797;-0.044001;0.950000;
0.000310;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000006;-0.968797;-0.044001;0.950000;
0.000621;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000012;-0.968797;-0.044001;0.950000;
0.001000;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000020;-0.968797;-0.044001;0.950000;
0.001003;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000020;-0.968797;-0.044001;0.950000;
0.001006;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000020;-0.968797;-0.044001;0.950000;
0.001013;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000020;-0.968797;-0.044001;0.950000;
0.001025;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000021;-0.968797;-0.044001;0.950000;
0.001050;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000021;-0.968797;-0.044001;0.950000;
0.001101;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000022;-0.968797;-0.044001;0.950000;
0.001201;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000024;-0.968798;-0.044001;0.950000;
0.001402;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000028;-0.968798;-0.044001;0.950000;
0.001804;0.000000;0.950000;-1.000000;-0.200000;1.000000;-1.000000;50.000036;-0.968798;-0.044001;0.950000;
0.002608;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000052;-0.968798;-0.044000;0.950000;
0.003411;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000068;-0.968799;-0.044000;0.950000;
0.004000;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000080;-0.968799;-0.044000;0.950000;
0.004005;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000080;-0.968799;-0.044000;0.950000;
0.004010;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000080;-0.968799;-0.044000;0.950000;
0.004021;0.000000;0.950000;-1.000000;-0.200000;1.000000;-0.999999;50.000080;-0.968799;-0.044000;0.950000;
