time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
0.012491;1.000103;-0.210035;1.000168;0.976176;0.217752;-0.930229;-0.422663;-1.000000;
0.012507;1.000103;-0.210035;1.000168;0.976176;0.217752;-0.930228;-0.422663;-1.000000;
0.012539;1.000102;-0.210035;1.000168;0.976176;0.217751;-0.930228;-0.422663;-1.000000;
0.012603;1.000102;-0.210035;1.000168;0.976176;0.217751;-0.930228;-0.422662;-1.000000;
0.012686;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012686;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012686;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012687;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012688;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012690;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012694;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012702;1.000101;-0.210035;1.000168;0.976176;0.217751;-0.930227;-0.422662;-1.000000;
0.012718;1.000101;-0.210035;1.000168;0.976177;0.217751;-0.930227;-0.422662;-1.000000;
0.012750;1.000101;-0.210035;1.000168;0.976177;0.217751;-0.930227;-0.422662;-1.000000;
0.012814;1.000101;-0.210035;1.000168;0.976177;0.217751;-0.930227;-0.422662;-1.000000;
0.012942;1.000100;-0.210035;1.000168;0.976177;0.217751;-0.930226;-0.422661;-1.000000;
0.013198;1.000098;-0.210034;1.000168;0.976177;0.217750;-0.930225;-0.422660;-1.000000;
0.013710;1.000095;-0.210034;1.000169;0.976177;0.217750;-0.930222;-0.422658;-1.000000;
0.014734;1.000089;-0.210033;1.000169;0.976178;0.217748;-0.930216;-0.422654;-1.000000;
0.016782;1.000078;-0.210032;1.000170;0.976180;0.217745;-0.930206;-0.422647;-1.000000;
0.018830;1.000068;-0.210029;1.000172;0.976182;0.217742;-0.930197;-0.422639;-1.000000;
0.020878;1.000059;-0.210027;1.000173;0.976184;0.217740;-0.930188;-0.422632;-1.000000;
0.022926;1.000051;-0.210025;1.000174;0.976186;0.217738;-0.930181;-0.422625;-1.000000;
0.024974;1.000044;-0.210022;1.000175;0.976187;0.217736;-0.930175;-0.422619;-1.000000;
0.027022;1.000038;-0.210020;1.000176;0.976189;0.217734;-0.930169;-0.422613;-1.000000;
0.029070;1.000032;-0.210018;1.000177;0.976190;0.217733;-0.930164;-0.422607;-1.000000;
0.031118;1.000028;-0.210015;1.000178;0.976191;0.217732;-0.930160;-0.422602;-1.000000;
0.033166;1.000024;-0.210013;1.000179;0.976193;0.217731;-0.930156;-0.422598;-1.000000;
0.037262;1.000017;-0.210009;1.000181;0.976195;0.217729;-0.930150;-0.422589;-1.000000;
0.041358;1.000012;-0.210006;1.000182;0.976196;0.217727;-0.930145;-0.422582;-1.000000;
0.045454;1.000008;-0.210002;1.000184;0.976198;0.217726;-0.930142;-0.422577;-1.000000;
0.049550;1.000006;-0.210000;1.000184;0.976199;0.217725;-0.930139;-0.422572;-1.000000;
0.053646;1.000003;-0.209998;1.000185;0.976200;0.217725;-0.930137;-0.422569;-1.000000;
0.057742;1.000002;-0.209996;1.000186;0.976201;0.217724;-0.930135;-0.422566;-1.000000;
0.065934;1.000000;-0.209993;1.000187;0.976202;0.217724;-0.930133;-0.422562;-1.000000;
0.074126;0.999998;-0.209992;1.000187;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.082318;0.999998;-0.209991;1.000188;0.976203;0.217723;-0.930131;-0.422558;-1.000000;
0.090510;0.999997;-0.209991;1.000188;0.976203;0.217723;-0.930131;-0.422558;-1.000000;
0.106894;0.999997;-0.209991;1.000188;0.976203;0.217723;-0.930131;-0.422558;-1.000000;
0.136005;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136005;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136006;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136007;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136009;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136013;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136021;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136037;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136069;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136133;0.999998;-0.209993;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136261;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136517;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136850;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136850;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136850;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136851;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136852;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136854;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136858;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136866;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136882;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136914;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.136978;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.137062;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.137062;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.137062;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.137063;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
0.137064;0.999998;-0.209994;1.000187;0.976202;0.217723;-0.930132;-0.422561;-1.000000;
