time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;SM_voltageRegulator_UUelPu;
0.000000;2.541132;4.183539;1.000000;3.999994;1.600070;0.835669;1.029787;2.541119;0.892857;-0.000000;
0.003348;2.541132;4.183539;1.000000;3.999995;1.600068;0.835669;1.029787;2.541120;0.892857;0.000335;
0.006696;2.541134;4.183540;1.000000;3.999997;1.600068;0.835669;1.029787;2.541389;0.892857;0.000656;
0.013392;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541205;0.892857;0.001255;
0.026783;2.541140;4.183545;1.000000;4.000003;1.600064;0.835669;1.029787;2.541257;0.892857;0.002207;
0.053567;2.541145;4.183551;1.000000;4.000010;1.600063;0.835669;1.029786;2.541250;0.892857;0.003629;
0.080350;2.541148;4.183556;1.000000;4.000016;1.600064;0.835669;1.029787;2.541241;0.892857;0.004635;
0.107134;2.541151;4.183560;1.000000;4.000019;1.600065;0.835669;1.029787;2.541234;0.892857;0.005442;
0.160701;2.541152;4.183561;1.000000;4.000019;1.600069;0.835668;1.029787;2.541214;0.892857;0.006356;
0.214268;2.541153;4.183559;1.000000;4.000016;1.600073;0.835667;1.029787;2.541215;0.892857;0.006805;
0.267835;2.541153;4.183556;1.000000;4.000011;1.600077;0.835666;1.029787;2.541219;0.892857;0.006922;
0.374969;2.541154;4.183550;1.000000;4.000001;1.600086;0.835664;1.029787;2.541223;0.892857;0.006924;
0.589236;2.541159;4.183551;1.000000;3.999996;1.600108;0.835660;1.029787;2.541238;0.892857;0.007111;
1.000000;2.541165;4.183557;1.000000;3.999996;1.600128;0.835656;1.029788;2.541207;0.892857;0.007955;
1.000000;5.530959;21.725042;1.000000;-0.000000;3.185848;0.835656;0.146644;0.733220;0.892857;0.007955;
1.000000;5.530960;21.725041;1.000000;0.000000;3.185847;0.835656;0.146644;0.733220;0.892857;0.007958;
1.000000;5.530960;21.725039;1.000000;0.000000;3.185847;0.835656;0.146644;0.733220;0.892857;0.007960;
1.000000;5.530960;21.725036;1.000000;-0.000000;3.185846;0.835656;0.146644;0.733220;0.892857;0.007965;
1.000000;5.530961;21.725031;1.000000;-0.000000;3.185844;0.835656;0.146644;0.733220;0.892857;0.007974;
1.000000;5.530963;21.725019;1.000000;0.000000;3.185841;0.835656;0.146644;0.733219;0.892857;0.007993;
1.000000;5.530967;21.724996;1.000000;-0.000000;3.185834;0.835656;0.146644;0.733219;0.892857;0.008031;
1.000000;5.530974;21.724950;1.000000;-0.000000;3.185821;0.835656;0.146643;0.733217;0.892857;0.008106;
1.000001;5.530989;21.724858;1.000000;0.000000;3.185794;0.835656;0.146643;0.733214;0.892857;0.008257;
1.000001;5.531018;21.724674;1.000000;-0.000000;3.185740;0.835656;0.146642;0.733208;0.892857;0.008559;
1.000002;5.531047;21.724490;1.000000;-0.000000;3.185686;0.835656;0.146640;0.733202;0.892857;0.008861;
1.000003;5.531077;21.724306;1.000000;-0.000000;3.185632;0.835656;0.146639;0.733195;0.892857;0.009163;
1.000004;5.531106;21.724122;1.000000;0.000000;3.185578;0.835656;0.146638;0.733189;0.892857;0.009464;
1.000005;5.531136;21.723938;1.000000;-0.000000;3.185524;0.835656;0.146637;0.733183;0.892857;0.009766;
1.000006;5.531165;21.723753;1.000000;0.000000;3.185470;0.835656;0.146635;0.733177;0.892857;0.010068;
1.000007;5.531194;21.723569;1.000000;-0.000000;3.185416;0.835656;0.146634;0.733170;0.892857;0.010370;
