time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;1.404834;0.492890;1.000000;0.000095;0.501267;-0.947924;1.016996;1.404826;0.000057;
0.000001;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000002;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000003;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000003;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000004;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000005;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000007;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000011;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000019;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000035;1.404833;0.492890;1.000000;0.000097;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000067;1.404834;0.492890;1.000000;0.000096;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000131;1.404834;0.492890;1.000000;0.000096;0.501268;-0.947924;1.016996;1.404826;0.000057;
0.000259;1.404834;0.492890;1.000000;0.000096;0.501267;-0.947924;1.016996;1.404826;0.000057;
0.000515;1.404834;0.492890;1.000000;0.000095;0.501267;-0.947924;1.016996;1.404826;0.000057;
0.001027;1.404834;0.492890;1.000000;0.000094;0.501267;-0.947924;1.016996;1.404827;0.000057;
0.002051;1.404834;0.492889;1.000000;0.000091;0.501267;-0.947924;1.016996;1.404827;0.000057;
0.004099;1.404834;0.492888;1.000000;0.000086;0.501266;-0.947924;1.016996;1.404828;0.000057;
0.008195;1.404835;0.492887;1.000000;0.000077;0.501264;-0.947924;1.016996;1.404829;0.000057;
0.016387;1.404836;0.492884;1.000000;0.000061;0.501261;-0.947925;1.016996;1.404832;0.000057;
0.032771;1.404838;0.492880;1.000000;0.000037;0.501257;-0.947925;1.016996;1.404837;0.000057;
0.065539;1.404840;0.492876;1.000000;0.000008;0.501253;-0.947927;1.016996;1.404845;0.000057;
0.131075;1.404842;0.492875;1.000000;-0.000020;0.501252;-0.947932;1.016996;1.404856;0.000057;
0.262147;1.404844;0.492880;1.000000;-0.000016;0.501257;-0.947935;1.016996;1.404862;0.000057;
0.524291;1.404847;0.492886;1.000000;-0.000004;0.501263;-0.947934;1.016996;1.404866;0.000057;
1.000000;1.404852;0.492894;1.000000;-0.000000;0.501271;-0.947933;1.016996;1.404868;0.000057;
1.000000;3.297141;14.352657;1.000000;-0.000000;1.390492;-0.947933;0.096880;1.404868;0.000057;
1.000001;3.297197;14.352532;1.000000;-0.000000;1.390468;-0.947933;0.096880;1.404960;0.000057;
1.000002;3.297254;14.352408;1.000000;0.000000;1.390443;-0.947933;0.096879;1.405052;0.000057;
1.000004;3.297366;14.352160;1.000000;0.000000;1.390395;-0.947933;0.096877;1.405236;0.000057;
1.000008;3.297591;14.351663;1.000000;0.000000;1.390299;-0.947933;0.096874;1.405604;0.000057;
1.000016;3.298041;14.350669;1.000000;-0.000000;1.390106;-0.947933;0.096867;1.406340;0.000057;
1.000032;3.298940;14.348682;1.000000;0.000000;1.389722;-0.947933;0.096854;1.407812;0.000057;
1.000064;3.300737;14.344712;0.999999;0.000000;1.388953;-0.947933;0.096827;1.410755;0.000057;
1.000128;3.304327;14.336781;0.999999;0.000000;1.387417;-0.947933;0.096773;1.416639;0.000057;
1.000256;3.311485;14.320963;0.999997;-0.000000;1.384357;-0.947933;0.096667;1.428396;0.000057;
1.000512;3.325724;14.289501;0.999994;0.000000;1.378281;-0.947933;0.096454;1.451871;0.000057;
1.001024;3.353886;14.227259;0.999988;0.000000;1.366301;-0.947934;0.096034;1.498660;0.000057;
1.002048;3.408982;14.105459;0.999977;0.000000;1.343007;-0.947940;0.095212;1.591602;0.000057;
