time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;
0;0.950052;0.950052;0.95;0.95;0.000693939;1;1;0.996978;4.75026;1.56641;475.026;156.641;0.991596;5.04426;2.50897;0.991596;1.56641;0.83591;1.00454;-6.45531e-09;0.991596;0.0475;1;0.95;
1e-06;0.950052;0.950052;0.95;0.95;0.000693946;1.00001;1;0.996978;4.75026;1.56641;475.026;156.641;0.991595;5.04425;2.50897;0.991595;1.56641;0.83591;1.00454;-5.41252e-09;0.991595;0.0475;1;0.95;
2e-06;0.950052;0.950052;0.95;0.95;0.000693952;1.00002;1;0.996978;4.75026;1.56641;475.026;156.641;0.991595;5.04425;2.50897;0.991595;1.56641;0.83591;1.00454;-1.07992e-08;0.991595;0.0475;1;0.95;
4e-06;0.950051;0.950051;0.95;0.95;0.000693966;1.00004;1;0.996978;4.75026;1.5664;475.026;156.64;0.991595;5.04425;2.50897;0.991595;1.5664;0.83591;1.00454;-2.19073e-08;0.991595;0.0475;1;0.95;
8e-06;0.95005;0.95005;0.95;0.95;0.000693992;1.00008;1;0.996978;4.75025;1.5664;475.025;156.64;0.991595;5.04425;2.50896;0.991595;1.5664;0.83591;1.00454;-4.26322e-08;0.991595;0.0475;1;0.95;
1.6e-05;0.950048;0.950048;0.95;0.95;0.000694045;1.00015;1;0.996978;4.75024;1.56639;475.024;156.639;0.991595;5.04424;2.50895;0.991595;1.56639;0.835911;1.00454;-8.36498e-08;0.991595;0.0475;1;0.95;
3.2e-05;0.950044;0.950044;0.95;0.95;0.000694151;1.0003;1;0.996978;4.75022;1.56637;475.022;156.637;0.991594;5.04422;2.50892;0.991594;1.56637;0.835912;1.00454;-1.60741e-07;0.991594;0.0475;1;0.95;
6.4e-05;0.950037;0.950037;0.95;0.95;0.000694362;1.00061;1;0.996978;4.75018;1.56633;475.018;156.633;0.991592;5.04418;2.50887;0.991592;1.56633;0.835914;1.00454;-2.9517e-07;0.991592;0.0475;1;0.95;
0.000128;0.950021;0.950021;0.95;0.95;0.000694785;1.00122;1;0.996978;4.75011;1.56626;475.011;156.626;0.991588;5.0441;2.50876;0.991588;1.56626;0.835917;1.00454;-4.85236e-07;0.991588;0.0475;1;0.95;
0.000256;0.94999;0.94999;0.95;0.95;0.00069563;1.00244;1;0.996978;4.74995;1.56611;474.995;156.611;0.99158;5.04394;2.50854;0.99158;1.56611;0.835925;1.00454;-5.52385e-07;0.99158;0.0475;1;0.95;
0.000512;0.949927;0.949927;0.95;0.95;0.000697316;1.00487;1;0.996978;4.74964;1.5658;474.964;156.58;0.991564;5.04363;2.50811;0.991564;1.5658;0.83594;1.00454;5.47853e-07;0.991564;0.0475;1;0.95;
0.001024;0.949802;0.949802;0.95;0.95;0.000700674;1.00971;1;0.996978;4.74901;1.56519;474.901;156.519;0.991532;5.043;2.50726;0.991532;1.56519;0.83597;1.00454;7.54997e-06;0.991532;0.0475;1;0.95;
0.002048;0.949548;0.949548;0.95;0.95;0.00070735;1.01933;1;0.996978;4.74774;1.56396;474.774;156.396;0.991467;5.04173;2.50557;0.991467;1.56396;0.836032;1.00454;3.97161e-05;0.991467;0.0475;1;0.95;
0.004096;0.949035;0.949035;0.95;0.95;0.000720618;1.03845;1;0.996978;4.74517;1.56147;474.517;156.147;0.991336;5.03915;2.5023;0.991336;1.56147;0.836156;1.00454;0.000169034;0.991336;0.0475;1;0.95;
0.008192;0.947983;0.947984;0.949999;0.95;0.000747331;1.07694;1;0.996979;4.73992;1.55638;473.992;155.638;0.991067;5.03387;2.4961;0.991067;1.55638;0.836411;1.00454;0.000635713;0.991067;0.0475;1;0.95;
