time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
0.000000;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000000;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000010;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000020;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000040;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000080;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000160;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000320;0.700000;0.279498;1.050000;-0.700000;0.175002;0.199997;1.000000;
0.000640;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000779;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000779;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000789;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000799;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000819;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000859;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.000939;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199997;1.000000;
0.001099;0.700000;0.279498;1.050000;-0.700000;0.175001;0.199998;1.000000;
0.001419;0.700000;0.279499;1.050000;-0.700000;0.175001;0.199998;1.000000;
0.002059;0.700000;0.279499;1.050000;-0.700000;0.175001;0.199998;1.000000;
0.003339;0.700000;0.279499;1.050000;-0.700000;0.175001;0.199998;1.000000;
0.005899;0.700000;0.279499;1.050000;-0.700000;0.175001;0.199998;1.000000;
0.011019;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
0.021259;0.700000;0.279500;1.050000;-0.700000;0.175002;0.199999;1.000000;
0.041739;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
0.082699;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
0.164619;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
0.328459;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
0.656139;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
1.000000;0.700000;0.279500;1.050000;-0.700000;0.175001;0.199999;1.000000;
1.000000;0.350000;1.899490;1.050000;-0.700000;0.175001;2.199982;1.000002;
1.000010;0.351330;1.897681;1.049489;-0.702661;0.175667;2.197939;1.000002;
1.000020;0.352652;1.895873;1.048979;-0.705305;0.176328;2.195897;1.000002;
1.000040;0.355276;1.892262;1.047959;-0.710553;0.177640;2.191817;1.000002;
1.000080;0.360428;1.885062;1.045924;-0.720856;0.180215;2.183678;1.000002;
1.000160;0.370355;1.870754;1.041877;-0.740709;0.185179;2.167489;1.000002;
1.000320;0.388770;1.842492;1.033878;-0.777540;0.194387;2.135493;1.000002;
1.000640;0.420446;1.787346;1.018293;-0.840892;0.210225;2.073153;1.000002;
1.000808;0.434649;1.759072;1.010347;-0.869298;0.217326;2.041372;1.000002;
1.000808;0.434630;1.759079;1.010338;-0.869261;0.217317;2.041336;1.000002;
1.000818;0.435411;1.757413;1.009872;-0.870822;0.217707;2.039472;1.000002;
1.000828;0.436186;1.755749;1.009407;-0.872373;0.218095;2.037610;1.000002;
1.000848;0.437724;1.752425;1.008477;-0.875448;0.218864;2.033892;1.000002;
1.000888;0.440737;1.745798;1.006625;-0.881474;0.220370;2.026485;1.000002;
1.000968;0.446519;1.732623;1.002951;-0.893039;0.223262;2.011786;1.000002;
1.001128;0.457157;1.706589;0.995718;-0.914314;0.228580;1.982854;1.000002;
1.001448;0.475117;1.655765;0.981711;-0.950235;0.237561;1.926827;1.000002;
1.001768;0.489168;1.606555;0.968316;-0.978335;0.244586;1.873249;1.000002;
1.002408;0.508353;1.512822;0.943188;-1.016706;0.254179;1.772738;1.000002;
1.003048;0.518232;1.425056;0.920152;-1.036465;0.259118;1.680596;1.000001;
1.003688;0.521586;1.342953;0.898937;-1.043173;0.260795;1.595733;1.000001;
1.004328;0.520485;1.266234;0.879281;-1.040969;0.260244;1.517111;1.000001;
1.004968;0.516504;1.194608;0.860968;-1.033007;0.258254;1.443861;1.000001;
1.005608;0.510757;1.127775;0.843820;-1.021515;0.255381;1.375267;1.000000;
1.006134;0.505294;1.076171;0.830478;-1.010589;0.252649;1.321899;1.000000;
1.006134;0.505294;1.076171;0.830478;-1.010589;0.252649;1.321899;1.000000;
1.006144;0.505089;1.075254;0.830231;-1.010177;0.252546;1.320914;1.000000;
1.006154;0.504977;1.074304;0.829985;-1.009955;0.252491;1.319930;1.000000;
1.006174;0.504760;1.072406;0.829493;-1.009521;0.252382;1.317963;1.000000;
1.006214;0.504308;1.068627;0.828513;-1.008616;0.252156;1.314040;1.000000;
