time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;WTG4B_WTG4B_measurements_UPu;
1.003490;0.587667;0.243573;0.859389;-0.708032;0.106206;0.195925;1.003995;0.830000;
1.003490;0.587668;0.243574;0.859389;-0.708033;0.106206;0.195926;1.003995;0.830000;
1.003491;0.587670;0.243577;0.859390;-0.708036;0.106207;0.195928;1.003992;0.830000;
1.003492;0.587671;0.243580;0.859390;-0.708038;0.106207;0.195931;1.003990;0.830000;
1.003494;0.587675;0.243586;0.859391;-0.708042;0.106208;0.195936;1.003985;0.830000;
1.003498;0.587683;0.243597;0.859392;-0.708051;0.106209;0.195947;1.003976;0.830000;
1.003506;0.587698;0.243620;0.859396;-0.708070;0.106212;0.195969;1.003957;0.830000;
1.003522;0.587728;0.243666;0.859402;-0.708106;0.106217;0.196012;1.003920;0.830000;
1.003554;0.587788;0.243760;0.859415;-0.708179;0.106228;0.196100;1.003847;0.830000;
1.003618;0.587911;0.243954;0.859443;-0.708326;0.106250;0.196283;1.003707;0.830000;
1.003746;0.588159;0.244361;0.859501;-0.708625;0.106295;0.196670;1.003448;0.830000;
1.004002;0.588671;0.245254;0.859629;-0.709242;0.106388;0.197527;1.003004;0.830000;
1.004514;0.589759;0.247316;0.859930;-0.710553;0.106584;0.199531;1.002349;0.830000;
1.005026;0.590929;0.249707;0.860282;-0.711963;0.106796;0.201878;1.001936;0.830000;
1.005538;0.592178;0.252377;0.860677;-0.713467;0.107022;0.204514;1.001690;0.830000;
1.006050;0.593500;0.255283;0.861109;-0.715061;0.107261;0.207389;1.001553;0.830000;
1.007074;0.596336;0.261619;0.862050;-0.718478;0.107773;0.213662;1.001442;0.830000;
1.008098;0.599395;0.268516;0.863072;-0.722162;0.108326;0.220477;1.001463;0.830000;
1.009122;0.602631;0.275793;0.864147;-0.726061;0.108911;0.227643;1.001534;0.830000;
1.010146;0.606001;0.283299;0.865251;-0.730122;0.109520;0.235002;1.001611;0.830000;
1.011170;0.609466;0.290908;0.866364;-0.734297;0.110146;0.242425;1.001678;0.830001;
1.012194;0.612989;0.298520;0.867472;-0.738541;0.110783;0.249809;1.001728;0.830001;
1.013218;0.616539;0.306049;0.868561;-0.742818;0.111424;0.257070;1.001762;0.830001;
1.014242;0.620087;0.313428;0.869622;-0.747093;0.112065;0.264144;1.001780;0.830001;
1.016290;0.627066;0.327491;0.871625;-0.755501;0.113327;0.277497;1.001780;0.830001;
1.018338;0.633805;0.340475;0.873450;-0.763621;0.114545;0.289663;1.001740;0.830001;
