model;variable;value;
Generator;generator_UPu;1.0000636710;
Generator;generator_PGen;7.0602034718;
Generator;generator_QGen;1.5918111893;
Generator;generator_PGenPu;0.0706020347;
Generator;generator_QGenPu;0.0159181119;
