time;Load__10_load_PPu;Load__10_load_QPu;Load__10_load_UPu;Generator___1_generator_PGenPu;Generator___1_generator_QGenPu;Shunt_shunt_section_value;Shunt_shunt_QPu;Shunt_shunt_BPu;
0.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
10.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
20.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
30.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
40.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
50.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;
50.000000;30.028308;0.000000;0.977238;30.438285;6.146231;1.000000;-2.387485;2.500000;
60.000000;29.758534;0.000000;0.978180;30.160460;5.973100;1.000000;-2.392089;2.500000;
70.000000;29.615180;0.000000;0.978675;30.012870;5.882028;1.000000;-2.394514;2.500000;
80.000000;29.538716;0.000000;0.978938;29.934159;5.833690;1.000000;-2.395802;2.500000;
90.000000;29.497845;0.000000;0.979079;29.892089;5.807918;1.000000;-2.396489;2.500000;
100.000000;29.475974;0.000000;0.979154;29.869578;5.794144;1.000000;-2.396856;2.500000;
110.000000;29.464263;0.000000;0.979194;29.857524;5.786774;1.000000;-2.397052;2.500000;
120.000000;29.457990;0.000000;0.979216;29.851067;5.782827;1.000000;-2.397158;2.500000;
130.000000;29.454629;0.000000;0.979227;29.847608;5.780713;1.000000;-2.397214;2.500000;
140.000000;29.452770;0.000000;0.979234;29.845694;5.779510;1.000000;-2.397246;2.500000;
150.000000;29.451828;0.000000;0.979237;29.844725;5.778935;1.000000;-2.397261;2.500000;
160.000000;29.451325;0.000000;0.979238;29.844208;5.778627;1.000000;-2.397270;2.500000;
170.000000;29.451057;0.000000;0.979239;29.843932;5.778462;1.000000;-2.397274;2.500000;
180.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
190.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
200.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
210.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
220.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
230.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
240.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
250.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
260.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
270.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
280.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
290.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
300.000000;29.450914;0.000000;0.979240;29.843784;5.778374;1.000000;-2.397276;2.500000;
