time;gridFollowing_gridFollowing_PGenPu;gridFollowing_gridFollowing_QGenPu;gridFollowing_gridFollowing_plantControllerPropInt_PInjPu;gridFollowing_gridFollowing_plantControllerPropInt_QInjPu;gridFollowing_gridFollowing_plantControllerPropInt_URefPu;gridFollowing_gridFollowing_plantControllerPropInt_URegPu;gridFollowing_gridFollowing_plantControllerPropInt_QRegPu;
0.000000;0.200000;-0.043994;1.333333;-0.293293;1.002300;1.066476;0.045845;
1.000000;0.200000;-0.043994;1.333333;-0.293293;1.002300;1.066476;0.045845;
2.000000;0.200000;-0.043994;1.333333;-0.293293;1.002300;1.066476;0.045845;
2.000000;0.200000;-0.013279;1.333333;-0.088524;1.002300;1.004580;0.015272;
3.000000;0.200000;-0.009940;1.333333;-0.066284;1.002300;1.005321;0.011928;
3.000000;0.200000;-0.035098;1.333333;-0.234019;1.002300;1.068346;0.036914;
4.000000;0.200000;-0.036606;1.333333;-0.244070;1.002300;1.068030;0.038429;
5.000000;0.200000;-0.037166;1.333333;-0.247786;1.002300;1.067912;0.038988;
5.000000;0.200000;0.072788;1.333333;0.485265;1.502300;1.090417;-0.070896;
6.000000;0.200000;0.086366;1.333333;0.575765;1.502300;1.093119;-0.084393;
7.000000;0.200000;0.091466;1.333333;0.609772;1.502300;1.094129;-0.089461;
8.000000;0.200000;0.093379;1.333333;0.622485;1.502300;1.094508;-0.091355;
9.000000;0.200000;0.094098;1.333333;0.627306;1.502300;1.094650;-0.092073;
10.000000;0.200000;0.094368;1.333333;0.629117;1.502300;1.094703;-0.092343;
11.000000;0.200000;0.094467;1.333333;0.629707;1.502300;1.094723;-0.092432;
12.000000;0.200000;0.094506;1.333333;0.630012;1.502300;1.094731;-0.092477;
13.000000;0.200000;0.094521;1.333333;0.630131;1.502300;1.094734;-0.092494;
14.000000;0.200000;0.094527;1.333333;0.630177;1.502300;1.094735;-0.092501;
15.000000;0.200000;0.094529;1.333333;0.630195;1.502300;1.094735;-0.092503;
