time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_U_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___2_EC_load_UPu;_LOAD___2_EC_transformer_transformerVariableTap_U1Pu;_LOAD___2_EC_transformer_transformerVariableTap_U2Pu;_LOAD___2_EC_transformer_transformerVariableTap_tap;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;_LOAD___3_EC_load_UPu;_LOAD___3_EC_transformer_transformerVariableTap_U1Pu;_LOAD___3_EC_transformer_transformerVariableTap_U2Pu;_LOAD___3_EC_transformer_transformerVariableTap_tap;_LOAD___2_EC_transformer_tapChanger_valueMin;_LOAD___2_EC_transformer_tapChanger_valueMax;_LOAD___3_EC_transformer_tapChanger_valueMin;_LOAD___3_EC_transformer_tapChanger_valueMax;_LOAD___2_EC_transformer_tapChanger_tap_value;_LOAD___3_EC_transformer_tapChanger_tap_value;TAP_CHANGER_LOCK_tapChangerBlocking_blockedD;TAP_CHANGER_LOCK_tapChangerBlocking_blockedT;TAP_CHANGER_LOCK_tapChangerBlocking_UMin;TAP_CHANGER_LOCK_tapChangerBlocking_state;
0.000000;1.059928;1.044920;69.688709;1.009981;1.017641;1.019488;1.070116;1.061490;1.089907;1.055941;1.051012;1.056977;1.055300;1.050491;1.035620;1.000000;1.000000;1.000000;1.000000;1.000000;232.319331;40.078456;-0.057375;0.007545;-0.005670;-16.540961;44.025508;25.137058;12.819836;17.582926;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000001;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055942;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319222;40.078637;-0.057496;0.007784;-0.005688;-16.541404;44.025674;25.136813;12.820525;17.582775;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000002;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055942;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319222;40.078637;-0.057496;0.007784;-0.005688;-16.541404;44.025673;25.136814;12.820524;17.582775;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000004;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055941;1.051013;1.056978;1.055302;1.050492;1.035620;1.000000;1.000000;1.000000;1.000000;1.000000;232.319229;40.078625;-0.057488;0.007769;-0.005687;-16.541375;44.025661;25.136829;12.820482;17.582784;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000008;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055942;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319223;40.078634;-0.057495;0.007783;-0.005688;-16.541399;44.025669;25.136815;12.820523;17.582775;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000016;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055942;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319225;40.078631;-0.057494;0.007782;-0.005688;-16.541394;44.025663;25.136816;12.820521;17.582776;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000032;1.059928;1.044920;69.688713;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055941;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319229;40.078624;-0.057491;0.007780;-0.005687;-16.541383;44.025651;25.136819;12.820517;17.582777;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000064;1.059928;1.044920;69.688712;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055941;1.051013;1.056978;1.055302;1.050493;1.035621;1.000000;1.000000;1.000000;1.000000;1.000000;232.319236;40.078611;-0.057486;0.007777;-0.005687;-16.541360;44.025627;25.136824;12.820510;17.582780;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000128;1.059928;1.044920;69.688712;1.009981;1.017642;1.019489;1.070118;1.061490;1.089908;1.055941;1.051013;1.056978;1.055302;1.050492;1.035620;1.000000;1.000000;1.000000;1.000000;1.000000;232.319252;40.078584;-0.057476;0.007769;-0.005685;-16.541316;44.025580;25.136835;12.820495;17.582786;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000256;1.059928;1.044920;69.688711;1.009981;1.017642;1.019488;1.070118;1.061490;1.089907;1.055941;1.051013;1.056978;1.055301;1.050492;1.035620;1.000000;1.000000;1.000000;1.000000;1.000000;232.319282;40.078532;-0.057456;0.007754;-0.005683;-16.541227;44.025486;25.136857;12.820465;17.582797;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000512;1.059928;1.044920;69.688709;1.009981;1.017641;1.019488;1.070117;1.061490;1.089907;1.055941;1.051013;1.056978;1.055301;1.050492;1.035620;1.000000;1.000000;1.000000;1.000000;1.000000;232.319342;40.078426;-0.057415;0.007725;-0.005678;-16.541051;44.025297;25.136901;12.820407;17.582819;0.216757;0.126763;1.000673;1.044920;1.000673;7.000000;0.941973;0.127192;0.999028;1.009981;0.999028;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
