time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;SM_voltageRegulator_USclOelPu;SM_voltageRegulator_USclUelPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;0.000000;-0.973549;
0.000951;2.678816;4.309139;1.000000;3.999999;2.000029;0.781862;1.037829;2.678821;0.892857;-0.000000;-0.973550;
0.000951;2.678816;4.309139;1.000000;3.999999;2.000029;0.781862;1.037829;2.678821;0.892857;-0.000000;-0.973550;
0.010951;2.678819;4.309141;1.000000;4.000001;2.000029;0.781862;1.037829;2.678906;0.892857;-0.000005;-0.973556;
0.010951;2.678819;4.309141;1.000000;4.000001;2.000029;0.781862;1.037829;2.678906;0.892857;-0.000005;-0.973556;
0.025940;2.678821;4.309143;1.000000;4.000003;2.000029;0.781862;1.037829;2.678892;0.892857;-0.000009;-0.973561;
0.040929;2.678822;4.309144;1.000000;4.000004;2.000028;0.781862;1.037829;2.678857;0.892857;-0.000012;-0.973563;
0.070907;2.678823;4.309145;1.000000;4.000006;2.000027;0.781862;1.037829;2.678822;0.892857;-0.000014;-0.973564;
0.130863;2.678823;4.309146;1.000000;4.000007;2.000028;0.781862;1.037829;2.678841;0.892857;-0.000015;-0.973564;
0.250776;2.678825;4.309145;1.000000;4.000005;2.000032;0.781861;1.037829;2.678853;0.892857;-0.000017;-0.973566;
0.490601;2.678828;4.309146;1.000000;4.000001;2.000043;0.781859;1.037829;2.678858;0.892857;-0.000023;-0.973570;
0.970250;2.678833;4.309150;1.000000;3.999999;2.000059;0.781857;1.037829;2.678857;0.892857;-0.000039;-0.973578;
1.000000;2.678833;4.309150;1.000000;3.999999;2.000060;0.781857;1.037829;2.678857;0.892857;-0.000040;-0.973578;
1.000000;5.833702;22.210410;1.000000;0.000000;3.329791;0.781857;0.149920;0.749601;0.892857;-0.000040;-0.973578;
1.000000;5.833703;22.210408;1.000000;-0.000000;3.329790;0.781857;0.149920;0.749601;0.892857;-0.000043;-0.973587;
1.000000;5.833703;22.210406;1.000000;-0.000000;3.329789;0.781857;0.149920;0.749601;0.892857;-0.000045;-0.973596;
1.000000;5.833704;22.210402;1.000000;-0.000000;3.329788;0.781857;0.149920;0.749601;0.892857;-0.000050;-0.973614;
1.000000;5.833705;22.210395;1.000000;0.000000;3.329786;0.781857;0.149920;0.749601;0.892857;-0.000060;-0.973650;
1.000000;5.833707;22.210384;1.000000;0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;-0.000075;-0.973703;
1.000000;5.833707;22.210384;1.000000;0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;-0.000075;-0.973703;
1.000000;5.833707;22.210384;1.000000;0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;-0.000075;-0.973703;
1.000000;5.833707;22.210384;1.000000;0.000000;3.329783;0.781857;0.149920;0.749600;0.892857;-0.000075;-0.973703;
1.000000;5.833707;22.210382;1.000000;-0.000000;3.329782;0.781857;0.149920;0.749600;0.892857;-0.000077;-0.973712;
1.000000;5.833707;22.210380;1.000000;0.000000;3.329782;0.781857;0.149920;0.749600;0.892857;-0.000080;-0.973722;
1.000000;5.833708;22.210376;1.000000;0.000000;3.329781;0.781857;0.149920;0.749600;0.892857;-0.000085;-0.973740;
1.000000;5.833709;22.210369;1.000000;0.000000;3.329778;0.781857;0.149920;0.749600;0.892857;-0.000095;-0.973776;
1.000000;5.833712;22.210354;1.000000;0.000000;3.329774;0.781857;0.149920;0.749599;0.892857;-0.000115;-0.973849;
1.000000;5.833714;22.210340;1.000000;0.000000;3.329770;0.781857;0.149920;0.749599;0.892857;-0.000133;-0.973914;
1.000000;5.833714;22.210340;1.000000;0.000000;3.329770;0.781857;0.149920;0.749599;0.892857;-0.000133;-0.973914;
1.000000;5.833715;22.210338;1.000000;-0.000000;3.329769;0.781857;0.149920;0.749599;0.892857;-0.000136;-0.973923;
1.000000;5.833715;22.210336;1.000000;-0.000000;3.329769;0.781857;0.149920;0.749599;0.892857;-0.000138;-0.973933;
1.000000;5.833716;22.210333;1.000000;0.000000;3.329767;0.781857;0.149920;0.749599;0.892857;-0.000144;-0.973951;
1.000000;5.833717;22.210325;1.000000;-0.000000;3.329765;0.781857;0.149920;0.749598;0.892857;-0.000154;-0.973989;
1.000000;5.833720;22.210309;1.000000;0.000000;3.329760;0.781857;0.149920;0.749598;0.892857;-0.000175;-0.974065;
1.000000;5.833725;22.210278;1.000000;-0.000000;3.329751;0.781857;0.149919;0.749597;0.892857;-0.000217;-0.974215;
1.000001;5.833736;22.210215;1.000000;0.000000;3.329732;0.781857;0.149919;0.749595;0.892857;-0.000301;-0.974517;
1.000001;5.833758;22.210090;1.000000;0.000000;3.329695;0.781857;0.149918;0.749591;0.892857;-0.000468;-0.975121;
1.000003;5.833802;22.209840;1.000000;-0.000000;3.329620;0.781857;0.149916;0.749582;0.892857;-0.000804;-0.976327;
1.000003;5.833813;22.209778;1.000000;-0.000000;3.329601;0.781857;0.149916;0.749580;0.892857;-0.000887;-0.976626;
1.000003;5.833813;22.209778;1.000000;-0.000000;3.329601;0.781857;0.149916;0.749580;0.892857;-0.000887;-0.976626;
1.000003;5.833814;22.209775;1.000000;-0.000000;3.329600;0.781857;0.149916;0.749580;0.892857;-0.000891;-0.976640;
1.000003;5.833814;22.209773;1.000000;0.000000;3.329599;0.781857;0.149916;0.749580;0.892857;-0.000895;-0.976654;
1.000003;5.833815;22.209767;1.000000;-0.000000;3.329598;0.781857;0.149916;0.749580;0.892857;-0.000903;-0.976681;
1.000003;5.833817;22.209755;1.000000;-0.000000;3.329594;0.781857;0.149916;0.749579;0.892857;-0.000918;-0.976736;
1.000003;5.833821;22.209733;1.000000;0.000000;3.329588;0.781857;0.149916;0.749578;0.892857;-0.000948;-0.976845;
1.000003;5.833829;22.209687;1.000000;-0.000000;3.329574;0.781857;0.149915;0.749577;0.892857;-0.001010;-0.977065;
1.000004;5.833845;22.209596;1.000000;-0.000000;3.329547;0.781857;0.149915;0.749574;0.892857;-0.001132;-0.977503;
1.000005;5.833877;22.209415;1.000000;0.000000;3.329492;0.781857;0.149914;0.749568;0.892857;-0.001377;-0.978380;
1.000005;5.833909;22.209233;1.000000;-0.000000;3.329438;0.781857;0.149912;0.749562;0.892857;-0.001622;-0.979257;
1.000007;5.833973;22.208869;1.000000;-0.000000;3.329329;0.781857;0.149910;0.749549;0.892857;-0.002113;-0.981011;
1.000009;5.834030;22.208542;1.000001;-0.000000;3.329231;0.781857;0.149908;0.749538;0.892857;-0.002557;-0.982589;
1.000010;5.834087;22.208215;1.000001;0.000000;3.329132;0.781857;0.149905;0.749527;0.892857;-0.003001;-0.984167;
1.000012;5.834145;22.207888;1.000001;0.000000;3.329034;0.781857;0.149903;0.749516;0.892857;-0.003446;-0.985744;
1.000013;5.834202;22.207560;1.000001;0.000000;3.328936;0.781857;0.149901;0.749505;0.892857;-0.003892;-0.987321;
1.000015;5.834260;22.207233;1.000001;0.000000;3.328838;0.781857;0.149899;0.749494;0.892857;-0.004340;-0.988898;
1.000016;5.834317;22.206906;1.000001;0.000000;3.328740;0.781857;0.149897;0.749483;0.892857;-0.004788;-0.990475;
1.000018;5.834374;22.206579;1.000001;0.000000;3.328642;0.781857;0.149894;0.749472;0.892857;-0.005238;-0.992051;
1.000020;5.834432;22.206252;1.000001;-0.000000;3.328544;0.781857;0.149892;0.749461;0.892857;-0.005688;-0.993627;
1.000021;5.834489;22.205925;1.000001;0.000000;3.328446;0.781857;0.149890;0.749450;0.892857;-0.006140;-0.995203;
1.000023;5.834547;22.205598;1.000002;-0.000000;3.328348;0.781857;0.149888;0.749439;0.892857;-0.006592;-0.996779;
1.000024;5.834604;22.205271;1.000002;-0.000000;3.328250;0.781857;0.149886;0.749428;0.892857;-0.007045;-0.998354;
1.000026;5.834661;22.204943;1.000002;-0.000000;3.328152;0.781857;0.149883;0.749417;0.892857;-0.007500;-0.999929;
1.000029;5.834776;22.204289;1.000002;0.000000;3.327956;0.781857;0.149879;0.749395;0.892857;-0.008412;-1.003078;
1.000032;5.834891;22.203635;1.000002;-0.000000;3.327760;0.781857;0.149875;0.749373;0.892857;-0.009328;-1.006226;
1.000035;5.835005;22.202981;1.000002;-0.000000;3.327564;0.781857;0.149870;0.749351;0.892857;-0.010248;-1.009373;
1.000038;5.835120;22.202328;1.000003;-0.000000;3.327368;0.781857;0.149866;0.749329;0.892857;-0.011172;-1.012519;
1.000041;5.835235;22.201674;1.000003;0.000000;3.327172;0.781857;0.149861;0.749306;0.892857;-0.012100;-1.015664;
