time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;Load_load_running;Load_load_switchOffSignal2;Load_load_PPu;Load_load_QPu;Load_load_UPu;
0.000000;1.001585;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499789;0.249789;1.001585;
1.000000;1.001585;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499795;0.249795;1.001585;
2.000000;1.001585;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499797;0.249797;1.001585;
3.000000;1.001585;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499799;0.249799;1.001585;
4.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499802;0.249802;1.001584;
5.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499804;0.249804;1.001584;
6.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499806;0.249806;1.001584;
7.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499808;0.249808;1.001584;
8.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499810;0.249810;1.001584;
9.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499812;0.249812;1.001584;
10.000000;1.001584;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.499814;0.249814;0.000000;
10.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
11.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
12.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
13.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
14.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
15.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
16.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
17.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
18.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
19.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
20.000000;1.007427;1.000000;0.300000;0.800000;1.000000;-1.000000;1.000000;0.000000;0.000000;0.000000;
