time;WT4B_WT_measurementsPQ_PPu;WT4B_WT_measurementsPQ_QPu;WT4B_WT_control4B_UWTPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.001000;1.000160;-0.210037;1.000164;0.976169;0.217766;-0.930281;-0.422694;-1.000000;
0.001000;1.000160;-0.210037;1.000164;0.976169;0.217766;-0.930281;-0.422694;-1.000000;
0.010282;1.000121;-0.210056;1.000160;0.976167;0.217757;-0.930246;-0.422697;-1.000000;
0.010282;1.000121;-0.210056;1.000160;0.976167;0.217757;-0.930246;-0.422697;-1.000000;
0.025272;1.000068;-0.210081;1.000156;0.976165;0.217744;-0.930198;-0.422701;-1.000000;
0.055251;1.000022;-0.210097;1.000153;0.976165;0.217733;-0.930157;-0.422698;-1.000000;
0.115210;1.000004;-0.210099;1.000154;0.976167;0.217728;-0.930140;-0.422690;-1.000000;
0.235128;1.000001;-0.210090;1.000157;0.976170;0.217727;-0.930137;-0.422678;-1.000000;
0.462857;1.000000;-0.210071;1.000163;0.976176;0.217726;-0.930136;-0.422655;-1.000000;
0.462857;1.000000;-0.210071;1.000163;0.976176;0.217726;-0.930136;-0.422655;-1.000000;
0.477394;1.000000;-0.210070;1.000163;0.976177;0.217726;-0.930136;-0.422654;-1.000000;
0.506469;1.000000;-0.210067;1.000164;0.976178;0.217726;-0.930136;-0.422651;-1.000000;
0.564617;1.000000;-0.210063;1.000165;0.976179;0.217726;-0.930136;-0.422645;-1.000000;
0.680914;1.000000;-0.210054;1.000168;0.976182;0.217726;-0.930136;-0.422635;-1.000000;
0.913509;1.000000;-0.210040;1.000172;0.976187;0.217725;-0.930135;-0.422618;-1.000000;
1.378697;1.000000;-0.210022;1.000178;0.976192;0.217725;-0.930135;-0.422597;-1.000000;
2.000000;1.000000;-0.210013;1.000181;0.976195;0.217724;-0.930134;-0.422585;-1.000000;
2.000000;1.000000;-0.210013;1.000181;0.976195;0.217724;-0.930134;-0.422585;-1.000000;
2.001546;0.997900;-0.210377;1.000190;0.976323;0.217195;-0.928227;-0.421975;-1.000000;
2.004639;0.987956;-0.211536;1.000405;0.977101;0.214668;-0.919179;-0.418436;-1.000000;
2.007733;0.974134;-0.212684;1.000839;0.978318;0.211143;-0.906587;-0.413020;-1.000000;
2.013919;0.939228;-0.214264;1.002240;0.981631;0.202205;-0.874726;-0.398457;-1.000000;
2.020106;0.901746;-0.215253;1.003854;0.985214;0.192593;-0.840469;-0.382717;-1.000000;
2.026292;0.864266;-0.215887;1.005422;0.988630;0.182982;-0.806169;-0.367591;-1.000000;
2.032478;0.828318;-0.216359;1.006843;0.991720;0.173769;-0.773238;-0.353768;-1.000000;
2.044851;0.766576;-0.217120;1.009085;0.996645;0.157959;-0.716628;-0.331429;-1.000000;
2.057224;0.715189;-0.217621;1.010685;1.000221;0.144819;-0.669438;-0.314761;-1.000000;
2.060167;0.705226;-0.217719;1.010959;1.000846;0.142275;-0.660281;-0.311781;-1.000000;
2.060167;0.705311;-0.217727;1.011016;1.000952;0.142292;-0.660373;-0.311396;-1.000000;
2.060269;0.704913;-0.217731;1.011027;1.000978;0.142190;-0.660008;-0.311274;-1.000000;
2.060269;0.704913;-0.217731;1.011027;1.000978;0.142190;-0.660008;-0.311274;-1.000000;
2.061914;0.698559;-0.217798;1.011208;1.001391;0.140567;-0.654169;-0.309322;-1.000000;
2.065202;0.686569;-0.217922;1.011542;1.002152;0.137504;-0.643150;-0.305700;-1.000000;
2.071779;0.665251;-0.218130;1.012110;1.003457;0.132060;-0.623551;-0.299441;-1.000000;
2.084934;0.631391;-0.218419;1.012950;1.005403;0.123418;-0.592403;-0.289965;-1.000000;
2.098088;0.604591;-0.218620;1.013547;1.006810;0.116583;-0.567731;-0.282958;-1.000000;
2.111243;0.583437;-0.218748;1.013991;1.007861;0.111189;-0.548248;-0.277643;-1.000000;
2.124397;0.566744;-0.218823;1.014328;1.008659;0.106933;-0.532867;-0.273564;-1.000000;
