time;WPP4B_WPP4B_injector_PInjPu;WPP4B_WPP4B_injector_QInjPu;WPP4B_WPP4B_injector_terminal_V_re;WPP4B_WPP4B_injector_terminal_i_re;WPP4B_WPP4B_injector_terminal_V_im;WPP4B_WPP4B_injector_terminal_i_im;WPP4B_WPP4B_pll_omegaPLLPu;HVRTWecc_hvrt_fOCB;HVRTWecc_hvrt_switchOffSignal;
0.000000;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000001;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000002;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000004;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000008;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000016;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000032;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000064;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000128;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000256;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.000512;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.001024;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.002048;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.004096;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.006144;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.010240;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.014336;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.018432;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.022528;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.026624;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.030720;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.038912;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.047104;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.055296;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.063488;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.079872;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.112640;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.178176;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
0.309248;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;-1.000000;-1.000000;
