time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
20.152579;0.493621;-0.211942;1.017658;0.940204;-0.389414;-0.527834;-0.006806;
20.278375;0.493635;-0.210975;1.017933;0.717972;-0.721598;-0.488972;0.197576;
20.529966;0.493440;-0.210047;1.018137;-0.007691;-1.018120;-0.202817;0.486404;
20.655761;0.493585;-0.209826;1.018232;-0.399114;-0.936755;0.000359;0.526837;
20.907353;0.493446;-0.209628;1.018257;-0.946524;-0.375450;0.374675;0.370288;
20.938802;0.493667;-0.209696;1.018303;-0.978977;-0.280259;0.409397;0.331400;
20.999996;0.493661;-0.209663;1.018311;-1.013980;-0.087967;0.464936;0.246898;
20.999996;0.493657;-0.209673;1.018310;-1.014497;-0.088030;0.465167;0.247040;
21.002259;0.494903;-0.208195;1.018714;-1.014880;-0.088302;0.466268;0.245712;
21.002259;0.494904;-0.208197;1.018714;-1.014879;-0.088303;0.466269;0.245714;
21.006256;0.496644;-0.206480;1.019179;-1.015312;-0.088694;0.467819;0.244233;
21.006844;0.496766;-0.206429;1.019192;-1.015323;-0.088723;0.467929;0.244204;
21.006844;0.496766;-0.206429;1.019192;-1.015323;-0.088723;0.467929;0.244204;
21.010837;0.497835;-0.205837;1.019345;-1.015454;-0.088977;0.468897;0.243791;
21.018824;0.498880;-0.205742;1.019356;-1.015442;-0.089240;0.469858;0.243906;
21.034796;0.499581;-0.206061;1.019254;-1.015323;-0.089429;0.470516;0.244393;
21.050769;0.499820;-0.206372;1.019161;-1.015224;-0.089499;0.470747;0.244776;
21.082714;0.499930;-0.206866;1.019018;-1.015076;-0.089542;0.470864;0.245329;
21.146605;0.499963;-0.207631;1.018798;-1.014852;-0.089574;0.470919;0.246157;
21.274386;0.499977;-0.208648;1.018506;-1.014557;-0.089608;0.470966;0.247251;
21.529948;0.499989;-0.209619;1.018227;-1.014274;-0.089641;0.471009;0.248296;
22.041072;0.499997;-0.210120;1.018083;-1.014128;-0.089658;0.471032;0.248837;
22.552196;0.500000;-0.210183;1.018065;-1.014109;-0.089661;0.471037;0.248904;
23.574443;0.500000;-0.210099;1.018089;-1.014134;-0.089658;0.471035;0.248815;
25.000000;0.500000;-0.210035;1.018108;-1.014152;-0.089656;0.471032;0.248746;
