time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
2.219785;0.575112;-0.218312;1.014319;1.008439;0.109051;-0.540567;-0.274944;
2.243474;0.560832;-0.218295;1.014571;1.009034;0.105412;-0.527393;-0.271776;
2.267162;0.549275;-0.218245;1.014824;1.009596;0.102464;-0.516739;-0.268917;
2.314538;0.533456;-0.218066;1.015223;1.010441;0.098423;-0.502158;-0.264726;
2.361914;0.522700;-0.217816;1.015486;1.010967;0.095675;-0.492228;-0.262051;
2.409291;0.515407;-0.217517;1.015698;1.011354;0.093808;-0.485491;-0.260128;
2.456667;0.510460;-0.217189;1.015876;1.011650;0.092538;-0.480917;-0.258698;
2.551419;0.505382;-0.216494;1.016163;1.012060;0.091223;-0.476209;-0.256838;
2.646172;0.502773;-0.215801;1.016405;1.012365;0.090538;-0.473779;-0.255535;
2.835677;0.500969;-0.214566;1.016790;1.012795;0.090041;-0.472074;-0.253824;
3.025182;0.500343;-0.213528;1.017098;1.013122;0.089850;-0.471463;-0.252574;
3.404193;0.500079;-0.212150;1.017499;1.013534;0.089741;-0.471174;-0.251036;
4.162213;0.500013;-0.210903;1.017858;1.013899;0.089686;-0.471072;-0.249681;
5.678255;0.500002;-0.210229;1.018052;1.014096;0.089663;-0.471040;-0.248955;
5.999999;0.500002;-0.210208;1.018058;1.014102;0.089662;-0.471039;-0.248932;
5.999999;0.368203;-0.135471;0.736401;0.729837;0.098101;-0.471039;-0.248932;
6.000091;0.368000;-0.136590;0.735986;0.729422;0.098077;-0.470819;-0.250564;
6.000277;0.367659;-0.138603;0.735237;0.728671;0.098040;-0.470452;-0.253511;
6.000462;0.367378;-0.140401;0.734567;0.727998;0.098015;-0.470153;-0.256159;
6.000793;0.367081;-0.142928;0.733618;0.727041;0.098012;-0.469857;-0.259930;
6.000793;0.367082;-0.142928;0.733618;0.727041;0.098012;-0.469857;-0.259930;
6.000793;0.367082;-0.142931;0.733617;0.727040;0.098012;-0.469857;-0.259934;
6.000793;0.367082;-0.142931;0.733617;0.727040;0.098012;-0.469857;-0.259934;
6.000793;0.367082;-0.142931;0.733617;0.727040;0.098012;-0.469857;-0.259934;
6.000793;0.367082;-0.142931;0.733617;0.727040;0.098012;-0.469857;-0.259934;
6.001003;0.366908;-0.144355;0.733082;0.726500;0.098008;-0.469682;-0.262061;
6.001424;0.366672;-0.146406;0.732308;0.725720;0.098007;-0.469446;-0.265137;
6.001844;0.366535;-0.147757;0.731797;0.725204;0.098012;-0.469314;-0.267175;
6.002685;0.366602;-0.148280;0.731595;0.724994;0.098054;-0.469414;-0.268012;
