"time","WT4B.injector.PInjPu","WT4B.injector.QInjPu","WT4B.pll.omegaPLLPu"
0,0.7000023409573137,0.2795012059798542,1
0.001,0.6996192436347921,0.2754373193117765,1
0.002,0.6992751602127698,0.2717725043168591,1
0.003,0.6989680121450822,0.268471044971675,1
0.004,0.6986956782440064,0.2655000287158227,1
0.005,0.6984558873615464,0.2628273624938788,1
0.006,0.6982464469250614,0.260424758432393,1
0.007,0.6980652080360622,0.2582664707326073,1
0.008,0.6979099867574743,0.2563281803355973,1
0.008999999999999999,0.6977788277317084,0.2545894004963942,1
0.01,0.6976696570320248,0.2530296170515342,1
0.011,0.6975806892056682,0.2516320718969381,1
0.012,0.697510064130096,0.2503800812372757,1
0.013,0.6974557335959929,0.2492562855982765,1
0.014,0.697416378442283,0.2482498833136861,1
0.015,0.697390737057075,0.2473508919865625,1
0.016,0.6973772400607025,0.2465471529849799,1
0.017,0.6973746749088139,0.2458295860346148,1
0.018,0.6973817879671338,0.2451890436392555,1
0.019,0.6973974436141409,0.2446174620681699,1
0.02,0.6974206827737268,0.2441081723400029,1
0.021,0.6974505363249621,0.2436545540115742,1
0.022,0.6974861143632682,0.2432506470920687,1
0.023,0.6975266026014525,0.242891092594901,1
0.024,0.6975712583654241,0.2425710762380371,1
0.025,0.697619406397752,0.2422862762176579,1
0.026,0.6976703977384213,0.242032583937029,1
0.027,0.6977237241187207,0.2418068070521293,1
0.028,0.6977788983800678,0.2416058972676036,1
0.029,0.6978354682280439,0.2414270332410999,1
0.03,0.697893029319001,0.2412676941766686,1
0.031,0.6979511754227249,0.2411253347264811,1
0.032,0.6980093945757786,0.2409967153859887,1
0.033,0.6980677819370856,0.2408824352390758,1
0.034,0.6981258117869193,0.2407790882290417,1
0.035,0.6981836724153421,0.2406878926429502,1
0.036,0.6982407713311067,0.2406048974515521,1
0.037,0.6982972188801918,0.2405308372857275,1
0.038,0.6983527032790169,0.2404634909766341,1
0.039,0.6984072363062492,0.2404029412582031,1
0.04,0.6984606265484289,0.2403476828471082,1
0.041,0.6985128391005506,0.2402974465552262,1
0.042,0.6985637798659943,0.2402513447599123,1
0.043,0.6986133965306458,0.2402089153399664,1
0.044,0.6986616540504179,0.2401696767775167,1
0.045,0.6987085032202449,0.2401330860052925,1
0.046,0.6987539415384212,0.2400989249787648,1
0.047,0.6987979359211324,0.2400666435630311,1
0.048,0.6988404976097862,0.2400361842680833,1
0.049,0.6988816166021353,0.2400070336519441,1
0.05,0.6989213209189155,0.2399791151528153,1
0.051,0.6989596575158027,0.2399517511290199,1
0.052,0.698996604752228,0.2399252537678598,1
0.053,0.6990321626281915,0.2398996229907097,1
0.054,0.6990663708882165,0.239874693348389,1
0.055,0.6990993624513057,0.2398499117157977,1
0.056,0.6991310401472691,0.2398256823536208,1
0.057,0.6991614039761065,0.2398020052035014,1
0.058,0.6991904779143511,0.2397788158233828,1
0.059,0.6992185389674046,0.2397553703086032,1
