"time","line01.P2Pu","shiftController01.tap.value","tfo01.alphaTfo","tfo01.tap.value","PPuLine01.value"
0,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
1,-0.5,9,-2.775557561562891e-17,9,0.5
2,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
3,-0.5,9,-2.775557561562891e-17,9,0.5
4,-0.5,9,-2.775557561562891e-17,9,0.5
5,-0.5,9,-2.775557561562891e-17,9,0.5
6,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
7,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
8,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
9,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
10,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
11,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
12,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
13,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
14,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
15,-0.5,9,-2.775557561562891e-17,9,0.5
16,-0.5,9,-2.775557561562891e-17,9,0.5
17,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
18,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
19,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
20,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
21,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
22,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
23,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
24,-0.5,9,-2.775557561562891e-17,9,0.5
25,-0.5,9,-2.775557561562891e-17,9,0.5
26,-0.5,9,-2.775557561562891e-17,9,0.5
27,-0.5,9,-2.775557561562891e-17,9,0.5
28,-0.5,9,-2.775557561562891e-17,9,0.5
29,-0.5,9,-2.775557561562891e-17,9,0.5
30,-0.5,9,-2.775557561562891e-17,9,0.5
31,-0.5,9,-2.775557561562891e-17,9,0.5
32,-0.5,9,-2.775557561562891e-17,9,0.5
33,-0.5,9,-2.775557561562891e-17,9,0.5
34,-0.5,9,-2.775557561562891e-17,9,0.5
35,-0.5,9,-2.775557561562891e-17,9,0.5
36,-0.5,9,-2.775557561562891e-17,9,0.5
37,-0.5,9,-2.775557561562891e-17,9,0.5
38,-0.5,9,-2.775557561562891e-17,9,0.5
39,-0.5,9,-2.775557561562891e-17,9,0.5
40,-0.5,9,-2.775557561562891e-17,9,0.5
41,-0.5,9,-2.775557561562891e-17,9,0.5
42,-0.5,9,-2.775557561562891e-17,9,0.5
43,-0.5,9,-2.775557561562891e-17,9,0.5
44,-0.5,9,-2.775557561562891e-17,9,0.5
45,-0.5,9,-2.775557561562891e-17,9,0.5
46,-0.5,9,-2.775557561562891e-17,9,0.5
47,-0.5,9,-2.775557561562891e-17,9,0.5
48,-0.5,9,-2.775557561562891e-17,9,0.5
49,-0.5,9,-2.775557561562891e-17,9,0.5
50,-0.5,9,-2.775557561562891e-17,9,0.5
50.000000005102,-0.5,9,-2.775557561562891e-17,9,0.5
50.000000005102,-0.5,9,-2.775557561562891e-17,9,0.5
51,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
52,-0.5,9,-2.775557561562891e-17,9,0.5
53,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
54,-0.5000000000000002,9,-2.775557561562891e-17,9,0.5000000000000002
55,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
56,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
57,-0.5000000000000001,9,-2.775557561562891e-17,9,0.5000000000000001
58,-0.5,9,-2.775557561562891e-17,9,0.5
59,-0.5,9,-2.775557561562891e-17,9,0.5
60,-0.5,9,-2.775557561562891e-17,9,0.5
61,-0.5,9,-2.775557561562891e-17,9,0.5
62,-0.5,9,-2.775557561562891e-17,9,0.5
63,-0.5,9,-2.775557561562891e-17,9,0.5
64,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
65,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
66,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
67,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
68,-0.4999999999999999,9,-2.775557561562891e-17,9,0.4999999999999999
69,-0.5,9,-2.775557561562891e-17,9,0.5
70,-0.5,9,-2.775557561562891e-17,9,0.5
71,-0.5,9,-2.775557561562891e-17,9,0.5
72,-0.5,9,-2.775557561562891e-17,9,0.5
73,-0.5,9,-2.775557561562891e-17,9,0.5
74,-0.5,9,-2.775557561562891e-17,9,0.5
75,-0.5,9,-2.775557561562891e-17,9,0.5
75.00000000770297,-0.5,9,-2.775557561562891e-17,9,0.5
75.00000000770297,-0.527682671812931,8,-0.02181661564992912,8,0.527682671812931
76,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
77,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
78,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
79,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
80,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
81,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
82,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
83,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
84,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
85,-0.5276826717800068,8,-0.02181661564992912,8,0.5276826717800068
86,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
87,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
88,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
89,-0.5276826717800067,8,-0.02181661564992912,8,0.5276826717800067
90,-0.5276826717800066,8,-0.02181661564992912,8,0.5276826717800066
90.00000000930419,-0.5276826717800066,8,-0.02181661564992912,8,0.5276826717800066
90.00000000930419,-0.5553504964165994,7,-0.04363323129985824,7,0.5553504964165994
91,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
92,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
93,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
94,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
95,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
96,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
97,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
98,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
99,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
100,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
101,-0.5553505037872632,7,-0.04363323129985824,7,0.5553505037872632
102,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
103,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
104,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
105,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
105.000000010905,-0.5553505037872634,7,-0.04363323129985824,7,0.5553505037872634
105.000000010905,-0.5829886527519359,6,-0.06544984694978737,6,0.5829886527519359
106,-0.5829886602839253,6,-0.06544984694978737,6,0.5829886602839253
107,-0.5829886602839252,6,-0.06544984694978737,6,0.5829886602839252
108,-0.5829886602839253,6,-0.06544984694978737,6,0.5829886602839253
109,-0.5829886602839253,6,-0.06544984694978737,6,0.5829886602839253
110,-0.5829886602839253,6,-0.06544984694978737,6,0.5829886602839253
111,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
112,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
113,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
114,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
115,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
116,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
117,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
118,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
119,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
120,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
120.0000000125066,-0.5829886602839254,6,-0.06544984694978737,6,0.5829886602839254
120.0000000125066,-0.6105823135882711,5,-0.0872664625997165,5,0.6105823135882711
121,-0.6105823135882711,5,-0.0872664625997165,5,0.6105823135882711
122,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
123,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
124,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
125,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
126,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
127,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
128,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
129,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
130,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
131,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
132,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
133,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
134,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
135,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
135.0000000141072,-0.610582313588271,5,-0.0872664625997165,5,0.610582313588271
135.0000000141072,-0.6381166480832733,4,-0.1090830782496456,4,0.6381166480832733
136,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
137,-0.6381166480684674,4,-0.1090830782496456,4,0.6381166480684674
138,-0.6381166480684674,4,-0.1090830782496456,4,0.6381166480684674
139,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
140,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
141,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
142,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
143,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
144,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
145,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
146,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
147,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
148,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
149,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
150,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
150.0000000157098,-0.6381166480684672,4,-0.1090830782496456,4,0.6381166480684672
150.0000000157098,-0.6655768641058262,4,-0.1308996938995747,3,0.6655768641058262
151,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
152,-0.6655768640949684,4,-0.1308996938995747,3,0.6655768640949684
153,-0.6655768640949684,4,-0.1308996938995747,3,0.6655768640949684
154,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
155,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
156,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
157,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
158,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
159,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
160,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
161,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
162,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
163,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
164,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
165,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
166,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
167,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
168,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
169,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
170,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
171,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
