time;WPP4B_WPP_wPPControl2015_qControl_PWPPu;WPP4B_WPP_wPPControl2015_qControl_QWPPu;WPP4B_WPP_wPPControl2015_qControl_UWPPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
1.140655;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
1.442843;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422570;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.001021;0.999998;-0.210001;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
2.001065;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
2.001065;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
2.001526;0.999996;-0.210001;1.000185;0.976200;0.217723;-0.930130;-0.422569;-1.000000;
2.001986;0.999994;-0.210001;1.000185;0.976200;0.217722;-0.930128;-0.422568;-1.000000;
2.002907;0.999987;-0.210003;1.000185;0.976200;0.217721;-0.930122;-0.422567;-1.000000;
2.003828;0.999975;-0.210005;1.000184;0.976201;0.217718;-0.930112;-0.422564;-1.000000;
2.005669;0.999935;-0.210014;1.000184;0.976203;0.217708;-0.930075;-0.422554;-1.000000;
2.007511;0.999868;-0.210025;1.000184;0.976206;0.217691;-0.930014;-0.422536;-1.000000;
2.011194;0.999625;-0.210071;1.000185;0.976221;0.217630;-0.929793;-0.422467;-1.000000;
2.014877;0.999226;-0.210135;1.000188;0.976246;0.217529;-0.929431;-0.422346;-1.000000;
2.018561;0.998657;-0.210219;1.000195;0.976286;0.217385;-0.928914;-0.422162;-1.000000;
2.022244;0.997912;-0.210317;1.000208;0.976341;0.217196;-0.928236;-0.421908;-1.000000;
2.025927;0.996991;-0.210425;1.000228;0.976414;0.216962;-0.927398;-0.421579;-1.000000;
2.033293;0.994650;-0.210653;1.000293;0.976613;0.216365;-0.925267;-0.420687;-1.000000;
2.040660;0.991683;-0.210879;1.000395;0.976884;0.215608;-0.922564;-0.419488;-1.000000;
2.048026;0.988154;-0.211086;1.000533;0.977225;0.214705;-0.919346;-0.417995;-1.000000;
2.055392;0.984123;-0.211264;1.000708;0.977630;0.213672;-0.915670;-0.416228;-1.000000;
2.062759;0.979653;-0.211407;1.000917;0.978094;0.212525;-0.911591;-0.414216;-1.000000;
2.077491;0.969669;-0.211585;1.001421;0.979163;0.209958;-0.902474;-0.409602;-1.000000;
2.092224;0.958513;-0.211636;1.002017;0.980385;0.207087;-0.892281;-0.404347;-1.000000;
2.106957;0.946464;-0.211587;1.002680;0.981712;0.203983;-0.881264;-0.398639;-1.000000;
2.121689;0.933744;-0.211466;1.003386;0.983107;0.200705;-0.869630;-0.392638;-1.000000;
2.136422;0.920528;-0.211303;1.004113;0.984538;0.197300;-0.857536;-0.386470;-1.000000;
2.151155;0.906945;-0.211119;1.004848;0.985982;0.193801;-0.845103;-0.380231;-1.000000;
2.165887;0.893093;-0.210931;1.005579;0.987421;0.190234;-0.832419;-0.373990;-1.000000;
2.180620;0.879039;-0.210752;1.006298;0.988843;0.186616;-0.819546;-0.367795;-1.000000;
2.195353;0.864833;-0.210586;1.007002;0.990241;0.182962;-0.806530;-0.361680;-1.000000;
2.210086;0.850510;-0.210439;1.007686;0.991610;0.179279;-0.793404;-0.355664;-1.000000;
2.224818;0.836095;-0.210312;1.008350;0.992947;0.175574;-0.780189;-0.349759;-1.000000;
2.254284;0.807067;-0.210108;1.009615;0.995519;0.168121;-0.753566;-0.338314;-1.000000;
