time;IBG_ibg_injector_PInjPu;IBG_ibg_injector_QInjPu;IBG_ibg_iPLimiter_u;IBG_ibg_iPLimiter_y;IBG_ibg_iQLimiter_u;IBG_ibg_iQLimiter_y;
0.000000;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000001;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000002;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000004;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000008;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000016;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000032;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000064;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000128;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000256;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.000512;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.001024;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.002048;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.004096;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.008192;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010000;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010001;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010002;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010004;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010008;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010016;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010032;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010064;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010128;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010256;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.010512;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.011024;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.012048;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.014096;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
0.018192;0.700000;0.200000;0.466667;0.466667;0.133333;0.133333;
