time;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_energyConversion_storageSys_sOCcontrol_soc;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_PInjPu;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_QInjPu;
0.000000;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;50.000000;1.030003;0.150000;
0.000002;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999998;1.030003;0.150000;
0.000005;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999995;1.030003;0.150000;
0.000010;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999990;1.030003;0.150000;
0.000019;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999981;1.030003;0.150000;
0.000038;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999962;1.030003;0.150000;
0.000077;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999923;1.030003;0.150000;
0.000154;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999846;1.030003;0.150000;
0.000307;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999693;1.030003;0.150000;
0.000615;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999385;1.030003;0.150000;
0.001000;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.999000;1.030003;0.150000;
0.001003;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998997;1.030003;0.150000;
0.001007;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998993;1.030003;0.150000;
0.001013;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998987;1.030003;0.150000;
0.001025;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998975;1.030003;0.150000;
0.001050;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998950;1.030003;0.150000;
0.001100;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998900;1.030003;0.150000;
0.001199;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998801;1.030003;0.150000;
0.001398;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998602;1.030003;0.150000;
0.001797;-0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;49.998203;1.030003;0.150000;
0.002593;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.997407;1.030002;0.150000;
0.003389;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.996611;1.030002;0.150000;
0.004000;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.996000;1.030002;0.150000;
0.004005;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995995;1.030002;0.150000;
0.004010;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995990;1.030002;0.150000;
0.004021;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995979;1.030002;0.150000;
0.004042;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995958;1.030002;0.150000;
0.004084;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995916;1.030002;0.150000;
0.004169;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995831;1.030002;0.150000;
0.004216;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995784;1.030002;0.150000;
0.004222;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995778;1.030002;0.150000;
0.004227;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995773;1.030002;0.150000;
0.004238;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995762;1.030002;0.150000;
0.004260;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995740;1.030002;0.150000;
0.004304;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995696;1.030002;0.150000;
0.004391;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995609;1.030002;0.150000;
0.004565;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995435;1.030002;0.150000;
0.004739;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995261;1.030002;0.150000;
0.004914;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.995086;1.030002;0.150000;
0.005088;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.994912;1.030002;0.150000;
0.005263;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.994737;1.030002;0.150000;
0.005437;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.994563;1.030002;0.150000;
0.005611;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.994389;1.030002;0.150000;
0.005786;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.994214;1.030002;0.150000;
0.006134;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.993866;1.030002;0.150000;
0.006483;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.993517;1.030002;0.150000;
0.006832;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.993168;1.030002;0.150000;
0.007180;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992820;1.030002;0.150000;
0.007529;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992471;1.030002;0.150000;
0.007832;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992168;1.030002;0.150000;
0.007844;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992156;1.030002;0.150000;
0.007857;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992143;1.030002;0.150000;
0.007882;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992118;1.030002;0.150000;
0.007932;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.992068;1.030002;0.150000;
0.008032;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.991968;1.030002;0.150000;
0.008232;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.991768;1.030002;0.150000;
0.008633;-0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;49.991367;1.030002;0.150000;
0.009154;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990846;1.030002;0.150000;
0.009167;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990833;1.030002;0.150000;
0.009181;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990819;1.030002;0.150000;
0.009207;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990793;1.030002;0.150000;
0.009260;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990740;1.030002;0.150000;
0.009366;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990634;1.030002;0.150000;
0.009578;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990422;1.030002;0.150000;
0.010000;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.990000;1.030002;0.150000;
0.010014;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989986;1.030002;0.150000;
0.010028;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989972;1.030002;0.150000;
0.010056;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989944;1.030002;0.150000;
0.010112;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989888;1.030002;0.150000;
0.010223;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989777;1.030002;0.150000;
0.010447;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989553;1.030002;0.150000;
0.010893;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.989107;1.030002;0.150000;
0.011786;-0.000000;1.000002;1.000001;0.000000;1.000000;1.000000;49.988214;1.030002;0.150000;
