time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Load_state;NETWORK_Load_zP;NETWORK_Load_zQ;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000000;1.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
1.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000005;1.000009;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337723;
2.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000009;1.000018;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337721;
3.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000014;1.000027;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337719;
4.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000018;1.000036;-0.003000;-0.000484;0.003002;0.000502;1.001584;0.337717;
5.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000022;1.000045;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337714;
6.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000027;1.000053;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337712;
7.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000031;1.000062;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337710;
8.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000035;1.000070;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337708;
9.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;1.000039;1.000079;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337706;
10.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;2.000000;1.000043;1.000087;-0.003000;-0.000483;0.003002;0.000502;1.001584;0.337704;
10.000000;1.007486;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000043;1.000087;-0.007963;-0.002888;0.007978;0.003032;1.007486;0.872932;
11.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
12.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
13.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
14.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
15.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
16.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
17.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
18.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
19.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
20.000000;1.007428;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;1.000044;1.000088;-0.007985;-0.002857;0.008000;0.003000;1.007428;0.875863;
