time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;
0.000000;1.000000;1.000000;
0.001000;1.000000;1.000000;
0.002000;1.000000;1.000000;
0.004000;1.000000;1.000000;
0.008000;1.000000;1.000000;
0.016000;1.000000;1.000000;
0.032000;1.000000;1.000000;
0.064000;1.000000;1.000000;
0.100000;1.000000;1.000000;
0.100000;1.000000;1.000000;
0.100062;1.000000;1.003745;
0.100187;1.000000;1.011218;
0.100299;1.000000;1.017872;
0.100410;1.000001;1.024511;
0.100522;1.000001;1.031135;
0.100745;1.000002;1.044350;
0.100968;1.000003;1.057512;
0.101191;1.000004;1.070616;
0.101638;1.000008;1.096650;
0.102084;1.000013;1.122454;
0.102976;1.000026;1.173376;
0.103869;1.000044;1.223393;
0.104761;1.000067;1.272515;
0.105654;1.000094;1.320752;
0.106546;1.000126;1.368115;
0.107439;1.000162;1.414616;
0.108331;1.000204;1.460263;
0.109224;1.000249;1.505067;
0.110116;1.000300;1.549038;
0.111009;1.000355;1.592186;
0.111901;1.000415;1.634521;
0.112794;1.000479;1.676051;
0.113686;1.000548;1.716787;
0.114579;1.000622;1.756738;
0.115471;1.000700;1.795912;
0.116364;1.000782;1.834319;
0.117256;1.000870;1.871967;
0.118149;1.000961;1.908864;
0.119041;1.001057;1.945021;
0.119934;1.001158;1.980444;
0.120827;1.001262;2.015142;
0.121719;1.001371;2.049123;
0.122612;1.001485;2.082396;
0.123504;1.001603;2.114969;
0.124397;1.001725;2.146848;
0.125289;1.001851;2.178042;
0.126182;1.001981;2.208559;
0.127074;1.002116;2.238406;
0.127967;1.002254;2.267590;
0.128859;1.002397;2.296119;
0.129752;1.002544;2.324000;
0.130644;1.002694;2.351241;
0.131537;1.002849;2.377848;
0.132429;1.003007;2.403829;
0.133322;1.003169;2.429190;
0.134214;1.003336;2.453939;
0.135107;1.003505;2.478081;
0.135999;1.003679;2.501625;
0.136892;1.003856;2.524576;
0.137784;1.004037;2.546941;
0.138677;1.004221;2.568726;
0.139569;1.004409;2.589939;
0.141354;1.004795;2.630679;
0.142961;1.005154;2.665450;
0.144567;1.005524;2.698463;
0.146174;1.005904;2.729754;
0.147780;1.006293;2.759356;
0.149387;1.006693;2.787304;
0.150993;1.007102;2.813632;
0.152600;1.007520;2.838373;
0.154206;1.007947;2.861560;
0.155813;1.008382;2.883226;
0.157419;1.008825;2.903402;
0.159026;1.009277;2.922121;
0.160632;1.009735;2.939413;
0.162239;1.010201;2.955309;
0.163845;1.010674;2.969840;
0.165452;1.011154;2.983035;
0.167058;1.011639;2.994925;
0.168665;1.012131;3.005539;
0.170271;1.012628;3.014905;
0.171878;1.013131;3.023053;
0.173484;1.013639;3.030010;
0.175091;1.014151;3.035805;
0.176697;1.014668;3.040463;
0.178304;1.015190;3.044014;
0.179910;1.015715;3.046485;
0.181517;1.016243;3.047901;
0.183123;1.016775;3.048291;
0.184730;1.017310;3.047679;
0.186336;1.017847;3.046093;
0.187943;1.018387;3.043556;
0.189549;1.018930;3.040096;
0.191156;1.019474;3.035736;
0.192763;1.020019;3.030502;
0.194369;1.020566;3.024419;
0.195976;1.021115;3.017510;
0.197582;1.021664;3.009799;
0.199189;1.022213;3.001310;
0.200795;1.022763;2.992065;
0.202402;1.023313;2.982089;
0.204008;1.023863;2.971403;
0.205615;1.024412;2.960030;
0.207221;1.024961;2.947992;
0.208828;1.025510;2.935312;
0.210434;1.026057;2.922011;
0.212041;1.026602;2.908110;
0.213647;1.027147;2.893631;
0.215254;1.027690;2.878594;
0.216860;1.028230;2.863020;
0.218467;1.028769;2.846930;
0.220073;1.029306;2.830343;
0.221680;1.029840;2.813279;
0.223286;1.030371;2.795758;
0.224893;1.030900;2.777799;
0.226499;1.031426;2.759421;
0.228106;1.031948;2.740642;
0.229712;1.032467;2.721481;
0.231319;1.032983;2.701956;
0.232925;1.033495;2.682085;
0.234532;1.034004;2.661886;
0.236138;1.034508;2.641376;
0.237745;1.035008;2.620571;
0.239351;1.035505;2.599489;
0.240958;1.035997;2.578146;
0.242564;1.036484;2.556559;
0.244171;1.036967;2.534742;
0.245777;1.037445;2.512713;
0.247384;1.037919;2.490486;
0.248990;1.038387;2.468076;
0.250597;1.038851;2.445499;
0.252203;1.039309;2.422768;
0.253810;1.039762;2.399898;
0.255416;1.040210;2.376904;
0.257023;1.040653;2.353798;
0.258629;1.041090;2.330595;
0.260236;1.041522;2.307307;
0.261842;1.041948;2.283947;
0.263449;1.042368;2.260529;
0.265056;1.042783;2.237064;
0.266662;1.043191;2.213565;
0.268269;1.043594;2.190043;
0.269875;1.043991;2.166511;
0.271482;1.044382;2.142978;
0.273088;1.044767;2.119458;
0.274695;1.045146;2.095959;
0.276301;1.045519;2.072493;
0.277908;1.045886;2.049071;
0.279514;1.046246;2.025701;
0.281121;1.046601;2.002395;
0.282727;1.046949;1.979161;
0.284334;1.047291;1.956008;
0.285940;1.047627;1.932947;
0.287547;1.047956;1.909985;
0.289153;1.048279;1.887130;
0.290760;1.048596;1.864393;
0.292366;1.048907;1.841779;
0.293973;1.049211;1.819298;
0.295579;1.049509;1.796956;
0.297186;1.049801;1.774761;
0.298792;1.050086;1.752721;
0.300399;1.050365;1.730841;
0.302005;1.050638;1.709129;
0.303612;1.050905;1.687591;
0.305218;1.051165;1.666233;
0.306825;1.051419;1.645061;
0.308431;1.051667;1.624081;
0.310038;1.051909;1.603298;
0.311644;1.052144;1.582717;
0.313251;1.052374;1.562345;
0.314857;1.052597;1.542184;
0.316464;1.052814;1.522241;
0.319677;1.053231;1.483029;
0.322569;1.053586;1.448523;
0.325460;1.053921;1.414783;
0.328352;1.054238;1.381828;
0.331244;1.054536;1.349678;
0.334135;1.054816;1.318347;
0.337027;1.055079;1.287851;
0.339919;1.055323;1.258201;
0.342811;1.055550;1.229408;
0.345702;1.055761;1.201482;
0.348594;1.055955;1.174429;
0.351486;1.056132;1.148256;
0.354378;1.056294;1.122965;
0.357269;1.056440;1.098561;
0.363053;1.056689;1.052413;
0.368836;1.056881;1.009801;
0.374620;1.057019;0.970697;
0.380403;1.057107;0.935056;
0.385418;1.057145;0.906916;
0.389931;1.057150;0.883742;
0.393993;1.057134;0.864594;
0.397648;1.057102;0.848717;
0.401304;1.057056;0.834097;
0.404960;1.056996;0.820706;
0.408250;1.056930;0.809683;
0.411540;1.056855;0.799609;
0.414830;1.056770;0.790462;
0.418120;1.056676;0.782218;
0.421410;1.056574;0.774851;
0.424700;1.056465;0.768337;
0.427990;1.056348;0.762650;
0.431280;1.056225;0.757765;
0.434242;1.056108;0.754032;
0.437203;1.055988;0.750906;
0.440164;1.055863;0.748368;
0.443125;1.055734;0.746398;
0.446086;1.055602;0.744978;
0.449047;1.055467;0.744086;
0.452008;1.055329;0.743702;
0.454969;1.055188;0.743808;
0.457930;1.055046;0.744383;
0.460891;1.054901;0.745407;
0.463852;1.054755;0.746861;
0.466814;1.054608;0.748724;
0.469775;1.054460;0.750979;
0.472736;1.054311;0.753604;
0.475697;1.054161;0.756583;
0.478658;1.054012;0.759894;
0.481619;1.053862;0.763521;
0.484580;1.053713;0.767444;
0.487541;1.053564;0.771646;
0.490502;1.053416;0.776109;
0.493463;1.053269;0.780816;
0.496424;1.053123;0.785749;
0.499385;1.052979;0.790891;
0.502347;1.052835;0.796227;
0.505308;1.052694;0.801740;
0.508269;1.052554;0.807414;
0.511230;1.052416;0.813235;
0.514191;1.052280;0.819186;
0.517152;1.052146;0.825255;
0.520113;1.052015;0.831426;
0.523074;1.051885;0.837687;
0.526035;1.051759;0.844023;
0.528996;1.051635;0.850422;
0.531957;1.051514;0.856871;
0.534919;1.051395;0.863358;
0.537880;1.051279;0.869873;
0.540841;1.051167;0.876403;
0.543802;1.051057;0.882938;
0.546763;1.050950;0.889467;
0.549724;1.050846;0.895981;
0.552685;1.050746;0.902471;
0.555646;1.050648;0.908926;
0.558607;1.050554;0.915339;
0.561568;1.050462;0.921701;
0.564529;1.050374;0.928005;
0.567491;1.050290;0.934243;
0.570452;1.050208;0.940408;
0.573413;1.050129;0.946493;
0.576374;1.050054;0.952493;
0.579335;1.049982;0.958401;
0.582296;1.049913;0.964212;
0.585257;1.049847;0.969920;
0.588218;1.049784;0.975522;
0.591179;1.049725;0.981013;
0.594140;1.049668;0.986388;
0.597101;1.049614;0.991645;
0.600063;1.049564;0.996779;
0.605985;1.049471;1.006666;
0.611315;1.049397;1.015119;
0.616645;1.049332;1.023140;
0.621975;1.049276;1.030719;
0.627305;1.049228;1.037851;
0.632634;1.049188;1.044532;
0.643294;1.049129;1.056545;
0.653954;1.049098;1.066785;
0.664614;1.049089;1.075303;
0.673574;1.049099;1.081178;
0.681637;1.049119;1.085511;
0.688895;1.049144;1.088676;
0.695426;1.049173;1.090962;
0.701958;1.049206;1.092745;
0.708489;1.049243;1.094055;
0.715021;1.049283;1.094923;
0.720899;1.049322;1.095354;
0.726777;1.049362;1.095478;
0.732656;1.049404;1.095317;
0.738534;1.049446;1.094895;
0.744413;1.049490;1.094234;
0.750291;1.049533;1.093358;
0.756169;1.049577;1.092289;
0.762048;1.049621;1.091047;
0.767926;1.049664;1.089654;
0.773804;1.049706;1.088130;
0.779683;1.049748;1.086494;
0.785561;1.049788;1.084765;
0.791440;1.049827;1.082960;
0.797318;1.049865;1.081096;
0.803196;1.049902;1.079190;
0.809075;1.049936;1.077255;
0.814953;1.049969;1.075305;
0.820831;1.050001;1.073353;
0.824649;1.050020;1.072093;
0.828466;1.050038;1.070842;
0.832284;1.050055;1.069605;
0.839919;1.050088;1.067167;
0.847032;1.050117;1.064957;
0.854145;1.050142;1.062820;
0.861258;1.050165;1.060767;
0.868372;1.050185;1.058809;
0.875485;1.050202;1.056954;
0.882598;1.050217;1.055207;
0.889711;1.050230;1.053575;
0.896824;1.050240;1.052060;
0.911050;1.050254;1.049389;
0.925277;1.050261;1.047193;
0.939503;1.050261;1.045458;
0.953729;1.050255;1.044160;
0.967956;1.050246;1.043263;
0.980759;1.050234;1.042767;
0.993563;1.050220;1.042531;
1.005086;1.050207;1.042513;
1.016610;1.050193;1.042647;
1.026981;1.050180;1.042883;
1.037352;1.050167;1.043206;
1.047723;1.050154;1.043599;
1.058094;1.050141;1.044046;
1.068465;1.050130;1.044531;
1.078836;1.050118;1.045041;
1.089207;1.050108;1.045563;
1.099578;1.050098;1.046086;
1.107389;1.050092;1.046472;
1.115201;1.050086;1.046847;
1.123012;1.050081;1.047207;
1.138635;1.050071;1.047890;
1.154258;1.050063;1.048504;
1.169880;1.050057;1.049040;
1.185503;1.050053;1.049491;
1.201126;1.050050;1.049857;
1.232372;1.050047;1.050353;
1.260493;1.050047;1.050559;
1.285802;1.050048;1.050588;
1.308580;1.050049;1.050520;
1.331358;1.050051;1.050391;
1.354136;1.050052;1.050229;
1.376914;1.050053;1.050053;
1.399692;1.050053;1.049882;
1.415036;1.050052;1.049779;
1.430379;1.050052;1.049688;
1.445723;1.050051;1.049611;
1.476409;1.050048;1.049485;
1.507096;1.050045;1.049406;
1.537783;1.050042;1.049367;
1.568470;1.050038;1.049363;
1.599157;1.050035;1.049383;
1.629844;1.050031;1.049417;
1.660531;1.050028;1.049456;
1.691218;1.050024;1.049493;
1.728742;1.050021;1.049525;
1.766266;1.050017;1.049546;
1.803790;1.050014;1.049558;
1.878838;1.050007;1.049570;
1.953886;1.050001;1.049570;
2.000000;1.049998;1.049566;
