time;WTG4A_WTG4A_injector_PInjPu;WTG4A_WTG4A_injector_QInjPu;WTG4A_WTG4A_injector_terminal_V_re;WTG4A_WTG4A_injector_terminal_i_re;WTG4A_WTG4A_injector_terminal_V_im;WTG4A_WTG4A_injector_terminal_i_im;WTG4A_WTG4A_pll_omegaPLLPu;WTG4A_WTG4A_driveTrainPmConstrant_PePu;
0.0000000000;0.7000003024;0.2795001120;1.0300002651;-0.7000003024;0.1050014916;0.1999990128;1.0000000002;0.7000003024;
0.0000000000;0.7000003024;0.2795001120;1.0300002651;-0.7000003024;0.1050014916;0.1999990128;1.0000000002;0.7000003024;
0.0000100000;0.7000002808;0.2795001121;1.0300002658;-0.7000002808;0.1050014884;0.1999990170;1.0000000002;0.7000002808;
0.0000200000;0.7000002808;0.2795001120;1.0300002658;-0.7000002808;0.1050014884;0.1999990170;1.0000000002;0.7000002808;
0.0000400000;0.7000002716;0.2795001119;1.0300002660;-0.7000002716;0.1050014870;0.1999990187;1.0000000002;0.7000002716;
0.0000800000;0.7000002808;0.2795001116;1.0300002657;-0.7000002808;0.1050014884;0.1999990166;1.0000000002;0.7000002808;
0.0001600000;0.7000002807;0.2795001111;1.0300002656;-0.7000002807;0.1050014884;0.1999990162;1.0000000002;0.7000002807;
0.0003200000;0.7000002805;0.2795001101;1.0300002655;-0.7000002805;0.1050014884;0.1999990152;1.0000000001;0.7000002805;
0.0006400000;0.7000002801;0.2795001079;1.0300002652;-0.7000002801;0.1050014883;0.1999990132;1.0000000001;0.7000002801;
0.0012800000;0.7000002786;0.2795001030;1.0300002646;-0.7000002786;0.1050014881;0.1999990089;1.0000000001;0.7000002786;
0.0025600000;0.7000002740;0.2795000918;1.0300002631;-0.7000002740;0.1050014874;0.1999989993;1.0000000000;0.7000002740;
0.0051200000;0.7000002604;0.2795000673;1.0300002600;-0.7000002604;0.1050014853;0.1999989788;1.0000000000;0.7000002604;
0.0102400000;0.7000002266;0.2795000204;1.0300002544;-0.7000002266;0.1050014803;0.1999989413;1.0000000000;0.7000002266;
0.0204800000;0.7000001632;0.2794999537;1.0300002469;-0.7000001632;0.1050014708;0.1999988910;1.0000000000;0.7000001632;
0.0409600000;0.7000000847;0.2794998976;1.0300002413;-0.7000000847;0.1050014590;0.1999988536;1.0000000000;0.7000000847;
0.0819200000;0.7000000250;0.2794998774;1.0300002402;-0.7000000250;0.1050014500;0.1999988463;1.0000000000;0.7000000250;
0.1638400000;0.6999999975;0.2794998797;1.0300002413;-0.6999999975;0.1050014459;0.1999988540;1.0000000000;0.6999999975;
0.3276800000;0.6999999902;0.2794998900;1.0300002430;-0.6999999902;0.1050014448;0.1999988651;1.0000000000;0.6999999902;
0.6553600000;0.6999999920;0.2794998618;1.0300002389;-0.6999999920;0.1050014451;0.1999988381;1.0000000000;0.6999999920;
1.0000000000;0.6999999947;0.2794998805;1.0300002415;-0.6999999947;0.1050014455;0.1999988552;1.0000000000;0.6999999947;
1.0000000000;0.4272059999;0.1705771811;0.6227693526;-0.7120099998;0.1068029711;0.1517935932;1.0000018100;0.4272059999;
1.0000100000;0.4272093784;0.1705990428;0.6227741530;-0.7120156307;0.1068038157;0.1518255954;1.0000017999;0.4272093784;
1.0000200000;0.4272128565;0.1706210282;0.6227789738;-0.7120214276;0.1068046852;0.1518577339;1.0000017900;0.4272128565;
1.0000400000;0.4272200544;0.1706652992;0.6227886651;-0.7120334240;0.1068064847;0.1519223414;1.0000017702;0.4272200544;
1.0000800000;0.4272356095;0.1707552787;0.6228082847;-0.7120593492;0.1068103736;0.1520531372;1.0000017312;0.4272356095;
