time;SVarC_SVarC_UPu;SVarC_SVarC_URegulatedPu;SVarC_SVarC_BPu;SVarC_SVarC_QInjPu;SVarC_SVarC_modeHandling_mode;SVarC_SVarC_modeHandling_URefPu;Load_load_UPu_value;Load_load_PPu;Load_load_QPu;
0.000000;1.000306;0.999388;0.061137;0.061177;3.000000;1.000000;0.999388;0.500000;0.100000;
10.000000;1.000306;0.999388;0.061137;0.061177;3.000000;1.000000;0.999388;0.500000;0.100000;
10.000000;1.004492;0.990893;0.902586;0.910714;3.000000;1.000000;0.990893;0.000000;1.500000;
20.000000;1.004492;0.990893;0.902586;0.910714;3.000000;1.000000;0.990893;0.000000;1.500000;
30.000000;1.004492;0.990893;0.902586;0.910714;3.000000;1.000000;0.990893;0.000000;1.500000;
