time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Load_state;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Load2_state;
0.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.100000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.200000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.300000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.400000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.500000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.600000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.700000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.800000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
0.900000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.100000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.200000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.300000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.400000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.500000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.600000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.700000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.800000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
1.900000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
2.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
2.100000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
2.200000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
2.300000;1.001197;1.000000;0.003000;0.008000;1.000000;0.005000;0.001500;2.000000;0.002000;0.001000;2.000000;
