time;WPP4B_WPP4B_HvMeasurements_PPu;WPP4B_WPP4B_HvMeasurements_QPu;WPP4B_WPP4B_HvMeasurements_UPu;WPP4B_WPP4B_LvMeasurements_PPu;WPP4B_WPP4B_LvMeasurements_QPu;WPP4B_WPP4B_LvMeasurements_UPu;WPP4B_WPP4B_injector_PInjPuSn;WPP4B_WPP4B_injector_QInjPuSn;WPP4B_WPP4B_injector_UPu;WPP4B_WPP4B_injector_idPu;WPP4B_WPP4B_injector_iqPu;
0.000000;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000001;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000002;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000004;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000008;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000016;0.350000;0.100001;1.000000;0.356443;0.130068;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000032;0.350000;0.100001;1.000000;0.356443;0.130067;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000064;0.350000;0.100001;1.000000;0.356443;0.130067;1.002770;0.356444;0.130069;1.002775;0.355458;-0.129707;
0.000128;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.000256;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.000512;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001024;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001886;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001887;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
0.001888;0.350000;0.100000;1.000000;0.356443;0.130067;1.002770;0.356444;0.130068;1.002775;0.355458;-0.129707;
