time;PhaseShifter_5_6_phaseShifter_PMonitored;PhaseShifter_5_6_phaseShifter_state;PhaseShifter_5_6_phaseShifter_tap;HVDC_hvdc_P1Pu;HVDC_hvdc_Q1Pu;HVDC_hvdc_Q2Pu;HVDC_hvdc_Theta1;HVDC_hvdc_Theta2;
21.000000;7.486169;4.000000;13.000000;8.398709;-0.464073;-1.568300;-0.118226;-0.135064;
22.000000;7.486133;4.000000;13.000000;8.399096;-0.464087;-1.568272;-0.118227;-0.135064;
23.000000;7.486098;4.000000;13.000000;8.399467;-0.464100;-1.568246;-0.118227;-0.135063;
24.000000;7.486065;4.000000;13.000000;8.399821;-0.464113;-1.568220;-0.118228;-0.135063;
25.000000;7.486033;4.000000;13.000000;8.400161;-0.464125;-1.568196;-0.118228;-0.135062;
26.000000;7.486002;4.000000;13.000000;8.400485;-0.464136;-1.568173;-0.118229;-0.135062;
27.000000;7.485973;4.000000;13.000000;8.400796;-0.464147;-1.568151;-0.118229;-0.135062;
28.000000;7.485945;4.000000;13.000000;8.401093;-0.464158;-1.568129;-0.118229;-0.135061;
29.000000;7.485919;4.000000;13.000000;8.401378;-0.464168;-1.568109;-0.118230;-0.135061;
30.000000;7.485893;4.000000;13.000000;8.401650;-0.464178;-1.568090;-0.118230;-0.135061;
30.000000;10.064497;5.000000;13.000000;8.401650;-0.277350;-2.137964;-0.084550;-0.170722;
31.000000;9.774601;5.000000;13.000000;9.005331;-0.305834;-2.032547;-0.088327;-0.166706;
32.000000;9.522372;5.000000;13.000000;9.530700;-0.332966;-1.943293;-0.091614;-0.163213;
33.000000;9.302902;5.000000;13.000000;9.987930;-0.358380;-1.867525;-0.094476;-0.160175;
33.000000;9.137438;6.000000;14.000000;9.987930;-0.358612;-1.866577;-0.094476;-0.162250;
34.000000;8.937738;6.000000;14.000000;10.403940;-0.383190;-1.799193;-0.097079;-0.159488;
35.000000;8.763968;6.000000;14.000000;10.766012;-0.405712;-1.741729;-0.099345;-0.157084;
36.000000;8.612749;6.000000;14.000000;11.081143;-0.426170;-1.692617;-0.101318;-0.154993;
37.000000;8.481151;6.000000;14.000000;11.355422;-0.444625;-1.650554;-0.103035;-0.153174;
38.000000;8.366624;6.000000;14.000000;11.594148;-0.461180;-1.614460;-0.104530;-0.151591;
39.000000;8.266951;6.000000;14.000000;11.801931;-0.475961;-1.583435;-0.105831;-0.150213;
39.000000;8.101352;7.000000;15.000000;11.801931;-0.476296;-1.583296;-0.105831;-0.152288;
40.000000;8.005890;7.000000;15.000000;12.000863;-0.490768;-1.553967;-0.107076;-0.150971;
41.000000;7.922831;7.000000;15.000000;12.174012;-0.503628;-1.528681;-0.108161;-0.149823;
42.000000;7.850543;7.000000;15.000000;12.324720;-0.515017;-1.506877;-0.109104;-0.148825;
