time;PhaseShifter_5_6_phaseShifter_PMonitored;PhaseShifter_5_6_phaseShifter_state;PhaseShifter_5_6_phaseShifter_tap;HVDC_hvdc_P1Pu;HVDC_hvdc_Q1Pu;HVDC_hvdc_Q2Pu;HVDC_hvdc_Theta1;HVDC_hvdc_Theta2;
0.000000;7.487455;4.000000;13.000000;8.385000;-0.463607;-1.569314;-0.118210;-0.135082;
1.000000;7.485981;4.000000;13.000000;8.400715;-0.464144;-1.568156;-0.118229;-0.135062;
2.000000;7.485528;4.000000;13.000000;8.405536;-0.464317;-1.567811;-0.118235;-0.135055;
3.000000;7.485389;4.000000;13.000000;8.407016;-0.464370;-1.567705;-0.118237;-0.135054;
4.000000;7.485346;4.000000;13.000000;8.407470;-0.464386;-1.567673;-0.118237;-0.135053;
5.000000;7.485333;4.000000;13.000000;8.407609;-0.464391;-1.567663;-0.118237;-0.135053;
6.000000;7.485329;4.000000;13.000000;8.407652;-0.464392;-1.567660;-0.118237;-0.135053;
7.000000;7.485328;4.000000;13.000000;8.407665;-0.464393;-1.567659;-0.118237;-0.135053;
8.000000;7.485328;4.000000;13.000000;8.407669;-0.464393;-1.567659;-0.118237;-0.135053;
9.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
10.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
11.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
12.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
13.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
14.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
15.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
16.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
17.000000;7.485328;4.000000;13.000000;8.407670;-0.464393;-1.567659;-0.118237;-0.135053;
