time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;
0.000044;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000044;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000045;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000045;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000046;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000046;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000047;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000047;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000048;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000048;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000049;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000049;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000050;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000050;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000051;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000051;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000052;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000052;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000053;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000053;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000055;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000055;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000056;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000056;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000057;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000057;0.991871;2.507895;4.751010;1.561897;1.000000;
0.000059;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000059;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000060;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000060;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000061;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000061;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000063;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000063;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000064;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000064;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000065;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000065;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000068;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000068;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000070;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000070;0.991871;2.507896;4.751010;1.561897;1.000000;
0.000072;0.991871;2.507897;4.751010;1.561897;1.000000;
0.000072;0.991871;2.507897;4.751010;1.561897;1.000000;
0.000073;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000073;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000075;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000075;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000077;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000077;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000079;0.991871;2.507897;4.751010;1.561896;1.000000;
