model;variable;value;
Generator;generator_UPu;0.883239;
Generator;generator_QGenPu;0.600000;
Generator;generator_PGenPu;0.800000;
NETWORK;Load_P;0.000000;
NETWORK;Load_Q;0.000000;
NETWORK;Load2_P;0.272072;
NETWORK;Load2_Q;0.183569;
NETWORK;Load2_zP;1.542023;
NETWORK;Load2_zQ;2.358665;
NETWORK;line1_P1;-0.379077;
NETWORK;line1_Q1;0.592076;
NETWORK;line1_P2;0.477928;
NETWORK;line1_Q2;0.396431;
NETWORK;VL2_BUS1_U;0.883239;
NETWORK;VL2_BUS1_phi;97.045562;
Generator;generator_PGen;80.000000;
