time;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_controlAndProtection_control_qControl_voltageDroop;
0.000000;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000002;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000005;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000010;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000019;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000038;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000077;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000154;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000307;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.000614;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.001228;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.001843;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.003071;-0.200000;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004197;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004202;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004208;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004219;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004240;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004284;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004370;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004544;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004718;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.004891;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.005065;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.005238;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.005412;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.005585;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.005759;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.006106;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.006453;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.006801;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.007148;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.007495;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.007842;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.008189;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.008883;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009097;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009110;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009123;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009149;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009202;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009306;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009516;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.009936;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010000;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010014;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010028;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010056;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010111;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010222;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010444;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.010889;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.011777;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.012665;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.014442;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.016041;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.017640;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.019240;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.020839;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.022438;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.024037;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.025636;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.027235;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.028834;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.029548;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.029611;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.029675;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.029802;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.030055;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.030563;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.031579;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.033610;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.035642;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.037673;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.039704;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
