time;WT4B_WT4B_injector_PInjPu;WT4B_WT4B_injector_QInjPu;WT4B_WT4B_injector_terminal_V_re;WT4B_WT4B_injector_terminal_i_re;WT4B_WT4B_injector_terminal_V_im;WT4B_WT4B_injector_terminal_i_im;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000010;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000020;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000040;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000080;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000160;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000320;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.000640;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.001280;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.002560;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.005120;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.010240;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.020480;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.040960;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.081920;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.163840;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.327680;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
0.655360;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
1.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;
1.000000;0.427206;0.170577;0.622769;-0.712010;0.106803;0.151794;
1.000010;0.427209;0.170599;0.622774;-0.712016;0.106804;0.151826;
1.000020;0.427213;0.170621;0.622779;-0.712021;0.106805;0.151858;
1.000040;0.427220;0.170665;0.622789;-0.712033;0.106806;0.151922;
1.000080;0.427236;0.170755;0.622808;-0.712059;0.106810;0.152053;
1.000160;0.427271;0.170941;0.622848;-0.712119;0.106819;0.152321;
1.000320;0.427362;0.171335;0.622933;-0.712270;0.106842;0.152882;
1.000640;0.427616;0.172213;0.623115;-0.712693;0.106905;0.154101;
1.001280;0.428408;0.174300;0.623534;-0.714013;0.107103;0.156892;
1.001323;0.428474;0.174457;0.623565;-0.714124;0.107120;0.157096;
1.001323;0.428474;0.174457;0.623565;-0.714124;0.107120;0.157096;
1.001333;0.428490;0.174494;0.623572;-0.714151;0.107124;0.157145;
1.001343;0.428506;0.174531;0.623579;-0.714177;0.107128;0.157193;
1.001363;0.428539;0.174606;0.623594;-0.714231;0.107136;0.157292;
1.001403;0.428605;0.174761;0.623624;-0.714341;0.107153;0.157494;
1.001483;0.428742;0.175086;0.623688;-0.714571;0.107187;0.157920;
1.001643;0.429041;0.175798;0.623829;-0.715069;0.107262;0.158855;
1.001963;0.429730;0.177466;0.624158;-0.716217;0.107434;0.161048;
1.002603;0.431454;0.181709;0.624995;-0.719090;0.107865;0.166632;
1.003883;0.436157;0.193372;0.627286;-0.726928;0.109041;0.181907;
1.005163;0.442375;0.208762;0.630278;-0.737292;0.110595;0.201848;
1.005608;0.444842;0.214824;0.631445;-0.741403;0.111212;0.209633;
1.005608;0.444839;0.214825;0.631446;-0.741398;0.111211;0.209635;
1.005609;0.444844;0.214838;0.631448;-0.741407;0.111213;0.209652;
1.005609;0.444844;0.214838;0.631448;-0.741407;0.111213;0.209652;
1.005619;0.444902;0.214981;0.631476;-0.741504;0.111227;0.209835;
1.005629;0.444960;0.215124;0.631503;-0.741600;0.111242;0.210019;
1.005649;0.445077;0.215411;0.631558;-0.741795;0.111271;0.210386;
1.005689;0.445310;0.215986;0.631669;-0.742184;0.111329;0.211123;
1.005769;0.445781;0.217142;0.631891;-0.742968;0.111447;0.212602;
1.005929;0.446734;0.219476;0.632338;-0.744557;0.111685;0.215581;
1.006249;0.448689;0.224225;0.633244;-0.747814;0.112174;0.221621;
1.006889;0.452773;0.234009;0.635095;-0.754622;0.113195;0.233965;
1.008169;0.461544;0.254437;0.638898;-0.769240;0.115388;0.259316;
1.009449;0.470992;0.275680;0.642765;-0.784987;0.117750;0.285094;
