time;Generator1_generator_UPu;Generator1_generator_UStatorPu;Generator1_generator_UStatorRefPu;Generator1_generator_PGenPu;Generator1_generator_QGenPu;Generator1_generator_QMaxPu;Generator1_generator_QMinPu;Generator1_reactivePowerControlLoop_level;Generator1_reactivePowerControlLoop_QStatorPu;Generator1_reactivePowerControlLoop_UStatorRefPu;Generator2_generator_UPu;Generator2_generator_UStatorPu;Generator2_generator_UStatorRefPu;Generator2_generator_PGenPu;Generator2_generator_QGenPu;Generator2_generator_QMaxPu;Generator2_generator_QMinPu;Generator2_reactivePowerControlLoop_level;Generator2_reactivePowerControlLoop_QStatorPu;Generator2_reactivePowerControlLoop_UStatorRefPu;SVC_UpPu;SVC_UpRefPu;SVC_level;
0.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
1.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
3.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
7.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
9.999998;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
15.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
19.999994;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
25.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
29.999988;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
35.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;
