time;WT3A_WT_controlMeasurements_PPuSnRef;WT3A_WT_controlMeasurements_QPuSnRef;WT3A_WT_controlMeasurements_UPu;WT3A_WT_mechanical_omegaGenPu;WT3A_WT_mechanical_omegaWTRPu;PRefPu_step_step;WT3A_WT_terminal_V_re;WT3A_WT_terminal_V_im;WT3A_WT_terminal_i_re;WT3A_WT_terminal_i_im;
0.000079;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000083;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000086;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000090;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000093;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000096;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000100;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000101;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000102;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000104;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000108;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000111;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000115;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000119;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000122;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000126;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000130;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000133;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000137;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000141;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000144;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000148;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000152;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000155;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000159;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000163;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000166;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000170;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000174;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000177;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000181;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000185;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000188;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000192;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000196;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000199;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000203;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000207;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000210;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000214;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
0.000218;0.600000;0.100000;1.000000;1.000000;1.000000;1.100000;1.000000;0.000000;-0.600000;0.100000;
