time;WTG3_WTG3_injector_PInjPu;WTG3_WTG3_injector_QInjPu;WTG3_WTG3_injector_terminal_V_re;WTG3_WTG3_injector_terminal_i_re;WTG3_WTG3_injector_terminal_V_im;WTG3_WTG3_injector_terminal_i_im;WTG3_WTG3_pll_omegaPLLPu;WTG3_WTG3_wecc_wtgt_PePu;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000001;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000002;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000004;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000008;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000016;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000032;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000064;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000128;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000256;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.000512;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.001024;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.002048;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.004096;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.008192;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.016384;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.024576;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.032768;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.049152;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.065536;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.081920;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;1.000000;0.700000;
0.098304;0.699999;0.279500;1.030000;-0.699999;0.105001;0.199999;1.000000;0.699999;
0.114688;0.699999;0.279500;1.030000;-0.699999;0.105001;0.199999;1.000000;0.699999;
0.131072;0.699997;0.279500;1.030000;-0.699997;0.105001;0.199999;1.000000;0.699997;
0.147456;0.699995;0.279500;1.030000;-0.699995;0.105001;0.200000;1.000000;0.699995;
0.163840;0.699993;0.279500;1.030000;-0.699993;0.105000;0.200000;1.000000;0.699993;
0.196608;0.699983;0.279500;1.030001;-0.699983;0.104999;0.200002;1.000000;0.699983;
0.226099;0.699969;0.279500;1.030001;-0.699969;0.104997;0.200005;1.000000;0.699969;
0.255590;0.699947;0.279500;1.030002;-0.699947;0.104994;0.200009;1.000000;0.699947;
0.285082;0.699919;0.279500;1.030003;-0.699919;0.104989;0.200015;0.999999;0.699919;
0.314573;0.699882;0.279499;1.030004;-0.699882;0.104984;0.200022;0.999999;0.699882;
0.344064;0.699837;0.279499;1.030005;-0.699837;0.104977;0.200031;0.999999;0.699837;
0.373555;0.699783;0.279499;1.030007;-0.699783;0.104969;0.200041;0.999999;0.699783;
0.403046;0.699723;0.279499;1.030008;-0.699723;0.104960;0.200053;0.999999;0.699723;
0.432538;0.699656;0.279498;1.030010;-0.699656;0.104950;0.200066;0.999999;0.699656;
0.462029;0.699585;0.279498;1.030012;-0.699585;0.104939;0.200079;0.999999;0.699585;
0.491520;0.699512;0.279498;1.030014;-0.699512;0.104928;0.200093;0.999999;0.699512;
0.521011;0.699438;0.279497;1.030017;-0.699438;0.104917;0.200108;0.999999;0.699438;
0.550502;0.699365;0.279497;1.030019;-0.699365;0.104906;0.200122;0.999999;0.699365;
0.579994;0.699296;0.279496;1.030021;-0.699296;0.104896;0.200135;0.999999;0.699296;
0.638976;0.699172;0.279496;1.030024;-0.699172;0.104877;0.200159;0.999999;0.699172;
0.692060;0.699079;0.279495;1.030027;-0.699079;0.104863;0.200177;0.999999;0.699079;
