model;variable;value;
NETWORK;Transformer_P1;-0.0404188047;
NETWORK;Transformer_P2;0.0405970050;
NETWORK;Transformer_Q1;-0.0051052493;
NETWORK;Transformer_Q2;0.0059370680;
Generator;generator_UPu;1.0000001596;
Generator;generator_PGen;7.0597009843;
Generator;generator_QGen;1.5937071222;
Generator;generator_PGenPu;0.0705970098;
Generator;generator_QGenPu;0.0159370712;
NETWORK;Transformer_i1;0.0410202217;
NETWORK;Transformer_i2;0.0410288320;
NETWORK;Transformer_iS1ToS2Side1;-2368.3036048369;
NETWORK;Transformer_iS2ToS1Side1;2368.3036048369;
NETWORK;Transformer_iS1ToS2Side2;-2368.8007217364;
NETWORK;Transformer_iS2ToS1Side2;2368.8007217364;
NETWORK;Transformer_iSide1;2368.3036048369;
NETWORK;Transformer_iSide2;2368.8007217364;
