time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000130;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000390;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000910;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.000910;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.000910;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001062;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001367;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.001976;1.000161;-0.210035;1.000164;0.976169;0.217767;-0.930282;-0.422693;
0.003193;1.000156;-0.210035;1.000165;0.976170;0.217765;-0.930278;-0.422691;
0.004411;1.000151;-0.210036;1.000165;0.976170;0.217764;-0.930273;-0.422688;
0.005629;1.000144;-0.210036;1.000165;0.976171;0.217762;-0.930267;-0.422685;
0.006847;1.000138;-0.210036;1.000166;0.976172;0.217761;-0.930261;-0.422682;
0.009282;1.000123;-0.210035;1.000167;0.976174;0.217757;-0.930247;-0.422674;
0.011717;1.000109;-0.210034;1.000168;0.976176;0.217753;-0.930234;-0.422665;
0.011736;1.000109;-0.210034;1.000168;0.976176;0.217753;-0.930234;-0.422665;
0.011736;1.000109;-0.210034;1.000168;0.976176;0.217753;-0.930234;-0.422665;
0.012335;1.000105;-0.210034;1.000168;0.976176;0.217752;-0.930231;-0.422663;
0.012934;1.000102;-0.210034;1.000168;0.976177;0.217751;-0.930228;-0.422661;
0.012934;1.000102;-0.210034;1.000168;0.976177;0.217751;-0.930228;-0.422661;
0.012934;1.000102;-0.210034;1.000168;0.976177;0.217751;-0.930228;-0.422661;
0.013617;1.000098;-0.210033;1.000169;0.976177;0.217750;-0.930224;-0.422659;
0.014983;1.000091;-0.210032;1.000169;0.976179;0.217748;-0.930218;-0.422654;
0.017715;1.000078;-0.210030;1.000171;0.976181;0.217745;-0.930206;-0.422644;
0.020448;1.000066;-0.210027;1.000172;0.976183;0.217742;-0.930195;-0.422635;
0.023180;1.000056;-0.210024;1.000174;0.976185;0.217739;-0.930186;-0.422627;
0.028645;1.000041;-0.210018;1.000177;0.976189;0.217735;-0.930172;-0.422613;
0.034109;1.000030;-0.210013;1.000179;0.976192;0.217732;-0.930161;-0.422601;
0.039574;1.000021;-0.210009;1.000181;0.976194;0.217730;-0.930154;-0.422591;
0.050503;1.000012;-0.210002;1.000183;0.976198;0.217727;-0.930145;-0.422578;
0.061433;1.000006;-0.209998;1.000185;0.976200;0.217725;-0.930139;-0.422570;
0.083291;1.000001;-0.209994;1.000187;0.976202;0.217724;-0.930135;-0.422563;
0.105150;0.999999;-0.209993;1.000187;0.976202;0.217724;-0.930133;-0.422561;
0.148867;0.999999;-0.209994;1.000187;0.976202;0.217724;-0.930133;-0.422562;
0.208458;0.999999;-0.209996;1.000186;0.976201;0.217724;-0.930133;-0.422565;
0.208458;0.999999;-0.209996;1.000186;0.976201;0.217724;-0.930133;-0.422565;
0.214602;0.999999;-0.209996;1.000186;0.976201;0.217724;-0.930133;-0.422565;
0.214602;0.999999;-0.209996;1.000186;0.976201;0.217724;-0.930133;-0.422565;
0.214602;0.999999;-0.209996;1.000186;0.976201;0.217724;-0.930133;-0.422565;
0.229888;0.999999;-0.209997;1.000186;0.976201;0.217724;-0.930133;-0.422566;
0.260460;0.999999;-0.209998;1.000186;0.976201;0.217724;-0.930133;-0.422567;
0.321603;0.999999;-0.209999;1.000185;0.976200;0.217724;-0.930133;-0.422568;
0.443890;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;
0.688464;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422570;
