time;HVDC_hvdc_PPu_Side_PPu;HVDC_hvdc_PPu_Side_QPu;HVDC_hvdc_dCLine_U1dcPu;HVDC_hvdc_Conv1_UPu;HVDC_hvdc_Conv1_UPhase;HVDC_hvdc_UdcPu_Side_PPu;HVDC_hvdc_UdcPu_Side_QPu;HVDC_hvdc_dCLine_U2dcPu;HVDC_hvdc_Conv2_UPu;HVDC_hvdc_Conv2_UPhase;
0.0000;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0010;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0020;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0040;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0080;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0160;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0320;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0271;-0.0329;
0.0640;0.8980;0.3010;0.9978;1.0138;0.0317;-0.9000;0.3010;1.0000;1.0270;-0.0329;
0.1280;0.8980;0.3011;0.9978;1.0138;0.0317;-0.9000;0.3008;1.0000;1.0270;-0.0329;
0.2560;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3007;1.0000;1.0270;-0.0329;
0.5120;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
0.7680;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
1.2800;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
2.3040;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
4.3520;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
8.4480;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
10.0000;0.8980;0.3012;0.9978;1.0138;0.0317;-0.9000;0.3006;1.0000;1.0270;-0.0329;
