time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;ElectronicLoad_load_PPu;ElectronicLoad_load_QPu;LOAD_load_PPu;LOAD_load_QPu;
0.000000;1.020953;0.983973;1.000000;605.681226;225.331319;1.040009;2.438261;1.000000;0.000000;5.001247;2.000499;
0.000001;1.020952;0.983973;1.000000;605.681202;225.331311;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000002;1.020952;0.983973;1.000000;605.681202;225.331311;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000004;1.020952;0.983973;1.000000;605.681192;225.331307;1.040009;2.438261;1.000000;0.000000;5.001246;2.000498;
0.000008;1.020952;0.983973;1.000000;605.681202;225.331311;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000016;1.020952;0.983973;1.000000;605.681202;225.331311;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000032;1.020952;0.983973;1.000000;605.681201;225.331310;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000064;1.020952;0.983973;1.000000;605.681200;225.331310;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000128;1.020952;0.983973;1.000000;605.681198;225.331309;1.040009;2.438261;1.000000;0.000000;5.001246;2.000499;
0.000256;1.020952;0.983973;1.000000;605.681194;225.331308;1.040009;2.438261;1.000000;0.000000;5.001246;2.000498;
0.000512;1.020952;0.983973;1.000000;605.681186;225.331305;1.040009;2.438262;1.000000;0.000000;5.001246;2.000498;
0.001024;1.020952;0.983973;1.000000;605.681167;225.331298;1.040009;2.438262;1.000000;0.000000;5.001246;2.000498;
0.002048;1.020952;0.983973;1.000000;605.681122;225.331282;1.040009;2.438263;1.000000;0.000000;5.001246;2.000498;
0.004096;1.020952;0.983972;1.000000;605.681003;225.331239;1.040009;2.438265;1.000000;0.000000;5.001244;2.000498;
