time;WPP3_WPP3_injector_PInjPu;WPP3_WPP3_injector_QInjPu;WPP3_WPP3_injector_terminal_V_re;WPP3_WPP3_injector_terminal_i_re;WPP3_WPP3_injector_terminal_V_im;WPP3_WPP3_injector_terminal_i_im;WPP3_WPP3_pll_omegaPLLPu;WPP3_WPP3_wecc_wtgt_PePu;
1.000240;0.421099;0.196454;0.629228;-0.701823;0.105280;0.194789;1.106501;0.421094;
1.000241;0.421103;0.196443;0.629225;-0.701830;0.105281;0.194769;1.106442;0.421098;
1.000242;0.421108;0.196431;0.629222;-0.701837;0.105282;0.194749;1.106383;0.421102;
1.000244;0.421116;0.196408;0.629216;-0.701852;0.105284;0.194709;1.106265;0.421111;
1.000248;0.421134;0.196362;0.629204;-0.701880;0.105289;0.194630;1.106030;0.421128;
1.000256;0.421168;0.196270;0.629180;-0.701938;0.105297;0.194472;1.105561;0.421163;
1.000272;0.421237;0.196089;0.629133;-0.702053;0.105314;0.194160;1.104630;0.421232;
1.000304;0.421373;0.195732;0.629041;-0.702280;0.105349;0.193546;1.102792;0.421368;
1.000368;0.421641;0.195046;0.628863;-0.702727;0.105416;0.192359;1.099215;0.421636;
1.000496;0.422162;0.193775;0.628531;-0.703594;0.105546;0.190147;1.092434;0.422156;
1.000752;0.423149;0.191606;0.627956;-0.705239;0.105793;0.186313;1.080230;0.423144;
1.001008;0.424082;0.189895;0.627489;-0.706794;0.106026;0.183201;1.069671;0.424076;
1.001013;0.424098;0.189868;0.627482;-0.706821;0.106030;0.183152;1.069496;0.424093;
1.001014;0.424101;0.189863;0.627480;-0.706827;0.106031;0.183141;1.069459;0.424096;
1.001015;0.424105;0.189857;0.627479;-0.706833;0.106032;0.183130;1.069421;0.424100;
1.001017;0.424112;0.189845;0.627476;-0.706844;0.106033;0.183109;1.069345;0.424107;
1.001021;0.424126;0.189822;0.627469;-0.706868;0.106037;0.183066;1.069194;0.424121;
1.001029;0.424154;0.189777;0.627457;-0.706915;0.106044;0.182981;1.068893;0.424149;
1.001045;0.424211;0.189687;0.627431;-0.707009;0.106058;0.182814;1.068294;0.424206;
1.001077;0.424323;0.189512;0.627382;-0.707197;0.106086;0.182486;1.067113;0.424318;
1.001141;0.424547;0.189181;0.627288;-0.707569;0.106142;0.181859;1.064814;0.424542;
1.001269;0.424989;0.188587;0.627116;-0.708307;0.106253;0.180713;1.060457;0.424984;
1.001341;0.425238;0.188289;0.627027;-0.708722;0.106315;0.180121;1.058115;0.425233;
1.001342;0.425242;0.188285;0.627026;-0.708727;0.106316;0.180113;1.058084;0.425236;
1.001343;0.425245;0.188281;0.627025;-0.708733;0.106317;0.180105;1.058053;0.425240;
1.001345;0.425252;0.188273;0.627023;-0.708744;0.106318;0.180090;1.057990;0.425246;
1.001349;0.425265;0.188258;0.627018;-0.708767;0.106322;0.180059;1.057865;0.425260;
1.001357;0.425293;0.188227;0.627009;-0.708812;0.106329;0.179998;1.057615;0.425287;
1.001373;0.425347;0.188168;0.626991;-0.708903;0.106342;0.179878;1.057119;0.425342;
1.001405;0.425456;0.188056;0.626956;-0.709085;0.106370;0.179647;1.056141;0.425451;
1.001469;0.425675;0.187853;0.626892;-0.709449;0.106424;0.179218;1.054237;0.425669;
1.001597;0.426113;0.187536;0.626783;-0.710180;0.106534;0.178495;1.050629;0.426108;
1.001853;0.427002;0.187231;0.626641;-0.711661;0.106756;0.177545;1.044142;0.426996;
1.002109;0.427912;0.187340;0.626592;-0.713177;0.106983;0.177215;1.038540;0.427906;
1.002365;0.428850;0.187829;0.626627;-0.714740;0.107218;0.177451;1.033710;0.428844;
1.002621;0.429821;0.188667;0.626740;-0.716359;0.107461;0.178203;1.029552;0.429816;
1.002877;0.430830;0.189826;0.626923;-0.718040;0.107713;0.179423;1.025976;0.430824;
1.003133;0.431879;0.191281;0.627170;-0.719789;0.107975;0.181070;1.022904;0.431873;
1.003645;0.434109;0.194963;0.627829;-0.723505;0.108533;0.185462;1.017941;0.434103;
1.004106;0.436268;0.199086;0.628592;-0.727104;0.109072;0.190551;1.014626;0.436262;
1.004567;0.438575;0.203879;0.629493;-0.730948;0.109649;0.196557;1.012148;0.438569;
1.004834;0.439978;0.206926;0.630069;-0.733286;0.110000;0.200397;1.011006;0.439972;
1.004835;0.439983;0.206937;0.630072;-0.733295;0.110001;0.200412;1.011002;0.439977;
1.004836;0.439988;0.206949;0.630074;-0.733304;0.110003;0.200427;1.010999;0.439983;
1.004838;0.439999;0.206973;0.630078;-0.733322;0.110005;0.200457;1.010991;0.439993;
1.004842;0.440021;0.207020;0.630087;-0.733358;0.110011;0.200517;1.010976;0.440015;
1.004850;0.440063;0.207115;0.630105;-0.733429;0.110021;0.200637;1.010947;0.440058;
1.004866;0.440149;0.207306;0.630141;-0.733572;0.110043;0.200878;1.010888;0.440143;
1.004898;0.440321;0.207689;0.630214;-0.733859;0.110086;0.201363;1.010772;0.440316;
1.004962;0.440668;0.208463;0.630361;-0.734437;0.110172;0.202341;1.010547;0.440662;
1.005090;0.441369;0.210040;0.630660;-0.735606;0.110348;0.204337;1.010124;0.441364;
1.005346;0.442805;0.213309;0.631281;-0.737999;0.110707;0.208476;1.009377;0.442800;
1.005858;0.445798;0.220205;0.632589;-0.742986;0.111455;0.217195;1.008208;0.445792;
1.006370;0.448940;0.227513;0.633970;-0.748223;0.112240;0.226401;1.007399;0.448934;
1.006882;0.452222;0.235158;0.635408;-0.753693;0.113061;0.235983;1.006862;0.452216;
